;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;SV_VAL_1;SV_VAL_2
0;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;27;16;0.0
1;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;84;114;0.0
2;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;65;80;0.0
3;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;96;63;0.0
4;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;28;119;0.0
5;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;54;114;0.0
6;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;15;80;0.0
7;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;87;16;0.0
8;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;59;122;0.0
9;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;5;80;0.0
10;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;92;8;0.0
11;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;0;6;0.0
12;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;77;16;0.0
13;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;17;16;0.0
14;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;12;8;0.0
15;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;33;66;0.0
16;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;25;80;0.0
17;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;19;122;0.0
18;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;97;16;0.0
19;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;81;193;0.0
20;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;8;119;0.0
21;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;73;66;0.0
22;Bambu;5SGXEA7N2F45C1-Stratix-V;astar;int8_t;89;122;0.0
