;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;V_VAL_1;V_VAL_2;V_VAL_3;V_VAL_4;V_VAL_5;V_VAL_6;V_VAL_7;V_VAL_8;V_VAL_9;V_VAL_10;V_VAL_11;V_VAL_12;V_VAL_13;V_VAL_14;V_VAL_15;V_VAL_16;V_VAL_17;V_VAL_18;V_VAL_19;V_VAL_20;V_VAL_21;V_VAL_22;V_VAL_23;V_VAL_24;V_VAL_25;V_VAL_26;V_VAL_27;V_VAL_28
0;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;27;4;33;50;113;73;37;59;86;81;72;70;52;55;119;38;101;0;0;0;0;0;0;0;0;0;0;0;0
1;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;84;77;57;122;125;74;41;45;20;49;42;103;53;67;47;36;81;0;0;0;0;0;0;0;0;0;0;0;0
2;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;65;95;57;116;64;4;42;62;62;114;107;106;45;21;97;92;70;73;85;0;0;0;0;0;0;0;0;0;0
3;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;96;24;55;6;116;93;63;111;101;25;100;36;18;99;101;64;79;52;82;113;62;21;9;107;52;0;0;0;0
4;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;28;67;33;117;93;101;39;32;56;30;89;32;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;54;15;35;58;75;104;86;81;116;119;79;45;56;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;15;112;97;92;91;74;14;79;68;38;19;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;87;99;18;70;102;33;84;99;40;72;89;48;55;56;103;98;5;76;44;98;57;111;55;31;0;0;0;0;0
8;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;59;90;2;127;111;9;70;86;115;66;75;31;122;49;72;122;117;93;27;69;95;86;9;48;0;0;0;0;0
9;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;5;55;36;105;26;90;56;68;76;101;116;121;23;39;76;8;109;80;80;94;103;16;82;53;104;80;0;0;0
10;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;92;99;78;38;55;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;0;52;115;103;84;123;51;110;112;42;19;38;83;43;65;37;20;7;0;0;0;0;0;0;0;0;0;0;0
12;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;77;84;16;45;36;127;19;26;57;30;50;6;70;101;23;51;123;63;26;101;30;88;91;22;0;0;0;0;0
