;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;SS_VAL_1
0;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;27;8
1;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;84;23
2;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;65;22
3;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;96;13
4;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;28;15
5;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;54;21
6;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;15;20
7;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;87;28
8;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;59;6
9;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;5;26
10;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;92;23
11;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;0;5
12;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;77;8
13;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;17;2
14;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;12;5
15;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;33;9
16;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;25;21
17;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;19;11
18;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;97;24
19;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;81;15
20;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;8;18
21;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;73;7
22;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;89;26
23;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;82;4
24;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;34;26
25;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;70;7
26;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;29;15
27;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;51;4
28;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;57;15
29;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;88;19
30;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;23;11
31;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;45;21
32;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;66;14
33;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;36;16
34;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;56;13
35;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;26;6
36;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;43;22
37;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;52;13
38;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;98;19
39;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;61;23
40;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;44;16
41;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;68;2
42;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;41;19
43;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;85;2
44;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;79;22
45;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;71;17
46;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;63;9
47;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;20;6
48;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;74;9
49;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;72;14
50;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;86;16
51;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;75;26
52;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;55;8
53;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;14;15
54;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;47;13
55;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;91;10
56;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;64;4
57;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;11;7
58;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;49;3
59;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;62;19
60;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;80;6
61;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;39;24
62;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;90;3
63;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;53;7
64;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;94;28
65;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;7;27
66;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;31;20
67;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;93;28
68;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;38;19
69;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;58;11
70;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;78;16
71;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;50;5
72;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;3;5
73;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;13;10
74;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;83;17
75;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;1;10
76;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;21;9
77;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;32;8
78;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;22;7
79;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;9;16
80;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;6;10
81;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;76;22
82;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;18;27
83;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;16;11
84;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;40;18
85;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;2;8
86;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;60;18
87;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;99;25
88;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;48;4
89;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;69;28
90;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;46;11
91;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;24;2
92;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;95;4
93;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;42;25
94;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;37;21
95;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;10;22
96;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;67;5
97;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;35;21
98;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;30;26
99;Bambu;5SGXEA7N2F45C1-Stratix-V;bellmanford;int8_t;4;4
100;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;27;16
101;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;84;16
102;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;65;18
103;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;96;24
104;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;28;12
105;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;54;13
106;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;15;11
107;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;87;23
108;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;59;23
109;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;5;25
110;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;92;5
111;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;0;17
112;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;77;23
113;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;17;17
114;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;12;7
115;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;33;8
116;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;25;5
117;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;19;21
118;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;97;4
119;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;81;5
120;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;8;14
121;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;73;25
122;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;89;20
123;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;82;21
124;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;34;5
125;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;70;21
126;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;29;12
127;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;51;26
128;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;57;18
129;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;88;15
130;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;23;7
131;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;45;24
132;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;66;17
133;Bambu;5SGXEA7N2F45C1-Stratix-V;bfsdfs;int8_t;36;25
