id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,388,,564,0.688
values_84,45,,74,0.608
values_65,17,,31,0.548
values_96,516,,744,0.694
values_28,106,,159,0.667
values_54,83,,129,0.643
values_15,97,,146,0.664
values_87,30,,49,0.612
values_59,402,,588,0.684
values_5,78,,117,0.667
values_92,210,,315,0.667
values_0,128,,192,0.667
values_77,355,,516,0.688
values_17,17,,31,0.548
values_12,495,,716,0.691
values_33,73,,113,0.646
values_25,29,,45,0.644
values_19,532,,768,0.693
values_97,349,,508,0.687
values_81,134,,200,0.670
values_8,151,,229,0.659
values_73,149,,221,0.674
values_89,450,,652,0.690
values_82,212,,315,0.673
values_34,325,,476,0.683
values_70,63,,96,0.656
values_29,88,,134,0.657
values_51,574,,828,0.693
values_57,435,,636,0.684
values_88,317,,468,0.677
values_23,94,,150,0.627
values_45,362,,540,0.670
values_66,28,,49,0.571
values_36,78,,117,0.667
values_56,17,,31,0.548
values_26,88,,134,0.657
values_43,29,,45,0.644
values_52,250,,364,0.687
values_98,74,,117,0.632
values_61,586,,848,0.691
values_44,92,,142,0.648
values_68,76,,117,0.650
values_41,596,,864,0.690
values_85,503,,740,0.680
values_79,231,,343,0.673
values_71,503,,740,0.680
values_63,175,,262,0.668
values_20,44,,70,0.629
values_74,146,,217,0.673
values_72,390,,568,0.687
values_86,299,,440,0.680
values_75,253,,380,0.666
values_55,510,,740,0.689
values_14,298,,440,0.677
values_47,477,,692,0.689
values_91,83,,129,0.643
values_64,260,,392,0.663
values_11,507,,736,0.689
values_49,29,,45,0.644
values_62,597,,872,0.685
values_80,96,,142,0.676
values_39,301,,440,0.684
values_90,135,,204,0.662
values_53,106,,167,0.635
values_94,115,,171,0.673
values_7,173,,254,0.681
values_31,387,,568,0.681
values_93,114,,175,0.651
values_38,80,,125,0.640
values_58,421,,628,0.670
values_78,113,,171,0.661
values_50,56,,92,0.609
values_3,654,,964,0.678
values_13,395,,576,0.686
values_83,45,,74,0.608
values_1,133,,196,0.679
values_21,591,,848,0.697
values_32,171,,254,0.673
values_22,593,,860,0.690
values_9,43,,74,0.581
values_6,438,,648,0.676
values_76,92,,142,0.648
values_18,200,,291,0.687
values_16,320,,472,0.678
values_40,92,,142,0.648
values_2,152,,233,0.652
values_60,73,,113,0.646
values_99,558,,808,0.691
values_48,396,,572,0.692
values_69,389,,576,0.675
values_46,322,,472,0.682
values_24,235,,352,0.668
values_95,400,,584,0.685
values_42,401,,584,0.687
values_37,176,,258,0.682
values_10,375,,548,0.684
values_67,418,,600,0.697
values_35,217,,327,0.664
values_30,44,,70,0.629
values_4,44,,70,0.629
