inputName,size,arr[size]
values_27,20,"{-49, -36, -1, 27, 68, -79, 41, 49, 90, -73, -18, -58, -32, -78, 69, 9, 21, -101, 113, 33"
values_84,4,"{66, -72, 51, 58"
values_65,2,"{98, -123"
values_96,25,"{2, -119, 93, 69, -38, 124, -34, 37, -71, 97, -113, 112, -112, -104, -12, -19, -7, 75, 24, 80, 61, 78, 50, 117, 59"
values_28,8,"{-52, 104, 95, 19, -20, 19, -27, 79"
values_54,6,"{1, 121, -76, 98, -107, -117"
values_15,7,"{-92, 71, 103, -62, 63, -51, -57"
values_87,3,"{49, 81, -113"
values_59,20,"{-50, 78, 34, 108, 10, 108, 73, 112, 83, -14, 4, 115, -82, -38, 26, 7, 18, 44, -69, 14"
values_5,6,"{-56, 113, 126, 115, 70, 98"
values_92,13,"{91, 86, -25, -106, 108, 78, 121, 91, -15, -28, -77, -28, -3"
values_0,9,"{37, -71, -99, -120, -94, 64, 71, -64, -41"
values_77,19,"{-67, -121, -47, 114, 113, -27, -83, -37, 57, -50, 26, -14, -44, -101, -7, -42, 79, 97, 119"
values_17,2,"{-36, -59"
values_12,23,"{70, -99, 0, -86, -119, 44, 24, 76, -125, -27, -20, 86, 4, 21, 66, -27, -125, -73, -46, -108, -92, -63, -61"
values_33,6,"{-15, -7, 79, 110, 98, -27"
values_25,3,"{-80, 84, -20"
values_19,25,"{-118, -101, -55, 65, 56, 65, -50, 93, 29, 6, -68, 66, 105, -88, 117, 122, 93, 68, 48, 21, 106, -84, 25, -7, 82"
values_97,19,"{-39, -9, -84, 62, 69, -124, -63, -37, 39, -60, -79, 32, 113, -25, -49, -66, -58, -118, 121"
values_81,9,"{119, -11, 3, -114, -121, -12, 120, 36, -46"
values_8,10,"{101, -26, 116, -53, -61, 89, 39, -50, 51, 61"
values_73,10,"{117, -8, -63, -19, 48, -114, 0, 8, 51, -85"
values_89,22,"{71, -3, -65, 122, -76, -21, 5, 19, -88, 87, 122, -37, -101, -81, 118, -23, 22, 126, 32, 22, 91, 8"
values_82,13,"{-76, -65, 123, 112, -73, 44, -38, -33, 55, 23, -123, 47, -123"
values_34,17,"{3, 76, -70, 77, 51, -124, -108, -40, -3, -102, 32, -103, -93, -64, 96, 20, -93"
values_70,5,"{-63, 69, -12, 104, -93"
values_29,7,"{-80, 121, 110, 59, -8, 108, -97"
values_51,28,"{67, 29, -54, 13, -51, -41, 55, -14, -98, -25, -48, -25, 10, -75, 6, -117, 16, -39, 126, -113, -10, 103, 14, 32, 51, 74, -19, 94"
values_57,21,"{-11, -125, -54, 38, -21, -69, 73, -99, 7, -79, 11, -6, 41, 111, -18, -37, -25, -126, 86, -75, -1"
values_88,17,"{-26, 96, 91, 15, 116, -19, 116, -74, 90, -83, -8, 53, 46, -7, -74, -103, -17"
