inputName,n
values_27,-7
values_84,-36
values_65,-16
values_96,62
values_28,-110
values_54,114
values_15,-125
values_87,37
values_59,-123
values_5,5
values_92,111
values_0,-24
values_77,25
values_17,-26
values_12,107
values_33,-28
values_25,74
values_19,-23
values_97,-58
values_81,47
values_8,-47
values_73,-119
values_89,91
values_82,1
values_34,-124
values_70,-69
values_29,126
values_51,-75
values_57,-61
values_88,50
values_23,40
values_45,32
values_66,6
values_36,38
values_56,115
values_26,-50
values_43,-96
values_52,72
values_98,106
values_61,-38
values_44,83
values_68,23
values_41,-42
values_85,-93
values_79,127
values_71,121
values_63,35
values_20,116
values_74,76
values_72,-108
values_86,-88
values_75,-29
values_55,-37
values_14,54
values_47,-111
values_91,-112
values_64,-15
values_11,-88
values_49,86
values_62,8
values_80,-51
values_39,78
values_90,-113
values_53,23
values_94,-60
values_7,-8
values_31,80
values_93,-34
values_38,-11
values_58,-111
values_78,19
values_50,121
values_3,27
values_13,-114
values_83,53
values_1,81
values_21,56
values_32,-58
values_22,-107
values_9,11
values_6,-50
values_76,27
values_18,-13
values_16,-105
values_40,-62
values_2,54
values_60,-35
values_99,80
values_48,-86
values_69,121
values_46,52
values_24,-22
values_95,-32
values_42,-81
values_37,2
values_10,24
values_67,-2
values_35,29
values_30,1
values_4,78
