,min_Slack,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32
min_Slack,1.0,-0.2736656273442098,-0.32329497545486735,-0.18054642841197463,-0.10262499275705007,-0.28857147075410056,-0.13543124248508492,-0.26516276740078065,-0.2821155564167912,-0.24893196639105594,-0.29195171385908397,-0.13894368107039246,-0.08954916880977185,-0.2500917444860882,-0.08973065251683428,-0.2245199918100535,-0.29857556605480806,-0.2600304221127538,-0.3033720504286456,-0.19056219420504755,-0.084518271043088,-0.2647131736591754,-0.1554080239664983,-0.2680399236863995,-0.2724898879825847,-0.23880306916104285,-0.2862744400039328,-0.16990434472532157,-0.07978306986687371,-0.24200980618089266,-0.1250422692773253,-0.22894539235828115
M_VAL_2,-0.2736656273442098,1.0,0.6823091814212715,0.6007011113507432,0.33253864352208407,0.8242366250245623,0.29991060833056465,0.7663556458407803,0.7626856891627026,0.7137352416927805,0.7840703960992218,0.5350344998379739,0.38396744770376523,0.7833998185467013,0.24469383124462313,0.7334141040254407,0.728262290354918,0.7468093892259094,0.7791419775450911,0.662381861981491,0.3258128019162256,0.7875393039973372,0.3123484804986658,0.7784017821031592,0.7514183293039307,0.7117540840392278,0.7594635380214291,0.5811511772344139,0.3443770467259869,0.7617957432998074,0.2883612379996352,0.7373299695841136
M_VAL_3,-0.32329497545486735,0.6823091814212715,1.0,0.5315486920358552,0.27041901891676795,0.7755509863701152,0.29463383331693094,0.7197779617489234,0.7225476189786452,0.6454825590798073,0.7589644863449608,0.4298005907813936,0.28591206441596584,0.6980057878474286,0.2630114343083618,0.6257933909708937,0.7033219204641572,0.6682436651857887,0.7653024558783791,0.5536304477887318,0.2812100228967784,0.7105296821866264,0.3770028294409568,0.7152302767048707,0.7217800284506617,0.655114857519763,0.7400571825014907,0.5130179329112876,0.28614403606780825,0.6635473816299696,0.3681711402940047,0.6551998142198693
M_VAL_4,-0.18054642841197463,0.6007011113507432,0.5315486920358552,1.0,0.20177189269045,0.7073509007963587,0.15117716517687846,0.6871584094251791,0.619820484322631,0.5625419601930336,0.5920729799174077,0.6046482456440307,0.2467025789206652,0.7232574359331063,0.23766985379250133,0.6532957171238396,0.5440951509790062,0.6161725221234586,0.5277639907414384,0.6673874859611952,0.36018780669009554,0.7060652189205585,0.18080323396995557,0.6528010978368536,0.6039316830257925,0.5991087453154619,0.5651577349951652,0.5795844370492689,0.36628645036962443,0.6723769458166774,0.2480733177838198,0.6656694069659567
M_VAL_5,-0.10262499275705007,0.33253864352208407,0.27041901891676795,0.20177189269045,1.0,0.344637672367579,0.11637505451491495,0.29830653768065607,0.2742241129822915,0.30970600939976406,0.31524874995341606,0.23955914714958917,0.25391486129110163,0.31142770166585626,0.20918445251408468,0.3391368805185042,0.3517336101186816,0.3023028896764268,0.24887846216565265,0.29339710876102754,0.28316325916269963,0.2968273386829535,0.010283464122646482,0.2675663353212554,0.2907799920291591,0.29695086678784255,0.30112738401004474,0.26178762260742644,0.1657812497063176,0.30263870301663426,0.13085344864006188,0.2984610802600066
M_VAL_6,-0.28857147075410056,0.8242366250245623,0.7755509863701152,0.7073509007963587,0.344637672367579,1.0,0.29242765972009505,0.8771119279698281,0.8451817024559652,0.827448973980831,0.835800368640105,0.644045876144435,0.3338902815350477,0.9370439630825421,0.31291368802748765,0.8665239615745064,0.8317350979676733,0.8395094023707399,0.8206801019607267,0.7328650021620278,0.3963105191520668,0.9355468553302227,0.29790300213239923,0.8766874318116263,0.8702984344062278,0.8463382330507806,0.8388884571677221,0.7059689259982951,0.37454900502658195,0.9083285776454255,0.3037215525897724,0.8607012180225767
M_VAL_7,-0.13543124248508492,0.29991060833056465,0.29463383331693094,0.15117716517687846,0.11637505451491495,0.29242765972009505,1.0,0.2874603796975888,0.327295899416718,0.33226700999013903,0.3107221395717044,0.11029003213655086,0.16599332494999053,0.25514138908524214,0.11478212782502757,0.24708485328843904,0.25847495941329446,0.24249918420255934,0.3305145891558805,0.2607583858115758,0.047627700745827194,0.20977375187997896,0.1396250670581055,0.3073953719804463,0.2856020166880156,0.24164664739941766,0.3449642343886172,0.21418260776186976,0.12500598163423615,0.2197819177407361,0.13181079654968983,0.23522422971803125
M_VAL_8,-0.26516276740078065,0.7663556458407803,0.7197779617489234,0.6871584094251791,0.29830653768065607,0.8771119279698281,0.2874603796975888,1.0,0.7865339574699224,0.7271393168529278,0.7861193052264953,0.6082521321441942,0.31767143821210453,0.8452118343288567,0.2514741320028534,0.8142578689554499,0.725153545141525,0.7535681390495603,0.7665603030677659,0.7400963733090254,0.352443672422994,0.8355395493053579,0.3334760477091754,0.8181057302608725,0.7662999205966312,0.7329658102211424,0.7856759399454386,0.6686430557255374,0.3777026033422224,0.8169298078234885,0.28238490459280796,0.7788140724615042
M_VAL_9,-0.2821155564167912,0.7626856891627026,0.7225476189786452,0.619820484322631,0.2742241129822915,0.8451817024559652,0.327295899416718,0.7865339574699224,1.0,0.7130098510405609,0.7607998200741969,0.5023589316729612,0.3055378282412646,0.8075625397196011,0.27118716181201663,0.7315259548977796,0.7583531669163333,0.7413608777349174,0.7635139766388718,0.6476968495501394,0.33356232890654275,0.80826804543744,0.3163848092938684,0.7736501150280394,0.7759478263670941,0.744971772880618,0.7385662513152873,0.5768017281931749,0.3401890358061045,0.7738199511582651,0.301082681259703,0.7275832871606885
M_VAL_10,-0.24893196639105594,0.7137352416927805,0.6454825590798073,0.5625419601930336,0.30970600939976406,0.827448973980831,0.33226700999013903,0.7271393168529278,0.7130098510405609,1.0,0.7382771957954214,0.506001244487381,0.35942002723511074,0.8423225475908412,0.3063575443126245,0.7979570608900274,0.7194379281662322,0.7265942807798567,0.7050032706762072,0.6343671289709691,0.3486152038029781,0.8121786790791122,0.27200967267535814,0.7793800409418179,0.7416209670641056,0.7774494230794837,0.7728448741203378,0.6560756692776915,0.34801761004460596,0.8224676065531171,0.25899113422082526,0.7724829675875408
