id,cInstr
values_27,328
values_84,90
values_65,363
values_96,106
values_28,452
values_54,363
values_15,363
values_87,90
values_59,363
values_5,363
values_92,90
values_0,363
values_77,90
values_17,363
values_12,363
values_33,452
values_25,328
values_19,363
values_97,90
values_81,106
values_8,487
values_73,487
values_89,90
values_82,90
values_34,328
values_70,363
values_29,328
values_51,379
values_57,363
values_88,142
values_23,487
values_45,328
values_66,379
values_36,344
values_56,379
values_26,344
values_43,452
values_52,363
values_98,142
values_61,379
values_44,328
values_68,487
values_41,344
values_85,90
values_79,90
values_71,379
values_63,487
values_20,363
values_74,363
values_72,363
values_86,106
values_75,90
values_55,363
values_14,363
values_47,328
values_91,106
values_64,363
values_11,379
values_49,328
values_62,363
values_80,90
values_39,328
values_90,90
values_53,487
values_94,90
values_7,363
values_31,344
values_93,142
values_38,452
values_58,487
values_78,142
values_50,363
values_3,487
values_13,487
values_83,142
values_1,379
values_21,379
values_32,328
values_22,363
values_9,363
values_6,379
values_76,106
values_18,487
values_16,379
values_40,328
values_2,363
values_60,363
values_99,90
values_48,452
values_69,363
values_46,344
values_24,363
values_95,90
values_42,328
values_37,328
values_10,363
values_67,363
values_35,328
values_30,328
values_4,363
