inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement
values_27, 457, 45, 252, 53, 709, 98, 4689.83, 501723.25, 0.01, 106.98, 27873.51
values_84, 451, 45, 248, 49, 699, 94, 4581.66, 521747.95, 0.01, 113.88, 28986.00
values_65, 450, 45, 247, 48, 697, 93, 4557.79, 527707.05, 0.01, 115.78, 29317.06
values_96, 460, 45, 254, 53, 714, 98, 4722.90, 509271.50, 0.01, 107.83, 28292.86
values_28, 459, 45, 252, 54, 711, 99, 4713.47, 494914.62, 0.01, 105, 27495.26
values_54, 456, 45, 252, 52, 708, 97, 4672.74, 509508.19, 0.01, 109.04, 28306.01
values_15, 449, 45, 247, 47, 696, 92, 4540.40, 536878.05, 0.01, 118.24, 29826.56
values_87, 459, 45, 254, 54, 713, 99, 4726.73, 500245.73, 0.01, 105.83, 27791.43
values_59, 451, 45, 248, 49, 699, 94, 4581.66, 521747.95, 0.01, 113.88, 28986.00
values_5, 449, 45, 248, 50, 697, 95, 4579.19, 511037.53, 0.01, 111.60, 28390.97
values_92, 450, 45, 247, 47, 697, 92, 4546.92, 537649.42, 0.01, 118.24, 29869.41
values_0, 455, 45, 252, 51, 707, 96, 4655.57, 517589.67, 0.01, 111.18, 28754.98
values_77, 459, 45, 252, 52, 711, 97, 4692.54, 511667.13, 0.01, 109.04, 28425.95
values_17, 450, 45, 247, 48, 697, 93, 4557.79, 527707.05, 0.01, 115.78, 29317.06
values_12, 461, 45, 254, 56, 715, 101, 4760.62, 485838.40, 0.01, 102.05, 26991.02
values_33, 452, 45, 248, 50, 700, 95, 4598.90, 513237.12, 0.01, 111.60, 28513.17
values_25, 456, 45, 252, 53, 708, 98, 4683.21, 501015.60, 0.01, 106.98, 27834.20
values_19, 450, 45, 247, 47, 697, 92, 4546.92, 537649.42, 0.01, 118.24, 29869.41
values_97, 459, 45, 254, 55, 713, 100, 4737.07, 492224.58, 0.01, 103.91, 27345.81
values_81, 452, 45, 248, 49, 700, 94, 4588.21, 522494.37, 0.01, 113.88, 29027.46
values_8, 452, 45, 248, 50, 700, 95, 4598.90, 513237.12, 0.01, 111.60, 28513.17
values_73, 459, 45, 254, 56, 713, 101, 4747.30, 484479.41, 0.01, 102.05, 26915.52
values_89, 461, 45, 254, 54, 715, 99, 4739.99, 501648.94, 0.01, 105.83, 27869.39
values_82, 450, 45, 248, 49, 698, 94, 4575.10, 521001.53, 0.01, 113.88, 28944.53
values_34, 449, 45, 248, 50, 697, 95, 4579.19, 511037.53, 0.01, 111.60, 28390.97
values_70, 460, 45, 254, 56, 714, 101, 4753.96, 485158.90, 0.01, 102.05, 26953.27
values_29, 457, 45, 252, 54, 709, 99, 4700.21, 493522.45, 0.01, 105, 27417.91
values_51, 457, 45, 252, 53, 709, 98, 4689.83, 501723.25, 0.01, 106.98, 27873.51
values_57, 450, 45, 248, 50, 698, 95, 4585.76, 511770.73, 0.01, 111.60, 28431.71
values_88, 459, 45, 254, 55, 713, 100, 4737.07, 492224.58, 0.01, 103.91, 27345.81
values_23, 460, 45, 254, 56, 714, 101, 4753.96, 485158.90, 0.01, 102.05, 26953.27
values_45, 461, 45, 254, 56, 715, 101, 4760.62, 485838.40, 0.01, 102.05, 26991.02
values_66, 450, 45, 247, 48, 697, 93, 4557.79, 527707.05, 0.01, 115.78, 29317.06
values_36, 462, 45, 254, 55, 716, 100, 4757.00, 494295.65, 0.01, 103.91, 27460.87
values_56, 450, 45, 248, 50, 698, 95, 4585.76, 511770.73, 0.01, 111.60, 28431.71
values_26, 460, 45, 252, 50, 712, 95, 4677.74, 530455.40, 0.01, 113.40, 29469.74
values_43, 449, 45, 247, 48, 696, 93, 4551.25, 526949.94, 0.01, 115.78, 29275.00
values_52, 455, 45, 252, 52, 707, 97, 4666.14, 508788.55, 0.01, 109.04, 28266.03
values_98, 461, 45, 254, 55, 715, 100, 4750.36, 493605.30, 0.01, 103.91, 27422.52
values_61, 460, 45, 254, 56, 714, 101, 4753.96, 485158.90, 0.01, 102.05, 26953.27
values_44, 449, 45, 247, 47, 696, 92, 4540.40, 536878.05, 0.01, 118.24, 29826.56
values_68, 451, 45, 247, 48, 698, 93, 4564.33, 528464.16, 0.01, 115.78, 29359.12
values_41, 450, 45, 247, 48, 697, 93, 4557.79, 527707.05, 0.01, 115.78, 29317.06
values_85, 460, 45, 254, 54, 714, 99, 4733.36, 500947.33, 0.01, 105.83, 27830.41
values_79, 458, 45, 252, 53, 710, 98, 4696.44, 502430.89, 0.01, 106.98, 27912.83
values_71, 460, 45, 254, 54, 714, 99, 4733.36, 500947.33, 0.01, 105.83, 27830.41
values_63, 458, 45, 254, 55, 712, 100, 4730.43, 491534.22, 0.01, 103.91, 27307.46
values_20, 461, 45, 254, 55, 715, 100, 4750.36, 493605.30, 0.01, 103.91, 27422.52
values_74, 459, 45, 254, 55, 713, 100, 4737.07, 492224.58, 0.01, 103.91, 27345.81
values_72, 458, 45, 254, 55, 712, 100, 4730.43, 491534.22, 0.01, 103.91, 27307.46
values_86, 457, 45, 254, 54, 711, 99, 4713.47, 498842.51, 0.01, 105.83, 27713.47
values_75, 457, 45, 252, 53, 709, 98, 4689.83, 501723.25, 0.01, 106.98, 27873.51
values_55, 452, 45, 248, 49, 700, 94, 4588.21, 522494.37, 0.01, 113.88, 29027.46
values_14, 461, 45, 254, 56, 715, 101, 4760.62, 485838.40, 0.01, 102.05, 26991.02
values_47, 459, 45, 254, 56, 713, 101, 4747.30, 484479.41, 0.01, 102.05, 26915.52
values_91, 449, 45, 247, 46, 696, 91, 4529.43, 547223.47, 0.01, 120.82, 30401.30
