inputName,nn,size,isign,data[size]
values_27,5,7,0,"{-62, -81, 23, 121, -2, -27, 72"
values_84,2,3,0,"{-38, 12, -66"
values_65,7,2,0,"{-33, -44"
values_96,2,9,1,"{-39, -26, 29, 119, -66, 108, 29, -9, -10"
values_28,5,7,-1,"{-73, -40, 55, 13, -125, -46, -89"
values_54,7,7,0,"{-96, -13, 18, -64, 11, 38, 48"
values_15,7,2,0,"{25, -4"
values_87,2,9,0,"{-35, 2, 123, 112, 58, 66, -36, -33, -110"
values_59,7,3,0,"{1, -99, -15"
values_5,7,3,0,"{70, 38, 118"
values_92,2,2,0,"{-111, -45"
values_0,7,7,0,"{87, 65, 1, -121, 1, -95, 5"
values_77,2,7,0,"{-108, 105, -88, -16, -31, -50, -5"
values_17,7,2,0,"{-125, -65"
values_12,7,9,0,"{-59, -79, -28, 18, 87, -35, -104, -53, 83"
values_33,5,3,-1,"{-38, -42, 74"
values_25,5,7,0,"{-18, 106, -56, -94, 0, 81, 95"
values_19,7,2,0,"{-83, -1"
values_97,2,9,0,"{114, -56, 89, -83, 118, 23, 27, -94, -90"
values_81,2,3,1,"{-41, -44, -102"
values_8,7,3,-1,"{-81, -78, 14"
values_73,7,9,-1,"{37, -93, -67, 120, 100, 51, 35, 108, -69"
values_89,2,9,0,"{-73, 125, -68, -40, 31, -71, -81, -16, 14"
values_82,2,3,0,"{48, 51, -68"
values_34,5,3,0,"{6, 76, 105"
values_70,7,9,0,"{76, 13, -29, 51, -60, -115, 107, -24, -88"
values_29,5,7,0,"{-18, -92, 22, 85, -121, -30, 79"
values_51,7,7,1,"{3, -74, -86, 11, -76, 87, -77"
values_57,7,3,0,"{-98, 5, 14"
values_88,2,9,-1,"{-26, 107, 123, 71, 35, 66, -77, 115, -74"
values_23,7,9,-1,"{12, 124, 103, -90, -70, -83, 110, -62, 30"
values_45,5,9,0,"{-58, 106, -66, -122, 93, -118, 15, -72, -103"
values_66,7,2,1,"{-37, -79"
