inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_27, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_84, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_65, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_96, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_28, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 2, 50.0
values_54, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_15, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_87, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_59, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_5, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_92, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_0, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_77, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_17, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_12, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_33, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 2, 50.0
values_25, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_19, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_97, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_81, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 4, 100.0
values_8, 122, 19, 2, 19, 9, 7, 57, 6, 6, 5, 20, 25, 4, 2, 50.0
