inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_27, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_84, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_65, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_96, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_28, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_54, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_15, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_87, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_59, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_5, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_92, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_0, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_77, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_17, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_12, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_33, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_25, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_19, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_97, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_81, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_8, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_73, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_89, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_82, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_34, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_70, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_29, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_51, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_57, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_88, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_23, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_45, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_66, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_36, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_56, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_26, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_43, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_52, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
values_98, 16, 1, 6, 1, 1, 0, 8, 2, 2, 2, 0, 3, 3, 3, 100.0
