inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_27, 1435, 36, 862, 141, 2297, 177, 17153.09, 1887569.81, 0.01, 110.04, 104864.99, 5.09
values_84, 515, 36, 277, 103, 792, 139, 5638.20, 272932.74, 0.02, 48.41, 15162.93, 1.40
values_65, 1123, 36, 662, 140, 1785, 176, 13315.09, 1133303.99, 0.01, 85.11, 62961.33, 3.62
values_96, 527, 36, 277, 103, 804, 139, 5723.63, 277068.08, 0.02, 48.41, 15392.67, 1.42
values_28, 1195, 36, 709, 139, 1904, 175, 14187.11, 1302560.04, 0.01, 91.81, 72364.45, 3.98
values_54, 359, 36, 169, 48, 528, 84, 3375.14, 213899.73, 0.02, 63.38, 11883.32, 1.19
values_15, 807, 36, 457, 131, 1264, 167, 9333.00, 586055.54, 0.02, 62.79, 32558.64, 2.33
values_87, 859, 36, 494, 135, 1353, 171, 10036.35, 661061.21, 0.02, 65.87, 36725.62, 2.53
values_59, 1257, 36, 758, 140, 2015, 176, 15030.75, 1464854.41, 0.01, 97.46, 81380.80, 4.30
values_5, 1414, 36, 862, 141, 2276, 177, 16996.27, 1870312.97, 0.01, 110.04, 103906.28, 5.06
values_92, 343, 36, 158, 37, 501, 73, 3101.10, 238365.79, 0.01, 76.86, 13242.54, 1.28
values_0, 1503, 36, 917, 141, 2420, 177, 18071.61, 2115531.34, 0.01, 117.06, 117529.52, 5.49
values_77, 1407, 36, 862, 141, 2269, 177, 16944.00, 1864560.69, 0.01, 110.04, 103586.71, 5.05
values_17, 527, 36, 277, 106, 804, 142, 5748.40, 270391.56, 0.02, 47.04, 15021.75, 1.39
values_12, 326, 36, 149, 34, 475, 70, 2911.41, 229658.83, 0.01, 78.88, 12758.82, 1.25
values_33, 532, 36, 277, 104, 809, 140, 5767.59, 276511.57, 0.02, 47.94, 15361.75, 1.41
values_25, 338, 36, 158, 42, 496, 78, 3117.56, 211103.31, 0.01, 67.71, 11727.96, 1.18
values_19, 425, 36, 214, 77, 639, 113, 4358.09, 218017.92, 0.02, 50.03, 12112.11, 1.21
values_97, 1440, 36, 862, 140, 2302, 176, 17171.61, 1903105.18, 0.01, 110.83, 105728.07, 5.12
values_81, 650, 36, 358, 125, 1008, 161, 7389.56, 380946.81, 0.02, 51.55, 21163.71, 1.75
values_8, 483, 36, 254, 90, 737, 126, 5142.26, 261226.57, 0.02, 50.80, 14512.59, 1.36
values_73, 1185, 36, 709, 138, 1894, 174, 14096.93, 1303660.03, 0.01, 92.48, 72425.56, 3.98
values_89, 925, 36, 533, 134, 1458, 170, 10802.89, 773454.82, 0.01, 71.60, 42969.71, 2.81
values_82, 1266, 36, 758, 141, 2024, 177, 15114.43, 1462562.64, 0.01, 96.77, 81253.48, 4.29
values_34, 323, 36, 149, 34, 472, 70, 2893.02, 228208.35, 0.01, 78.88, 12678.24, 1.24
values_70, 796, 36, 457, 136, 1253, 172, 9305.11, 562822.30, 0.02, 60.49, 31267.91, 2.27
values_29, 433, 36, 214, 79, 647, 115, 4429.03, 215957.36, 0.02, 48.76, 11997.63, 1.20
values_51, 1251, 36, 758, 141, 2009, 177, 15002.42, 1451723.49, 0.01, 96.77, 80651.31, 4.27
values_57, 1525, 36, 917, 141, 2442, 177, 18235.89, 2134763.45, 0.01, 117.06, 118597.97, 5.53
values_88, 848, 36, 494, 133, 1342, 169, 9931.98, 664023.82, 0.01, 66.86, 36890.21, 2.54
values_23, 492, 36, 254, 98, 746, 134, 5271.30, 245922.40, 0.02, 46.65, 13662.36, 1.31
values_45, 1320, 36, 809, 140, 2129, 176, 15881.13, 1651864.38, 0.01, 104.01, 91770.24, 4.66
values_66, 1185, 36, 709, 141, 1894, 177, 14143.64, 1280150.33, 0.01, 90.51, 71119.46, 3.93
values_36, 853, 36, 494, 137, 1347, 173, 10014.44, 649988.60, 0.02, 64.91, 36110.48, 2.50
