id,clockCycles,assemblyInstr
values_27,12024,
values_84,2454,
values_65,8717,
values_96,2462,
values_28,9465,
values_54,654,
values_15,5394,
values_87,5998,
values_59,10264,
values_5,11918,
values_92,478,
values_0,12837,
values_77,11945,
values_17,2464,
values_12,307,
values_33,2469,
values_25,483,
values_19,1416,
values_97,11950,
values_81,3786,
values_8,2082,
values_73,9457,
values_89,6631,
values_82,10258,
values_34,306,
values_70,5397,
values_29,1423,
values_51,10266,
values_57,12823,
values_88,5986,
values_23,2116,
values_45,11079,
values_66,9469,
values_36,5993,
values_56,7973,
values_26,9470,
values_43,5456,
values_52,11079,
values_98,84,
values_61,188,
values_44,10256,
values_68,188,
values_41,6007,
values_85,10247,
values_79,9440,
values_71,1157,
values_63,6624,
values_20,2081,
values_74,2900,
values_72,4828,
values_86,1731,
values_75,901,
values_55,7996,
values_14,5420,
values_47,11901,
values_91,11101,
values_64,12827,
values_11,658,
values_49,85,
values_62,2878,
values_80,464,
values_39,5995,
values_90,84,
values_53,665,
values_94,307,
values_7,1737,
values_31,303,
values_93,7295,
values_38,468,
values_58,2464,
values_78,468,
values_50,7989,
values_3,188,
values_13,9465,
values_83,1129,
values_1,9461,
values_21,4270,
values_32,6614,
values_22,5404,
values_9,10262,
values_6,8701,
values_76,86,
values_18,9450,
values_16,1418,
values_40,86,
values_2,85,
values_60,301,
values_99,1410,
values_48,190,
values_69,11095,
values_46,7280,
values_24,2096,
values_95,1131,
values_42,8741,
values_37,10252,
values_10,1441,
values_67,11997,
values_35,7283,
values_30,667,
values_4,657,
