inputName,m,n
values_27,69,15
values_84,57,101
values_65,77,22
values_96,41,102
values_28,69,48
values_54,103,101
values_15,33,22
values_87,57,15
values_59,103,14
values_5,64,22
values_92,41,49
values_0,64,102
values_77,36,15
values_17,33,15
values_12,33,49
values_33,96,13
values_25,69,22
values_19,33,14
values_97,41,15
values_81,57,21
values_8,64,48
values_73,36,13
values_89,57,14
values_82,57,49
values_34,96,101
values_70,36,102
values_29,69,14
values_51,103,21
values_57,103,15
values_88,57,48
values_23,69,13
values_45,10,22
values_66,77,102
values_36,96,102
values_56,103,102
values_26,69,102
values_43,10,13
values_52,103,49
values_98,41,48
values_61,77,21
values_44,10,101
values_68,77,48
values_41,10,21
values_85,57,22
values_79,36,14
values_71,36,21
values_63,77,13
values_20,69,102
values_74,36,101
values_72,36,49
values_86,57,102
values_75,36,22
values_55,103,22
values_14,33,101
values_47,10,15
values_91,41,21
values_64,77,101
values_11,33,21
values_49,10,14
values_62,77,49
values_80,57,102
values_39,96,14
values_90,41,102
values_53,103,13
values_94,41,101
values_7,64,15
values_31,96,21
values_93,41,13
values_38,96,48
values_58,103,48
values_78,36,48
values_50,103,102
values_3,64,13
values_13,33,13
values_83,57,13
values_1,64,21
values_21,69,21
values_32,96,49
values_22,69,49
values_9,64,14
values_6,64,102
values_76,36,102
values_18,33,48
values_16,33,102
values_40,10,102
values_2,64,49
values_60,77,102
values_99,41,14
values_48,10,48
values_69,77,14
values_46,10,102
values_24,69,101
values_95,41,22
values_42,10,49
values_37,96,15
values_10,33,102
values_67,77,15
values_35,96,22
values_30,96,102
values_4,64,101
