id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,18,,63,0.286
values_84,29,,105,0.276
values_65,11,,39,0.282
values_96,34,,95,0.358
values_28,18,,63,0.286
values_54,61,,144,0.424
values_15,9,,35,0.257
values_87,16,,54,0.296
values_59,24,,75,0.320
values_5,21,,64,0.328
values_92,24,,75,0.320
values_0,25,,87,0.287
values_77,14,,50,0.280
values_17,13,,43,0.302
values_12,29,,85,0.341
values_33,25,,82,0.305
values_25,21,,64,0.328
values_19,19,,65,0.292
values_97,21,,74,0.284
values_81,17,,61,0.279
values_8,10,,37,0.270
values_73,19,,65,0.292
values_89,24,,65,0.369
values_82,23,,68,0.338
values_34,35,,97,0.361
values_70,18,,63,0.286
values_29,26,,74,0.351
values_51,26,,79,0.329
values_57,25,,77,0.325
values_88,17,,56,0.304
values_23,20,,62,0.323
values_45,15,,52,0.288
values_66,30,,92,0.326
values_36,25,,72,0.347
values_56,109,,235,0.464
values_26,24,,75,0.320
values_43,17,,61,0.279
values_52,26,,79,0.329
values_98,25,,82,0.305
values_61,14,,50,0.280
values_44,28,,78,0.359
values_68,28,,93,0.301
values_41,20,,62,0.323
values_85,22,,76,0.289
values_79,17,,61,0.279
values_71,16,,59,0.271
values_63,26,,74,0.351
values_20,24,,75,0.320
values_74,26,,84,0.310
values_72,24,,85,0.282
values_86,23,,83,0.277
values_75,19,,70,0.271
values_55,24,,75,0.320
values_14,31,,89,0.348
values_47,11,,44,0.250
values_91,30,,82,0.366
values_64,27,,91,0.297
values_11,16,,59,0.271
values_49,15,,57,0.263
values_62,16,,59,0.271
values_80,23,,83,0.277
values_39,21,,64,0.328
values_90,34,,95,0.358
values_53,28,,78,0.359
values_94,25,,82,0.305
values_7,21,,69,0.304
values_31,19,,65,0.292
values_93,19,,60,0.317
values_38,6,,24,0.250
values_58,25,,77,0.325
values_78,12,,46,0.261
values_50,109,,235,0.464
values_3,25,,72,0.347
values_13,20,,67,0.299
values_83,22,,76,0.289
values_1,30,,77,0.390
values_21,16,,54,0.296
values_32,37,,101,0.366
values_22,23,,78,0.295
values_9,19,,65,0.292
values_6,25,,87,0.287
values_76,18,,63,0.286
values_18,18,,63,0.286
values_16,22,,66,0.333
values_40,23,,68,0.338
values_2,23,,78,0.295
values_60,30,,92,0.326
values_99,24,,70,0.343
values_48,19,,65,0.292
values_69,13,,43,0.302
values_46,23,,68,0.338
values_24,27,,91,0.297
values_95,21,,69,0.304
values_42,24,,75,0.320
values_37,18,,58,0.310
values_10,22,,66,0.333
values_67,22,,66,0.333
values_35,20,,67,0.299
values_30,25,,72,0.347
values_4,29,,105,0.276
