id,clockCycles,assemblyInstr
values_27,283,
values_84,550,
values_65,96,
values_96,570,
values_28,441,
values_54,298,
values_15,192,
values_87,556,
values_59,537,
values_5,320,
values_92,23,
values_0,203,
values_77,432,
values_17,52,
values_12,58,
values_33,19,
values_25,383,
values_19,13,
values_97,118,
values_81,165,
values_8,97,
values_73,85,
values_89,10,
values_82,40,
values_34,261,
values_70,113,
values_29,479,
values_51,7,
values_57,13,
values_88,79,
values_23,119,
values_45,177,
values_66,272,
values_36,507,
values_56,116,
values_26,534,
values_43,43,
values_52,210,
values_98,416,
values_61,613,
values_44,43,
values_68,331,
values_41,166,
values_85,13,
values_79,516,
values_71,247,
values_63,327,
values_20,91,
values_74,514,
values_72,303,
values_86,22,
values_75,10,
values_55,155,
values_14,30,
values_47,91,
values_91,561,
values_64,434,
values_11,134,
values_49,255,
values_62,231,
values_80,141,
values_39,6,
values_90,355,
values_53,235,
values_94,305,
values_7,345,
values_31,218,
values_93,519,
values_38,521,
values_58,92,
values_78,270,
values_50,530,
values_3,188,
values_13,24,
values_83,261,
values_1,121,
values_21,99,
values_32,169,
values_22,199,
values_9,710,
values_6,14,
values_76,43,
values_18,34,
values_16,65,
values_40,54,
values_2,105,
values_60,200,
values_99,463,
values_48,390,
values_69,155,
values_46,53,
values_24,252,
values_95,321,
values_42,158,
values_37,531,
values_10,362,
values_67,489,
values_35,215,
values_30,370,
values_4,13,
