id,cInstr
values_27,684
values_84,499
values_65,328
values_96,447
values_28,92
values_54,29
values_15,253
values_87,533
values_59,223
values_5,94
values_92,367
values_0,57
values_77,692
values_17,496
values_12,638
values_33,687
values_25,72
values_19,631
values_97,364
values_81,29
values_8,220
values_73,405
values_89,449
values_82,28
values_34,364
values_70,287
values_29,17
values_51,446
values_57,802
values_88,249
values_23,492
values_45,145
values_66,455
values_36,288
values_56,256
values_26,747
values_43,323
values_52,135
values_98,163
values_61,330
values_44,41
values_68,165
values_41,161
values_85,481
values_79,588
values_71,138
values_63,367
values_20,407
values_74,255
values_72,291
values_86,58
values_75,253
values_55,259
values_14,492
values_47,533
values_91,138
values_64,225
values_11,536
values_49,364
values_62,191
values_80,792
values_39,324
values_90,287
values_53,403
values_94,18
values_7,189
values_31,737
values_93,140
values_38,165
values_58,75
values_78,113
values_50,167
values_3,360
values_13,587
values_83,497
values_1,490
values_21,586
values_32,117
values_22,167
values_9,27
values_6,585
values_76,93
values_18,364
values_16,29
values_40,56
values_2,42
values_60,142
values_99,117
values_48,292
values_69,450
values_46,256
values_24,220
values_95,17
values_42,139
values_37,593
values_10,162
values_67,581
values_35,451
values_30,224
values_4,55
