inputName,n,key,arr[n]
values_27,27,21,"{78, -33, -76, -98, -57, -6, -71, -100, -98, -88, 38, -75, 92, -69, 69, 79, 60, 66, 94, 125, 127, 56, -72, 89, -40, -66, -86"
values_84,26,-14,"{30, 22, -48, -109, -32, 94, 65, -53, -63, -56, 94, 25, 40, 57, 56, 56, 46, 125, 1, 36, -124, 55, -69, -55, -124, -3"
values_65,17,60,"{21, 119, 18, 3, 75, -50, 105, 3, -90, -94, 46, 87, 102, -123, 85, -44, -79"
values_96,15,-127,"{-52, 109, 45, -82, 27, 99, 50, -3, 5, -77, 105, 111, -80, 76, -4"
values_28,27,18,"{-79, 12, 62, 71, -112, 35, -99, 28, -56, 105, 86, 36, 46, 71, -16, -72, -117, 27, 99, -23, -46, 79, -26, 40, 44, -48, -121"
values_54,9,-14,"{78, -39, -126, -45, 21, -46, 68, -80, -103"
values_15,19,60,"{19, -105, -78, -3, 108, 37, 104, 73, -92, -75, 59, -95, 67, -4, 112, 101, 97, 64, -19"
values_87,26,21,"{124, -98, -111, 7, -65, -19, -108, 12, 50, 113, -104, -62, -125, -106, 109, 46, 60, -93, 107, -43, 85, 124, 114, 64, 58, -84"
values_59,9,22,"{-78, 64, 104, -37, -46, -35, 111, 87, 43"
values_5,9,60,"{91, 112, -125, -45, -49, 97, -122, -7, -48"
values_92,15,-57,"{-44, 41, -65, 88, -113, -40, -72, 118, 104, -108, -102, 25, 114, -6, 47"
values_0,9,-8,"{-74, -119, -4, -81, 51, -71, -13, -106, -34"
values_77,15,21,"{70, -119, 26, -96, -49, 71, -52, -36, 28, -31, 101, 81, 78, 30, -73"
values_17,19,21,"{22, -85, 112, -23, 48, -3, 42, 27, -19, 28, -76, -68, 78, 66, -79, -62, -13, -110, 89"
values_12,19,-57,"{0, -111, 106, -97, 89, 118, -99, -60, 111, -22, -65, -14, -65, -63, -104, 95, 106, -31, 13"
values_33,6,-108,"{-31, 112, 76, 67, -1, -61"
values_25,27,60,"{-75, -19, -94, -120, 118, 36, 111, 32, -87, -2, -31, 99, 87, -58, -15, -102, 35, 6, 67, -124, 124, 92, -126, 105, 112, 85, -69"
values_19,19,22,"{71, -39, -93, 2, -83, -4, 14, 95, 82, -51, 85, 66, -99, 95, -95, -72, 72, -95, 23"
values_97,15,21,"{-82, -47, -111, 103, -6, 40, 83, -98, 77, 81, 61, -19, 116, -120, 123"
values_81,26,-118,"{-81, -43, 53, -46, 114, 46, 47, -22, -74, -25, 41, -6, -19, 78, 85, -108, 53, 109, 48, 105, -92, -41, -82, 112, 123, -50"
values_8,9,18,"{31, -64, 106, 77, 127, -34, 77, 90, -40"
values_73,15,-108,"{91, -99, 84, -61, 44, -8, 3, -24, -102, 52, 32, 12, 37, 20, 58"
values_89,26,22,"{-24, -76, -64, 21, -5, -117, -123, 125, -123, -1, 63, -32, -28, 10, -31, -7, 50, 40, 11, 2, -22, -44, -19, 91, -50, -116"
values_82,26,-57,"{63, -32, -66, 6, -32, -53, 51, 67, 64, -11, -111, 77, -81, -21, -27, -97, 15, 44, -16, 28, -90, -104, -84, -65, 73, 2"
values_34,6,-14,"{15, -98, -37, -73, 119, 73"
values_70,15,-8,"{-94, -35, 10, 18, -84, 116, 97, -27, 110, 70, 60, -118, 59, 63, 30"
values_29,27,22,"{19, -48, 98, -42, 104, 66, -125, 76, -71, 95, -86, -58, 59, 82, -83, -75, -29, -88, 86, -49, -105, -81, -61, -32, -103, 108, 100"
values_51,9,-118,"{78, -44, 3, -83, -43, -30, 64, -53, -111"
values_57,9,21,"{-40, -25, -60, -29, 62, -125, 125, 25, -1"
values_88,26,18,"{-84, -70, -72, 28, -16, -55, -53, 65, 83, -78, 108, -78, -50, -40, -25, -19, 105, -42, -99, 103, -63, 92, 115, 106, 25, 75"
values_23,27,-108,"{-19, -46, -13, -38, -87, -41, -106, -34, -17, 40, -69, 27, -104, 80, 29, -90, -94, 84, -96, -32, 60, 52, -12, -63, 68, 35, 113"
values_45,6,60,"{9, 38, 77, 75, 111, 44"
values_66,17,-127,"{45, -26, -19, -7, 18, -41, 91, -113, -115, 55, 55, -2, 51, 43, 106, -78, 102"
values_36,6,-127,"{30, -104, -105, -64, 73, 92"
values_56,9,-127,"{-90, -83, 84, -7, 87, -9, 97, 34, -53"
values_26,27,-127,"{115, -124, -58, -86, 16, 18, -43, 118, -59, -92, 10, 2, -95, -3, 124, 111, 71, 48, 24, -125, -10, 62, -36, 27, -91, 78, 82"
values_43,6,-108,"{-10, 59, -39, 73, -107, 63"
values_52,9,-57,"{2, -64, 55, 73, 57, -120, -32, -120, -58"
values_98,15,18,"{60, -50, -27, 39, 123, 72, 43, 92, 119, -44, -58, 18, 63, -37, -115"
values_61,17,-118,"{103, 11, -17, -63, -81, 12, 98, 98, 66, 40, -127, 51, -79, 31, -42, -32, 116"
values_44,6,-14,"{12, -67, -25, -94, 6, -114"
values_68,17,18,"{40, 46, 40, 29, 106, -40, 53, -127, -8, 65, -103, 104, 87, 113, 18, -29, 67"
values_41,6,-118,"{82, 125, 116, -21, -31, 110"
values_85,26,60,"{-15, 81, 46, -29, 95, 8, 81, 17, 100, 50, -44, 41, 102, -72, -74, 13, -47, -105, 121, -38, -51, 8, -112, -101, 21, -6"
values_79,15,22,"{30, 0, 90, -45, -104, 95, 83, 88, 13, -35, -16, -16, -99, 26, 24"
