id,clockCycles,assemblyInstr
values_27,10,
values_84,12,
values_65,10,
values_96,10,
values_28,10,
values_54,10,
values_15,10,
values_87,10,
values_59,8,
values_5,10,
values_92,10,
values_0,8,
values_77,10,
values_17,10,
values_12,10,
values_33,6,
values_25,12,
values_19,10,
values_97,10,
values_81,10,
values_8,8,
values_73,10,
values_89,12,
values_82,12,
values_34,8,
values_70,10,
values_29,10,
values_51,8,
values_57,10,
values_88,12,
values_23,10,
values_45,8,
values_66,10,
values_36,6,
values_56,8,
values_26,10,
values_43,6,
values_52,8,
values_98,10,
values_61,10,
values_44,8,
values_68,10,
values_41,6,
values_85,10,
values_79,10,
values_71,10,
values_63,10,
values_20,12,
values_74,10,
values_72,10,
values_86,10,
values_75,10,
values_55,8,
values_14,12,
values_47,8,
values_91,10,
values_64,10,
values_11,10,
values_49,8,
values_62,10,
values_80,10,
values_39,8,
values_90,10,
values_53,8,
values_94,10,
values_7,10,
values_31,6,
values_93,10,
values_38,8,
values_58,10,
values_78,10,
values_50,8,
values_3,8,
values_13,10,
values_83,10,
values_1,8,
values_21,10,
values_32,8,
values_22,10,
values_9,8,
values_6,8,
values_76,10,
values_18,12,
values_16,10,
values_40,8,
values_2,8,
values_60,12,
values_99,10,
values_48,6,
values_69,12,
values_46,6,
values_24,10,
values_95,10,
values_42,6,
values_37,8,
values_10,10,
values_67,10,
values_35,8,
values_30,8,
values_4,8,
