,Max_Freq,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32
Max_Freq,1.0,0.36869714317471053,0.44856782833953274,0.27352865764071477,0.13398203746222395,0.36493214533311086,0.24570015223082167,0.35594093630148155,0.38955421690347836,0.32983290703091683,0.4014364062730852,0.20068837391424763,0.16224021851521672,0.335171236044507,0.1798998399734537,0.2850057582848057,0.37820469027055414,0.3118249838945707,0.414129247167671,0.31450855595818406,0.10888329235707486,0.31024681099463547,0.22950732142505392,0.3467694423954543,0.35139226017495356,0.3034721947648982,0.3651631586240303,0.25093618093577474,0.11734286643926772,0.2954363308924059,0.19807163613025097,0.3063902441803743
M_VAL_2,0.36869714317471053,1.0,0.7418033479067361,0.6446012784022543,0.32410198862367057,0.8384668786351316,0.3367490164409619,0.7844275548700136,0.7646453656541282,0.7406345056772203,0.7961488326337691,0.5496807625193023,0.40925334031747534,0.8057520245295033,0.23990150096590357,0.7460359698985877,0.6950652741980439,0.7753601003560213,0.7528187901298354,0.6909333006381112,0.41405170372990935,0.801710510336519,0.30460899381881146,0.7882401371179903,0.7720859995329784,0.6993549590608465,0.8135423754582353,0.5960827596353849,0.32876441184316874,0.7591827626962646,0.2934743121600291,0.7497766326711901
M_VAL_3,0.44856782833953274,0.7418033479067361,1.0,0.5792558027283057,0.32568877601397167,0.7968870213602023,0.34741108493248435,0.7682441826812284,0.7751812977338496,0.7366860776763877,0.7792816829733786,0.47446569897963065,0.31856936692817805,0.7534700681077653,0.30430664210865227,0.6776519404973222,0.7177831172529577,0.7171414961613978,0.782257578253366,0.6661785965063504,0.3248788246858369,0.7296384081035642,0.4260177486520595,0.7524656369638084,0.7275385947939466,0.6918791748086993,0.774191110117582,0.5540023436706735,0.31539183512275104,0.6954298844860706,0.41084762628280264,0.6997981614336843
M_VAL_4,0.27352865764071477,0.6446012784022543,0.5792558027283057,1.0,0.2720598718641522,0.7583147020394958,0.21849116637919375,0.7317639203048765,0.6344398016729894,0.6516463785007216,0.6283814209572905,0.6541529316754795,0.29605898560176425,0.7608514540796436,0.143974312788554,0.7062313012951105,0.5879121436269177,0.6620932638803738,0.5943005209635713,0.7087016165553554,0.3930168914082824,0.7507082682367422,0.2628748605551823,0.7022823107390409,0.6201622402363682,0.6736487535319391,0.6054598939005502,0.632406711297722,0.4019328304471127,0.7359048407080035,0.18064755045048864,0.7201637383739086
M_VAL_5,0.13398203746222395,0.32410198862367057,0.32568877601397167,0.2720598718641522,1.0,0.30679496334196144,0.054449573516180495,0.32048746972024417,0.27780817114723394,0.2994515602053899,0.3049018531220123,0.1773848699539302,0.22822797665730488,0.2753354611800451,0.22003444115135937,0.2996469568761152,0.2750276929133982,0.2982464157082669,0.2905006344222695,0.36402873080751535,0.2128023822290478,0.25973197389188707,0.08697892538119918,0.2764118963683288,0.2323808633970581,0.26038306015345286,0.2614160746471871,0.25773983308002146,0.2349256997067666,0.24789880803685138,0.10798012470644881,0.28696067828339045
M_VAL_6,0.36493214533311086,0.8384668786351316,0.7968870213602023,0.7583147020394958,0.30679496334196144,1.0,0.2937898874957887,0.886227725046024,0.8629438507696219,0.856448020549493,0.8450998895315994,0.6920369175619215,0.3859217416418482,0.9462014458085454,0.26253816728518575,0.8661359262117536,0.7945439260894313,0.8681278654558137,0.8130252353368144,0.8037799049266371,0.42956797938074337,0.9415830053793797,0.3625022280604543,0.9025581692184105,0.8591603153725095,0.8624395426849139,0.8578613574953287,0.7320866455165711,0.398892651769158,0.9111675733899305,0.36353613433699544,0.8896296610607987
M_VAL_7,0.24570015223082167,0.3367490164409619,0.34741108493248435,0.21849116637919375,0.054449573516180495,0.2937898874957887,1.0,0.308002699724812,0.32872903928964625,0.31378411392606204,0.36362709985967256,0.1375612391478206,0.046775914595416315,0.28808275853773907,0.131882135778489,0.23594940895957048,0.25997370927089164,0.2799413868120496,0.3380878897538221,0.2573346061102171,0.09337503709094616,0.25500832846318855,0.23518814700066776,0.31149118665991776,0.2742877488052544,0.23276600400602598,0.33100251603864334,0.21979980903584767,0.09340701836112192,0.24391786200397805,0.17404787824661064,0.24410561934497632
M_VAL_8,0.35594093630148155,0.7844275548700136,0.7682441826812284,0.7317639203048765,0.32048746972024417,0.886227725046024,0.308002699724812,1.0,0.7904175478465363,0.7705019611460251,0.7790331686537283,0.6620854722389897,0.3634626790532876,0.8622034899132044,0.2579656368671254,0.7892090374946922,0.7144968077147328,0.7886113501580342,0.7596853620709407,0.7798076702293207,0.42311789645126086,0.8501934158193325,0.3514808616389466,0.8391515866841825,0.8056807103919871,0.7584227797292303,0.8074261541077372,0.7008959992259399,0.4165713281051291,0.8189484807518063,0.34367997929596106,0.794876899654696
M_VAL_9,0.38955421690347836,0.7646453656541282,0.7751812977338496,0.6344398016729894,0.27780817114723394,0.8629438507696219,0.32872903928964625,0.7904175478465363,1.0,0.7526757901823624,0.8081492896833085,0.5172342991277269,0.33735533400530937,0.8109570332071776,0.2725702007849075,0.7280189028914625,0.7039643149730257,0.7777547772935017,0.7793851895741848,0.7169680020302788,0.3767319503660399,0.8120988907520389,0.4059034207978206,0.7960187863918494,0.799552070253358,0.7474731554033338,0.8292597640600253,0.57930097348607,0.3078704095899086,0.772443280192231,0.3515805818480457,0.7508697676930475
M_VAL_10,0.32983290703091683,0.7406345056772203,0.7366860776763877,0.6516463785007216,0.2994515602053899,0.856448020549493,0.31378411392606204,0.7705019611460251,0.7526757901823624,1.0,0.7720866874056354,0.5764488648241023,0.37878573304003343,0.8510158882620033,0.28570550177480725,0.7891635425856952,0.7432314503712688,0.7827811254048858,0.7686465978667363,0.6902896845328467,0.37418140893259844,0.8350571626608857,0.306638892600248,0.8003292582348212,0.7686796796732516,0.8002489596036331,0.7714439292453628,0.627171752652325,0.3789056385244126,0.8233684945164776,0.2950021450707508,0.7757364996426975
