,BugsDelivered,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,Total_Operands,VocabularySize,Sloc,GlobalVariables,Loop,Assignment,ExitPoint,Function.1,FunctionCall,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,cInstr,Bugs_Delivered,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,Flip_Flop
0,3.22312,66,668797.52,1202,0.01,9669.36,37155.42,787,415,264,103,13,7,36,10,10,11,10,9,90,1,1,1,3,1,3746.0,3.22312,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,24,15,0,29,1,8,23,17,18,0,1,21,0,4,10,10,12,20,0,18,2,20,8,8,12,11,6,9,8,8,1001
1,2.090713333,66,508211.37,839,0.01,6272.14,28233.97,564,275,178,103,13,7,36,10,10,11,10,9,90,1,1,1,3,1,184.0,2.090713333,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447
2,4.03179,66,973845.54,1486,0.01,12095.37,54102.53,959,527,282,103,13,7,36,10,10,11,10,9,90,1,1,1,3,1,7278.0,4.03179,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,35,34,0,61,0,21,16,12,17,4,0,59,0,29,16,24,23,9,0,40,0,25,25,11,16,7,5,12,6,18,877
3,5.037043333,66,1474034.31,1844,0.01,15111.13,81890.79,1173,671,293,103,13,7,36,10,10,11,10,9,90,1,1,1,3,1,15541.0,5.037043333,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,38,17,0,0,68,0,31,22,31,33,4,6,56,0,41,14,36,20,28,3,70,0,32,17,17,39,9,0,46,0,27,956
4,3.21919,66,678258.63,1203,0.01,9657.57,37681.04,788,415,261,103,13,7,36,10,10,11,10,9,90,1,1,1,3,1,3297.0,3.21919,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,14,1,0,29,0,9,20,6,17,0,1,20,0,6,19,9,12,8,0,14,13,9,6,9,10,8,1,8,6,8,1001
5,2.464366667,66,527507.75,955,0.01,7393.1,29305.99,635,320,214,103,13,7,36,10,10,11,10,9,90,1,1,1,3,1,1107.0,2.464366667,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11,5,1,6,0,9,3,2,4,2,1,0,0,0,2,2,5,4,0,1,3,1,1,1,1,1,2,0,0,0,1002
6,4.49892,66,1167440.4,1647,0.01,13496.76,64857.8,1052,595,293,103,13,7,36,10,10,11,10,9,90,1,1,1,3,1,8908.0,4.49892,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,18,9,0,70,0,15,33,25,11,0,0,44,0,18,36,13,27,10,0,46,15,5,39,22,19,1,0,34,1,16,957
7,2.090713333,66,508211.37,839,0.01,6272.14,28233.97,564,275,178,103,13,7,36,10,10,11,10,9,90,1,1,1,3,1,181.0,2.090713333,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447
8,2.478523333,66,519997.2,958,0.01,7435.57,28888.73,638,320,217,103,13,7,36,10,10,11,10,9,90,1,1,1,3,1,1329.0,2.478523333,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,10,5,1,5,0,4,5,1,5,4,3,0,0,2,6,4,7,6,2,1,0,1,1,1,1,2,1,0,1,0,1002
9,4.542576667,66,1194555.58,1666,0.01,13627.73,66364.2,1071,595,290,103,13,7,36,10,10,11,10,9,90,1,1,1,3,1,17095.0,4.542576667,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,9,8,3,42,11,12,12,21,24,0,0,48,0,16,32,1,38,13,0,40,0,31,24,17,18,9,0,48,0,30,957
