id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,1,,25,0.040
values_84,1,,43,0.023
values_65,1,,61,0.016
values_96,1,,61,0.016
values_28,1,,52,0.019
values_54,1,,25,0.040
values_15,1,,34,0.029
values_87,1,,43,0.023
values_59,1,,52,0.019
values_5,1,,25,0.040
values_92,1,,16,0.062
values_0,1,,52,0.019
values_77,1,,34,0.029
values_17,1,,13,0.077
values_12,1,,43,0.023
values_33,1,,34,0.029
values_25,1,,52,0.019
values_19,1,,16,0.062
values_97,1,,52,0.019
values_81,1,,16,0.062
values_8,1,,43,0.023
values_73,1,,43,0.023
values_89,1,,52,0.019
values_82,1,,16,0.062
values_34,1,,43,0.023
values_70,1,,34,0.029
values_29,1,,16,0.062
values_51,1,,43,0.023
values_57,1,,16,0.062
values_88,1,,34,0.029
values_23,1,,52,0.019
values_45,1,,16,0.062
values_66,1,,16,0.062
values_36,1,,13,0.077
values_56,1,,25,0.040
values_26,1,,16,0.062
values_43,1,,16,0.062
values_52,1,,16,0.062
values_98,1,,52,0.019
values_61,1,,43,0.023
values_44,1,,34,0.029
values_68,1,,16,0.062
values_41,1,,34,0.029
values_85,1,,16,0.062
values_79,1,,43,0.023
values_71,1,,16,0.062
values_63,1,,16,0.062
values_20,1,,34,0.029
values_74,1,,25,0.040
values_72,1,,16,0.062
values_86,1,,13,0.077
values_75,1,,16,0.062
values_55,1,,16,0.062
values_14,1,,43,0.023
values_47,1,,43,0.023
values_91,1,,16,0.062
values_64,1,,16,0.062
values_11,1,,16,0.062
values_49,1,,52,0.019
values_62,1,,16,0.062
values_80,1,,16,0.062
values_39,1,,16,0.062
values_90,1,,16,0.062
values_53,1,,43,0.023
values_94,1,,52,0.019
values_7,1,,43,0.023
values_31,1,,16,0.062
values_93,1,,16,0.062
values_38,1,,16,0.062
values_58,1,,43,0.023
values_78,1,,52,0.019
values_50,1,,16,0.062
values_3,1,,16,0.062
values_13,1,,16,0.062
values_83,1,,16,0.062
values_1,1,,16,0.062
values_21,1,,16,0.062
values_32,1,,25,0.040
values_22,1,,43,0.023
values_9,1,,16,0.062
values_6,1,,16,0.062
values_76,1,,16,0.062
values_18,1,,16,0.062
values_16,1,,16,0.062
values_40,1,,16,0.062
values_2,1,,16,0.062
values_60,1,,52,0.019
values_99,1,,16,0.062
values_48,1,,16,0.062
values_69,1,,16,0.062
values_46,1,,25,0.040
values_24,1,,52,0.019
values_95,1,,16,0.062
values_42,1,,16,0.062
values_37,1,,52,0.019
values_10,1,,16,0.062
values_67,1,,43,0.023
values_35,1,,16,0.062
values_30,1,,16,0.062
values_4,1,,43,0.023
