id,cInstr
values_27,321
values_84,2372
values_65,15830
values_96,432
values_28,320
values_54,3230
values_15,13680
values_87,2903
values_59,12301
values_5,1013
values_92,709
values_0,839
values_77,9895
values_17,11248
values_12,14683
values_33,2357
values_25,254
values_19,11575
values_97,516
values_81,1129
values_8,1033
values_73,9956
values_89,2835
values_82,10538
values_34,2383
values_70,21705
values_29,321
values_51,2971
values_57,2508
values_88,1983
values_23,251
values_45,9701
values_66,18108
values_36,2244
values_56,3710
values_26,251
values_43,9605
values_52,2229
values_98,609
values_61,20678
values_44,9637
values_68,19489
values_41,19837
values_85,2396
values_79,17758
values_71,19452
values_63,17289
values_20,250
values_74,10534
values_72,14748
values_86,3643
values_75,16113
values_55,3764
values_14,15356
values_47,16069
values_91,703
values_64,21453
values_11,20798
values_49,15245
values_62,20087
values_80,1844
values_39,2367
values_90,615
values_53,2637
values_94,683
values_7,718
values_31,2514
values_93,770
values_38,2790
values_58,2246
values_78,16293
values_50,20258
values_3,938
values_13,16080
values_83,1547
values_1,1054
values_21,257
values_32,2508
values_22,254
values_9,846
values_6,837
values_76,17106
values_18,14347
values_16,12897
values_40,10059
values_2,647
values_60,22008
values_99,594
values_48,15929
values_69,18309
values_46,10060
values_24,321
values_95,528
values_42,8902
values_37,4010
values_10,11217
values_67,19031
values_35,1964
values_30,2246
values_4,1111
