inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_27, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_84, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_65, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_96, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_28, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_54, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_15, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_87, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_59, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_5, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_92, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_0, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_77, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_17, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_12, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_33, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_25, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_19, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_97, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_81, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_8, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_73, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_89, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_82, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_34, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_70, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_29, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_51, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_57, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_88, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_23, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_45, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_66, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_36, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_56, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_26, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_43, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_52, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_98, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_61, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_44, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_68, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_41, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_85, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_79, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_71, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_63, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_20, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_74, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_72, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_86, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_75, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
values_55, 103, 19, 13, 19, 7, 3, 36, 10, 10, 11, 9, 29, 10, 9, 90.0
