id,clockCycles,assemblyInstr
values_27,391,
values_84,3495,
values_65,26250,
values_96,504,
values_28,390,
values_54,4886,
values_15,22058,
values_87,4406,
values_59,28211,
values_5,1436,
values_92,921,
values_0,1126,
values_77,15723,
values_17,17699,
values_12,24229,
values_33,3481,
values_25,290,
values_19,19024,
values_97,646,
values_81,1314,
values_8,1444,
values_73,15838,
values_89,3957,
values_82,34358,
values_34,3732,
values_70,38443,
values_29,391,
values_51,4689,
values_57,3631,
values_88,2747,
values_23,291,
values_45,15457,
values_66,31279,
values_36,3238,
values_56,5577,
values_26,291,
values_43,14839,
values_52,3109,
values_98,777,
values_61,35678,
values_44,15239,
values_68,31506,
values_41,34463,
values_85,3488,
values_79,31285,
values_71,34372,
values_63,33360,
values_20,290,
values_74,16814,
values_72,25631,
values_86,5667,
values_75,27998,
values_55,5930,
values_14,21679,
values_47,29844,
values_91,921,
values_64,33279,
values_11,36719,
values_49,27010,
values_62,36852,
values_80,2525,
values_39,3474,
values_90,779,
values_53,3779,
values_94,907,
values_7,943,
values_31,3727,
values_93,1056,
values_38,4489,
values_58,3097,
values_78,24486,
values_50,45340,
values_3,1285,
values_13,28962,
values_83,2027,
values_1,1448,
values_21,289,
values_32,3951,
values_22,290,
values_9,1118,
values_6,1128,
values_76,28758,
values_18,32155,
values_16,20825,
values_40,16129,
values_2,813,
values_60,39061,
values_99,788,
values_48,29072,
values_69,27835,
values_46,16013,
values_24,391,
values_95,640,
values_42,13332,
values_37,6367,
values_10,18012,
values_67,31333,
values_35,2752,
values_30,3188,
values_4,1575,
