,clockCycles,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32
clockCycles,1.0,0.42402841437942523,0.3851003428145958,0.47586679708202606,0.16706505915983327,0.5284677484210238,0.08019800579088661,0.5015818682142574,0.4343894814331243,0.44684380112013855,0.36068356718636063,0.5686598849140095,0.24924074712661465,0.5576211382914391,0.08129591634316347,0.5213910611224967,0.41676290173994684,0.4302565905159293,0.39933388267989495,0.517251301314842,0.29724154558171173,0.5684080441526159,0.10567708744956494,0.5170114286234894,0.4449145909721195,0.48128838406927343,0.4056020296314234,0.4908057620874411,0.26732281714001305,0.5894210201613711,0.13883956553875285,0.49836870234472397
M_VAL_2,0.42402841437942523,1.0,0.7688076955002812,0.6783602991176635,0.366923833062639,0.8552242451563276,0.36711718229751483,0.8068657940616976,0.7878018723904066,0.7647863397956473,0.8165077439037909,0.581950632527931,0.4416404973398089,0.8245201863150383,0.2692737914014858,0.7691392042666751,0.7235910535087482,0.7958162640452442,0.77669249928674,0.7214584446711738,0.44317726312053385,0.8203391518887699,0.33668153427694336,0.8088152830753305,0.7929740413282482,0.7256060448050562,0.8308443770332256,0.6288541883192502,0.36726628051502425,0.7806776652744098,0.32268541311143395,0.7724116578962055
M_VAL_3,0.3851003428145958,0.7688076955002812,1.0,0.6212830230004699,0.37022678173259277,0.8193330646327468,0.3779531485426291,0.7938938852819083,0.7983833259596709,0.7622219051596117,0.8024754879889492,0.5141248490999748,0.3587149024383706,0.7784090011148216,0.33044855007880813,0.7083162995322471,0.74531476672659,0.7440090138553275,0.804217194668357,0.7008984543841034,0.36120032002877134,0.7561944419092955,0.45070043584491715,0.7776659567660885,0.7535593910328799,0.7197774409327627,0.7959720544697372,0.5918046879084549,0.3564157154492342,0.7237994703890017,0.43300758454245064,0.7281231897127824
M_VAL_4,0.47586679708202606,0.6783602991176635,0.6212830230004699,1.0,0.31697943970108183,0.7821283099008383,0.2551523397593921,0.7582744153674735,0.6688478575059197,0.6828725289118256,0.6638425577684924,0.677765878386583,0.3349062271410528,0.7830011728426121,0.17787967605496027,0.7320357968167983,0.6249677508778727,0.6918518872749951,0.631859044674609,0.7361994452244845,0.42281353641343133,0.7732601922562911,0.29654655214971787,0.729989972821353,0.6537921648656698,0.7012348386119771,0.640812993657102,0.6612156187045471,0.43449502732839196,0.7587318819251394,0.21559082029047094,0.7446255123912724
M_VAL_5,0.16706505915983327,0.366923833062639,0.37022678173259277,0.31697943970108183,1.0,0.35260710794321176,0.08708244743963298,0.3652856601994981,0.3235945537930864,0.3419391564273603,0.3492789368813814,0.21865875070701007,0.2592756959350155,0.3206651484427885,0.24222705921712825,0.34145437476048607,0.3192507709605956,0.34021997311796653,0.33474945670035305,0.4037873484245955,0.24239729429368698,0.30520779027554534,0.11819526393286497,0.3218532850426427,0.2788313567827195,0.30340750483779744,0.30641432503855837,0.2985020089994533,0.26608671298978,0.29250083053125525,0.13590643310072648,0.32943411678270357
M_VAL_6,0.5284677484210238,0.8552242451563276,0.8193330646327468,0.7821283099008383,0.35260710794321176,1.0,0.32796768894033146,0.8987459033190041,0.8769444322520457,0.8700178339260255,0.8612641343695698,0.7132773723097112,0.4209200594504532,0.9513593853851394,0.291359639594884,0.8783007280210574,0.8143369305874789,0.8801493355066555,0.8317593119768089,0.8240082978361893,0.4582332712769791,0.9468588598354136,0.3915504665416349,0.9122566770571471,0.8721762116862501,0.8740922866786712,0.8712813937515012,0.7537099584305166,0.43353060052396136,0.9186510997505205,0.38886307541207604,0.8994088411898319
M_VAL_7,0.08019800579088661,0.36711718229751483,0.3779531485426291,0.2551523397593921,0.08708244743963298,0.32796768894033146,1.0,0.3412219683591233,0.35943025727447203,0.3444335985158213,0.39234577101121393,0.17114788297678618,0.07685695097719489,0.3209688553430737,0.15170036766883171,0.27060798115610674,0.2938287160573102,0.31216590524245585,0.36789741976986423,0.2926217441012065,0.12017559450359952,0.2893065014415331,0.255750818596891,0.3430424082382524,0.3069490171969219,0.266654332193944,0.360642912902303,0.2525765274780225,0.12233936556033326,0.277752792650291,0.19444449107672226,0.2781896915469128
M_VAL_8,0.5015818682142574,0.8068657940616976,0.7938938852819083,0.7582744153674735,0.3652856601994981,0.8987459033190041,0.3412219683591233,1.0,0.8119603062381469,0.7926086087101673,0.8021704247261048,0.6858471786670141,0.40015612699231307,0.875945199693427,0.2871112113669842,0.8088863791502955,0.7422726216108188,0.808412522747329,0.7838862785709642,0.8025554318312604,0.45226288786730673,0.8646063038345618,0.38131176118690757,0.8553657750758339,0.8239531450486733,0.7799385100257472,0.8258556076903644,0.7253397504080574,0.4499168980157954,0.8353215022488106,0.3703566029493318,0.8138711192543937
M_VAL_9,0.4343894814331243,0.7878018723904066,0.7983833259596709,0.6688478575059197,0.3235945537930864,0.8769444322520457,0.35943025727447203,0.8119603062381469,1.0,0.7755115508679119,0.8271109132773264,0.551824387625389,0.374418195942811,0.8290587464259639,0.2998198993348649,0.7525914010790848,0.7314154381283879,0.7978448621979849,0.8004958998294278,0.7446454220336519,0.40815798720744795,0.8296078273538724,0.431422669384624,0.8156548362092105,0.8177632974165546,0.7692835049094328,0.8449772900401182,0.6132450407968035,0.34752003961066985,0.7925967353373875,0.3770930035494659,0.7732392663467567
M_VAL_10,0.44684380112013855,0.7647863397956473,0.7622219051596117,0.6828725289118256,0.3419391564273603,0.8700178339260255,0.3444335985158213,0.7926086087101673,0.7755115508679119,1.0,0.7933663565725326,0.6055320546312897,0.41194581228264476,0.8645537957807479,0.31144481848435507,0.8074025718874678,0.7659530074550006,0.801615818755926,0.7896856500272342,0.7190095051574358,0.4048385165311473,0.8497372493052974,0.33737786912973056,0.8185673253882625,0.7888408486174028,0.8168498982627771,0.7916001472987523,0.656042834455647,0.41258468872673215,0.8384045861850881,0.32309127539520954,0.7950486138858035
