,Max_Freq,BugsDelivered,DifficultyLevel,DistinctOperands,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,Total_Operands,VocabularySize,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function.1,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,ARRAY_INPUT,RANGE_ARRAY_INPUT,cInstr
Max_Freq,1.0,0.34099160764429587,0.1666124465111319,0.3526537224534914,0.03124525949392906,0.2775772295708624,0.33687730521998266,-0.11991584114805917,0.34099160764762937,0.27757723659254196,0.35137173946216643,0.3113588581099878,0.3186872659616552,0.29000285376449103,0.4400770128293948,0.42615143359854246,0.4400770128293948,0.39411812222906123,0.510333868956425,0.11400329081953803,0.3267443408852263,0.3267443408852263,0.3242970427092783,-0.12011370087962416,0.41943562418638664,0.3267443408852263,0.3154901393748542,-0.20994324270493311,0.21771891535112545,0.1718427870314505,-0.22415282772905182,-0.22415282772905096,-0.356035824039594,-0.15359756407244635,-0.0209337991430234
BugsDelivered,0.34099160764429587,1.0,0.7536068957404285,0.886260143100637,0.3562233025463757,0.9656572946185183,0.9983194932864857,-0.6346407063659356,1.0000000000000009,0.9656572946649301,0.9961530283475427,0.9870593347536925,0.8475799287511212,0.5594228235561997,0.642271043889237,0.5587772709864154,0.642271043889237,0.5931913638394817,0.45853153358072923,0.4530167038798603,0.5124263767406876,0.5124263767406876,0.5104374698638173,0.4187386687622528,0.6243639363644138,0.5124263767406876,0.5021473259112984,-0.25403777315775145,-0.12611979606853774,-0.04012736447110874,0.22451388441146514,0.22451388441146597,0.2811220011906645,-0.02778062028846826,-0.026186260619292537
DifficultyLevel,0.1666124465111319,0.7536068957404285,1.0,0.5457593473410545,0.36029855847535075,0.8186726372923601,0.7631118759319736,-0.8970301615311894,0.7536068957431015,0.8186726385235198,0.7630129095710474,0.7522835287621086,0.5456314418432535,0.7140524914622093,0.7032921891279289,0.4832033007171419,0.7032921891279289,0.6560648863411245,0.4370108266012075,0.6994960835484348,0.5658927920944079,0.5658927920944079,0.5645463871568716,0.3565792940159232,0.685326711251597,0.5658927920944079,0.5580604114514585,-0.2613390740368876,-0.1462543425453997,-0.08438685406610329,0.2000467002705684,0.2000467002705682,0.27700840005781063,0.081012241477107,-0.0011976468854799191
DistinctOperands,0.3526537224534914,0.886260143100637,0.5457593473410545,1.0,0.608395599974448,0.7725208983824255,0.8655023154167938,-0.5007875443346486,0.8862601430992953,0.7725208971533649,0.8732076376468476,0.8420695214814803,0.9910609313259927,0.5243000502318383,0.6024115572606021,0.7145579331320883,0.6024115572606021,0.5117337144950275,0.5141681553447665,0.39680027003455964,0.5447893871069452,0.5447893871069452,0.5579474169801966,0.49145594604217646,0.6076625718409928,0.5447893871069452,0.5187213095854889,-0.4007333068517753,-0.09371900985216135,0.04350895685618028,0.28366443955557397,0.2836644395555745,0.32215183954055193,-0.01956470284187778,-0.028668301792638073
DistinctOperators,0.03124525949392906,0.3562233025463757,0.36029855847535075,0.608395599974448,1.0,0.3164836027868913,0.3180394800298393,-0.3946132987526744,0.3562233025390766,0.316483600728831,0.3647997607721441,0.24676543841532586,0.7088358176075996,0.4171747805264731,0.391066025012662,0.7433465521598696,0.391066025012662,0.25250897062776295,0.5239712451422129,0.3828676205981315,0.4233876428836491,0.4233876428836491,0.46422113424119527,0.31580675850671985,0.41843331688978547,0.4233876428836491,0.37267908443363795,-0.5862043542765378,0.044877749979542816,0.23621093112452787,0.27370490930086744,0.2737049093008669,0.16318615162647804,0.3650532571924532,-0.001416478434364081
Effort,0.2775772295708624,0.9656572946185183,0.8186726372923601,0.7725208983824255,0.3164836027868913,1.0,0.9665954417482078,-0.6497739534216175,0.9656572946179025,0.9999999999999908,0.9661734256339297,0.9533028971433912,0.7398094293454763,0.5303452383644468,0.6020876701960609,0.4957444212436295,0.6020876701960609,0.5466345000885022,0.448947557542657,0.4451593088750788,0.4755577855302105,0.4755577855302105,0.4742906776840793,0.37259980491551103,0.5836485829810506,0.4755577855302105,0.46500615145579005,-0.24766925977905754,-0.07747335208793371,-0.0004430067107236449,0.17648251244851917,0.17648251244851965,0.23720067632369138,0.00352631945308698,-0.022850970836737226
ProgramLength,0.33687730521998266,0.9983194932864857,0.7631118759319736,0.8655023154167938,0.3180394800298393,0.9665954417482078,1.0,-0.6418745314327055,0.9983194932867957,0.966595441819058,0.9958522956130575,0.9915418707130738,0.8227118814394339,0.5609124555550805,0.6428716084938314,0.5328531172192786,0.6428716084938314,0.6041996763101439,0.43564738197643954,0.45832363802002474,0.5030612079456359,0.5030612079456359,0.4982981634636047,0.4130143168854309,0.6215652563645431,0.5030612079456359,0.4961303885977653,-0.22088131080570456,-0.14941575295546558,-0.07210304424829965,0.22684836407920617,0.22684836407920592,0.2869781191469002,-0.03393017406469246,-0.025150689469974133
ProgramLevel,-0.11991584114805917,-0.6346407063659356,-0.8970301615311894,-0.5007875443346486,-0.3946132987526744,-0.6497739534216175,-0.6418745314327055,1.0,-0.6346407063712367,-0.6497739539519131,-0.6414421684944076,-0.633264518694622,-0.5114292889249855,-0.7481596568875809,-0.6982446407970907,-0.4805161420815137,-0.6982446407970907,-0.6556589897531484,-0.39443037320863483,-0.751625672631691,-0.5968779591198401,-0.5968779591198401,-0.5988811449331853,-0.3630084131917606,-0.6924500830241985,-0.5968779591198401,-0.5873399658162648,0.3071353647351217,0.20824080644724638,0.1453814956650217,-0.24463514847198484,-0.24463514847198536,-0.32085296723906603,-0.11976733089151395,-0.017408817018739486
ProgramVolume,0.34099160764762937,1.0000000000000009,0.7536068957431015,0.8862601430992953,0.3562233025390766,0.9656572946179025,0.9983194932867957,-0.6346407063712367,1.0,0.9656572946643185,0.9961530283467134,0.9870593347556257,0.8475799287486981,0.5594228235558018,0.6422710438888353,0.5587772709781657,0.6422710438888353,0.5931913638395913,0.45853153357922083,0.4530167038803937,0.5124263767382919,0.5124263767382919,0.5104374698617133,0.41873866876903193,0.6243639363633122,0.5124263767382919,0.502147325908281,-0.2540377731693077,-0.1261197960705547,-0.04012736447484507,0.2245138844101262,0.2245138844101262,0.2811220011905606,-0.02778062029945641,-0.026186260617833742
TimeToImplement,0.27757723659254196,0.9656572946649301,0.8186726385235198,0.7725208971533649,0.316483600728831,0.9999999999999908,0.966595441819058,-0.6497739539519131,0.9656572946643185,1.0,0.9661734253590749,0.9533028977063636,0.7398094279071389,0.5303452394068429,0.6020876720858711,0.4957444215057322,0.6020876720858711,0.5466344998916709,0.44894756363610044,0.4451593095760354,0.47555778665645604,0.47555778665645604,0.4742906789219245,0.37259979670894045,0.5836485846870852,0.47555778665645604,0.4650061523310932,-0.24766926315550677,-0.07747333667433084,-0.0004429956209149196,0.1764824948651547,0.17648249486515444,0.23720066001933965,0.00352631328711429,-0.022850971923223076
