,Flip_Flop,SS_VAL_1,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28
Flip_Flop,1.0,-0.02846378898341679,0.02062968072643318,-0.07503760094564783,-0.045778099423630404,-0.008548505150945926,0.013871677253839532,-0.01910142922007121,-0.017429248463981032,0.010523858389833707,0.0005825721954258561,-0.014677936242559362,-0.01003687700022585,0.0033915569104377152,-0.0018645376406958526,-6.539027363766722e-05,-0.009205070984249017,-0.009442584932043498,-0.0012158190109867026,0.009138229621430788,0.00015177400546976163,-0.00017799185027909424,-0.0066319550794384915,-0.0017517688502305246,0.010705531568316344,0.0034137100609248614,0.015783491381169232,-0.0014582206322194195,-0.005893313731156623,0.004514009761250584,0.00852206965950832,-0.005100066137232594
SS_VAL_1,-0.02846378898341679,1.0,-0.24261089493348548,-0.19625425999978224,0.07160029209152578,0.04548831092258484,0.06637668067160477,0.049402477384354805,0.08554585132290962,0.07328590867413752,0.07469718997374768,0.12452007169048991,0.10801513975971799,0.1074624940241798,0.07138644038671457,0.07886058172615087,0.13277337130853054,0.11400796852274722,0.11118334106409145,0.07693258349590741,0.09771990976262981,0.09238255823801693,0.15364528728547822,0.1028845211032898,0.06800404212763486,0.09339139484268696,0.06362028912762181,0.09630450991903167,0.09722127502410807,0.08899003983222757,0.001458369767090046,0.09489630457772315
SV_VAL_1,0.02062968072643318,-0.24261089493348548,1.0,0.21383339930997614,-0.03465521033322354,-0.0076332841864264495,-0.03289832929918973,-0.006464966095446772,-0.015356495840210677,-0.026995904651449923,-0.019886477057005744,-0.021146989857754574,-0.026399809034879113,-0.02184001099882568,-0.01139225761734756,-0.02523238207118926,-0.010523059419938087,-0.031249812604503255,-0.01541509274657219,-0.002673509038516027,-0.02005216155836338,-0.020784402652441365,-0.02339866894931156,-0.01666060681506038,0.012810720886023995,0.004011812176292434,0.004936334618707588,-0.006038949041972163,-0.035561544252814555,-0.013813152625638772,-0.03890780138620979,-0.008278538708174445
SV_VAL_2,-0.07503760094564783,-0.19625425999978224,0.21383339930997614,1.0,-0.024511092987953828,-0.020101877378629156,-0.019641408668758603,-0.019017803570453164,-0.023561976952423815,-0.015302082127389746,-0.01917865565346524,-0.02081203059512985,-0.019315411449658183,-0.015532053239374899,-0.01158413267834668,-0.015360215619474444,-0.021231252582045605,-0.020356359439066076,-0.014686655827264253,-0.009098318648861332,-0.012438971580521202,-0.011091407855085512,-0.019275334366464152,-0.012263957569395008,-0.008177300382270516,-0.010209781484007736,-0.007373491517318881,-0.009902112733290775,-0.009813069954508606,-0.008266425037364062,-0.0002939990516037689,-0.008571226750202426
V_VAL_1,-0.045778099423630404,0.07160029209152578,-0.03465521033322354,-0.024511092987953828,1.0,0.13931919811483792,0.12549242566792485,0.12643163409570374,0.13389181641836825,0.11424633156012333,0.061497124022195385,0.07563377350124395,0.12245261426838483,0.08904671156726343,0.1366165199651683,0.12765983514445206,0.13076914359810124,0.07453553591562778,0.1389578002034762,0.1220518236382276,0.10792730331475604,0.08039021342122876,0.0677281195862677,0.05883380805646915,0.056764518165352655,0.04662137716761374,0.10428398597221272,0.011016400222596477,0.06778278509501105,-0.019217115279867653,0.06376874295428459,0.04409314749803636
V_VAL_2,-0.008548505150945926,0.04548831092258484,-0.0076332841864264495,-0.020101877378629156,0.13931919811483792,1.0,0.12556514669779154,0.129338544244301,0.0776033960259435,0.12217370737532186,0.11237280980326562,0.07705172727796744,0.10555499055569953,0.11311789482173752,0.09658988982012802,0.13633730902864946,0.08733915979580796,0.12706574722435401,0.07374178443325476,0.047725950533155835,0.08605891039534598,0.1319982879737129,0.08575101120618175,0.015531509798779174,0.12205518801762112,0.10126900758644698,0.08157699303868925,0.0247385394078947,0.05838357268455462,0.043024727840944486,0.006567763113597097,0.029195143799977154
V_VAL_3,0.013871677253839532,0.06637668067160477,-0.03289832929918973,-0.019641408668758603,0.12549242566792485,0.12556514669779154,1.0,0.145502589856007,0.11291751324770564,0.10606849137260764,0.10270431618523579,0.08435157453518254,0.09055509621341362,0.11841851228711102,0.05896674379638052,0.10829027282782684,0.062053452333724175,0.10747749795035179,0.04522346478781313,0.03521041875230489,0.06893402373626432,0.01816045245414161,0.04843905330123854,0.11735449636266986,0.0939712237108334,0.08591470657340612,0.04955694085421942,0.05741412654110542,0.0173099922454842,0.040120887053348764,0.05119523713851814,0.041910817991404926
V_VAL_4,-0.01910142922007121,0.049402477384354805,-0.006464966095446772,-0.019017803570453164,0.12643163409570374,0.129338544244301,0.145502589856007,1.0,0.09272433580298867,0.15478620685808045,0.12293517698818827,0.14135758275693983,0.11219054790620632,0.08891820465287562,0.11302909163388816,0.1549937473948699,0.11972122161677978,0.13597321989507882,0.1420170271869943,0.12510274635943497,0.1466695089997026,0.09114303130525123,0.08994032606959972,0.08073118329279082,0.12641901932969113,0.10289208494880155,0.10881258379851069,0.03709867861357219,0.08584470861122204,0.10386223432404679,0.04638597709515494,-0.0077671341146768455
V_VAL_5,-0.017429248463981032,0.08554585132290962,-0.015356495840210677,-0.023561976952423815,0.13389181641836825,0.0776033960259435,0.11291751324770564,0.09272433580298867,1.0,0.1170922915194004,0.1433330903497907,0.05302284415291598,0.1281563577940789,0.07637351541870382,0.13415710116791707,0.09980424611711906,0.10963904996649584,0.059476992131618375,0.11902766676505118,0.09373551768534741,0.10326623165397551,0.09002590384764653,0.04777635842806923,0.04259103064068963,0.06495482186930797,0.033570080221779784,0.083839442540421,0.022028882808888758,0.004038512441224496,0.08909650196521661,-0.014183097406313749,0.04463982399623781
V_VAL_6,0.010523858389833707,0.07328590867413752,-0.026995904651449923,-0.015302082127389746,0.11424633156012333,0.12217370737532186,0.10606849137260764,0.15478620685808045,0.1170922915194004,1.0,0.14997447157120603,0.1448048755869455,0.1135121079757891,0.14861665731652715,0.14485739985469212,0.17030700755115694,0.1232631496955464,0.13344158958097105,0.10058222651628697,0.07337400633822896,0.11872077869087164,0.08306051842205897,0.11126196667720768,0.06321276874650311,0.05828120168678548,0.11417307067933696,0.07270678631968396,0.0538786845266137,0.05462984592792482,0.09839827321838641,0.01858257070156832,0.04101771440631261
