inputName,size,arr[size]
values_27,2,"{68, 94"
values_84,10,"{91, 60, 2, 75, 95, 87, 6, 66, 69, 24"
values_65,25,"{3, 10, 33, 98, 3, 103, 3, 74, 95, 99, 85, 53, 102, 76, 73, 79, 116, 80, 72, 10, 69, 101, 32, 35, 89"
values_96,21,"{52, 110, 39, 44, 85, 8, 48, 46, 59, 113, 83, 78, 90, 6, 105, 30, 40, 25, 97, 63, 17"
values_28,19,"{37, 94, 18, 104, 32, 109, 68, 13, 77, 14, 39, 47, 84, 73, 112, 107, 52, 90, 26"
values_54,16,"{111, 29, 97, 14, 67, 35, 97, 28, 55, 66, 2, 40, 83, 115, 46, 14"
values_15,13,"{67, 112, 114, 92, 74, 75, 7, 80, 34, 89, 110, 106, 78"
values_87,5,"{60, 65, 30, 95, 105"
values_59,8,"{89, 76, 88, 53, 82, 32, 105, 70"
values_5,23,"{54, 78, 16, 97, 25, 101, 41, 89, 80, 40, 87, 31, 31, 48, 32, 38, 103, 54, 12, 50, 13, 68, 90"
values_92,22,"{5, 78, 4, 87, 114, 82, 68, 59, 75, 21, 33, 30, 7, 2, 105, 102, 70, 85, 26, 13, 98, 10"
values_0,28,"{39, 15, 72, 78, 83, 37, 107, 98, 74, 42, 31, 38, 75, 27, 109, 38, 70, 35, 63, 39, 3, 9, 93, 34, 43, 116, 5, 83"
values_77,5,"{63, 19, 99, 77, 104"
values_17,20,"{88, 38, 70, 71, 95, 71, 3, 79, 66, 54, 116, 8, 112, 82, 111, 106, 12, 100, 89, 115"
values_12,26,"{17, 116, 71, 70, 64, 24, 2, 33, 36, 27, 107, 33, 109, 20, 41, 44, 99, 26, 7, 92, 26, 61, 106, 7, 12, 17"
values_33,12,"{72, 7, 83, 83, 104, 96, 111, 103, 20, 26, 93, 84"
values_25,19,"{79, 61, 8, 86, 46, 109, 51, 16, 32, 113, 88, 63, 47, 85, 60, 84, 4, 85, 63"
values_19,9,"{60, 15, 75, 89, 62, 3, 36, 80, 49"
values_97,28,"{45, 7, 27, 5, 70, 41, 63, 7, 7, 7, 97, 95, 54, 92, 67, 95, 112, 72, 34, 115, 103, 60, 13, 60, 63, 8, 26, 109"
values_81,22,"{42, 6, 27, 37, 80, 37, 27, 80, 97, 85, 44, 10, 11, 15, 112, 80, 93, 24, 112, 12, 6, 54"
values_8,5,"{46, 105, 20, 45, 59"
values_73,25,"{95, 23, 18, 73, 90, 115, 28, 108, 86, 94, 47, 43, 82, 65, 107, 36, 38, 45, 25, 2, 77, 60, 107, 10, 105"
values_89,26,"{17, 92, 59, 7, 23, 90, 106, 80, 12, 85, 35, 108, 23, 65, 40, 21, 43, 76, 32, 36, 111, 13, 92, 116, 23, 99"
values_82,19,"{25, 62, 46, 88, 104, 59, 27, 116, 63, 30, 73, 51, 13, 71, 27, 31, 74, 2, 94"
values_34,28,"{116, 109, 106, 103, 25, 91, 91, 94, 30, 78, 72, 35, 40, 67, 108, 97, 46, 16, 78, 116, 45, 36, 48, 108, 62, 32, 21, 68"
values_70,22,"{74, 40, 41, 39, 106, 46, 91, 39, 61, 17, 99, 86, 48, 91, 3, 46, 21, 95, 89, 29, 56, 116"
values_29,20,"{101, 99, 39, 4, 74, 101, 10, 16, 54, 87, 69, 98, 56, 85, 84, 16, 57, 37, 89, 17"
values_51,16,"{58, 31, 54, 56, 19, 35, 72, 21, 91, 89, 68, 99, 97, 96, 97, 46"
values_57,17,"{27, 77, 114, 11, 66, 103, 107, 17, 64, 15, 93, 4, 51, 52, 33, 17, 11"
values_88,27,"{58, 70, 79, 114, 14, 81, 62, 8, 13, 114, 37, 57, 39, 89, 7, 39, 77, 63, 46, 33, 17, 40, 63, 94, 96, 112, 54"
values_23,24,"{67, 101, 85, 96, 23, 96, 10, 22, 102, 48, 45, 82, 69, 94, 65, 14, 5, 4, 102, 59, 91, 84, 69, 39"
values_45,23,"{90, 48, 9, 48, 106, 49, 63, 100, 45, 50, 83, 77, 108, 54, 80, 15, 70, 116, 38, 86, 94, 80, 41"
values_66,11,"{38, 44, 102, 31, 76, 8, 33, 76, 79, 23, 60"
values_36,13,"{64, 114, 83, 99, 64, 37, 45, 82, 5, 89, 26, 95, 35"
values_56,6,"{84, 18, 21, 35, 25, 30"
values_26,7,"{6, 6, 86, 61, 102, 20, 45"
values_43,20,"{40, 14, 66, 48, 89, 78, 17, 95, 63, 92, 94, 43, 22, 8, 87, 94, 48, 92, 11, 8"
values_52,20,"{109, 9, 111, 113, 15, 27, 82, 40, 73, 64, 113, 23, 64, 6, 85, 8, 78, 2, 51, 100"
values_98,5,"{93, 23, 93, 63, 47"
values_61,10,"{95, 73, 72, 12, 109, 102, 91, 47, 14, 22"
values_44,18,"{17, 14, 14, 114, 48, 18, 93, 105, 100, 64, 104, 71, 63, 91, 6, 54, 7, 42"
values_68,19,"{35, 85, 34, 31, 112, 8, 40, 71, 2, 3, 85, 103, 87, 58, 99, 105, 59, 37, 26"
values_41,9,"{33, 43, 46, 69, 72, 80, 70, 2, 110"
values_85,23,"{91, 57, 5, 93, 49, 41, 29, 85, 69, 8, 114, 93, 113, 113, 101, 114, 9, 43, 28, 29, 92, 56, 115"
values_79,6,"{40, 67, 75, 87, 79, 2"
values_71,14,"{114, 58, 107, 47, 82, 33, 45, 85, 36, 81, 93, 101, 101, 85"
values_63,12,"{102, 44, 92, 8, 87, 94, 5, 104, 70, 62, 49, 31"
values_20,24,"{3, 65, 36, 82, 39, 64, 21, 97, 77, 37, 115, 116, 81, 18, 67, 34, 8, 41, 60, 47, 100, 83, 56, 21"
values_74,12,"{106, 20, 108, 23, 89, 60, 51, 100, 87, 47, 78, 80"
values_72,19,"{15, 52, 31, 44, 12, 111, 89, 68, 43, 24, 17, 79, 23, 89, 49, 29, 56, 11, 113"
values_86,21,"{77, 96, 47, 69, 56, 52, 54, 60, 105, 43, 92, 48, 72, 78, 28, 29, 104, 41, 100, 66, 53"
values_75,18,"{6, 47, 83, 12, 49, 107, 84, 33, 115, 64, 58, 21, 24, 112, 29, 18, 5, 71"
values_55,18,"{24, 40, 112, 98, 29, 17, 28, 67, 13, 107, 34, 93, 42, 103, 35, 31, 17, 104"
values_14,7,"{65, 88, 33, 45, 22, 72, 52"
values_47,16,"{109, 110, 99, 74, 50, 19, 15, 108, 90, 73, 51, 54, 93, 6, 93, 85"
values_91,13,"{73, 43, 19, 36, 74, 48, 18, 79, 112, 8, 32, 45, 53"
values_64,16,"{76, 101, 25, 81, 58, 63, 60, 55, 39, 37, 96, 69, 93, 97, 83, 18"
values_11,23,"{76, 82, 37, 86, 95, 28, 70, 67, 44, 58, 52, 113, 106, 93, 6, 29, 32, 14, 86, 111, 12, 114, 112"
values_49,13,"{29, 49, 113, 91, 64, 33, 66, 10, 42, 95, 15, 103, 71"
values_62,13,"{80, 89, 89, 83, 33, 34, 86, 27, 2, 26, 9, 56, 98"
values_80,14,"{94, 28, 81, 66, 107, 56, 101, 78, 95, 2, 67, 65, 75, 55"
values_39,5,"{90, 59, 37, 57, 45"
values_90,16,"{34, 81, 35, 102, 113, 50, 17, 73, 90, 96, 60, 73, 9, 94, 47, 103"
values_53,27,"{3, 48, 11, 100, 74, 78, 91, 66, 69, 12, 57, 58, 114, 25, 70, 6, 86, 116, 10, 37, 99, 53, 3, 80, 2, 79, 84"
values_94,18,"{84, 9, 80, 67, 89, 55, 88, 11, 43, 105, 19, 36, 107, 20, 111, 92, 106, 100"
values_7,4,"{99, 12, 97, 28"
values_31,26,"{112, 54, 108, 6, 58, 109, 2, 101, 5, 78, 95, 31, 113, 20, 69, 38, 4, 54, 59, 49, 76, 71, 39, 25, 85, 23"
