values_27,78,-33,-76,-98,-57,-6,-71,-100,-98,-88,38,-75,92,-69,69,79,60,66,94,125,127,56,-72,89,-40,-66,-86,0
values_84,30,22,-48,-109,-32,94,65,-53,-63,-56,94,25,40,57,56,56,46,125,1,36,-124,55,-69,-55,-124,-3,0,0
values_65,21,119,18,3,75,-50,105,3,-90,-94,46,87,102,-123,85,-44,-79,0,0,0,0,0,0,0,0,0,0,0
values_96,-52,109,45,-82,27,99,50,-3,5,-77,105,111,-80,76,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
values_28,-79,12,62,71,-112,35,-99,28,-56,105,86,36,46,71,-16,-72,-117,27,99,-23,-46,79,-26,40,44,-48,-121,0
values_54,78,-39,-126,-45,21,-46,68,-80,-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_15,19,-105,-78,-3,108,37,104,73,-92,-75,59,-95,67,-4,112,101,97,64,-19,0,0,0,0,0,0,0,0,0
values_87,124,-98,-111,7,-65,-19,-108,12,50,113,-104,-62,-125,-106,109,46,60,-93,107,-43,85,124,114,64,58,-84,0,0
values_59,-78,64,104,-37,-46,-35,111,87,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_5,91,112,-125,-45,-49,97,-122,-7,-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_92,-44,41,-65,88,-113,-40,-72,118,104,-108,-102,25,114,-6,47,0,0,0,0,0,0,0,0,0,0,0,0,0
values_0,-74,-119,-4,-81,51,-71,-13,-106,-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_77,70,-119,26,-96,-49,71,-52,-36,28,-31,101,81,78,30,-73,0,0,0,0,0,0,0,0,0,0,0,0,0
values_17,22,-85,112,-23,48,-3,42,27,-19,28,-76,-68,78,66,-79,-62,-13,-110,89,0,0,0,0,0,0,0,0,0
values_12,0,-111,106,-97,89,118,-99,-60,111,-22,-65,-14,-65,-63,-104,95,106,-31,13,0,0,0,0,0,0,0,0,0
