id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,7,,46,0.152
values_84,6,,39,0.154
values_65,6,,39,0.154
values_96,10,,67,0.149
values_28,9,,60,0.150
values_54,7,,46,0.152
values_15,5,,32,0.156
values_87,6,,39,0.154
values_59,9,,60,0.150
values_5,12,,81,0.148
values_92,6,,39,0.154
values_0,11,,74,0.149
values_77,5,,32,0.156
values_17,8,,53,0.151
values_12,9,,60,0.150
values_33,10,,67,0.149
values_25,5,,32,0.156
values_19,8,,53,0.151
values_97,10,,67,0.149
values_81,6,,39,0.154
values_8,11,,74,0.149
values_73,11,,74,0.149
values_89,6,,39,0.154
values_82,4,,25,0.160
values_34,12,,81,0.148
values_70,10,,67,0.149
values_29,5,,32,0.156
values_51,3,,18,0.167
values_57,3,,18,0.167
values_88,11,,74,0.149
values_23,5,,32,0.156
values_45,8,,53,0.151
values_66,10,,67,0.149
values_36,11,,74,0.149
values_56,4,,25,0.160
values_26,9,,60,0.150
values_43,12,,81,0.148
values_52,3,,18,0.167
values_98,9,,60,0.150
values_61,5,,32,0.156
values_44,7,,46,0.152
values_68,8,,53,0.151
values_41,6,,39,0.154
values_85,9,,60,0.150
values_79,4,,25,0.160
values_71,7,,46,0.152
values_63,12,,81,0.148
values_20,3,,18,0.167
values_74,5,,32,0.156
values_72,11,,74,0.149
values_86,10,,67,0.149
values_75,6,,39,0.154
values_55,10,,67,0.149
values_14,7,,46,0.152
values_47,8,,53,0.151
values_91,9,,60,0.150
values_64,9,,60,0.150
values_11,3,,18,0.167
values_49,6,,39,0.154
values_62,12,,81,0.148
values_80,12,,81,0.148
values_39,8,,53,0.151
values_90,5,,32,0.156
values_53,6,,39,0.154
values_94,12,,81,0.148
values_7,10,,67,0.149
values_31,3,,18,0.167
values_93,3,,18,0.167
values_38,12,,81,0.148
values_58,3,,18,0.167
values_78,9,,60,0.150
values_50,4,,25,0.160
values_3,9,,60,0.150
values_13,12,,81,0.148
values_83,3,,18,0.167
values_1,8,,53,0.151
values_21,6,,39,0.154
values_32,11,,74,0.149
values_22,10,,67,0.149
values_9,7,,46,0.152
values_6,5,,32,0.156
values_76,8,,53,0.151
values_18,9,,60,0.150
values_16,7,,46,0.152
values_40,12,,81,0.148
values_2,5,,32,0.156
values_60,6,,39,0.154
values_99,5,,32,0.156
values_48,9,,60,0.150
values_69,6,,39,0.154
values_46,11,,74,0.149
values_24,8,,53,0.151
values_95,9,,60,0.150
values_42,3,,18,0.167
values_37,9,,60,0.150
values_10,11,,74,0.149
values_67,8,,53,0.151
values_35,7,,46,0.152
values_30,9,,60,0.150
values_4,10,,67,0.149
