id,cInstr
values_27,2425044
values_84,670
values_65,855
values_96,3530822107858469703
values_28,21990232555962
values_54,9570149208163292
values_15,597
values_87,385877098
values_59,5181
values_5,196708
values_92,402654093
values_0,795
values_77,690
values_17,112
values_12,9895604650319
values_33,181
values_25,617
values_19,114
values_97,181
values_81,210
values_8,318767820
values_73,90194313847
values_89,7599824371188394
values_82,211
values_34,4420
values_70,2199023255721
values_29,1407374883553345
values_51,421
values_57,282
values_88,60129542493
values_23,458813
values_45,557
values_66,796
values_36,1002
values_56,485
values_26,1377096
values_43,176
values_52,1639217
values_98,832
values_61,1008806316530991500
values_44,1058
values_68,286
values_41,2163379
values_85,438
values_79,43
values_71,7133701809754865959
values_63,532
values_20,481
values_74,916
values_72,598
values_86,571
values_75,1835672
values_55,445
values_14,4106
values_47,43
values_91,7733
values_64,144115188075856542
values_11,132
values_49,3096224743817576
values_62,6473924464346188
values_80,1152921504606847580
values_39,31
values_90,43
values_53,18691697672780
values_94,129
values_7,837
values_31,4719772409484279869
values_93,556
values_38,472
values_58,283
values_78,383
values_50,804
values_3,1126
values_13,2377900603251622822
values_83,328
values_1,161
values_21,562949953421592
values_32,352322319
values_22,854
values_9,191
values_6,162
values_76,242
values_18,628
values_16,587
values_40,299
values_2,265
values_60,5910974510924559
values_99,387
values_48,1966867
values_69,338
values_46,1585267068834415465
values_24,3229810944
values_95,684
values_42,2533274790396029
values_37,989
values_10,649
values_67,750
values_35,31
values_30,1459
values_4,137438953642
