inputName,size,a[size]
values_27,8,"{107, -62, -66, 126, 33, -10, -2, 69"
values_84,18,"{-46, 84, -57, -74, 33, 102, 71, 13, -30, -94, -47, 32, 115, -68, 14, 9, -104, 25"
values_65,21,"{65, -58, -46, -7, 34, 38, 114, -11, -37, -63, -56, -104, -3, -44, 28, 47, 64, 32, 56, 74, 41"
values_96,22,"{26, 1, 25, 88, 126, 31, -57, 91, 108, -10, -68, 11, 77, 46, -70, 82, -79, 119, 126, -18, 75, -29"
values_28,15,"{-16, 115, -8, -67, -16, 51, 124, 116, 108, 113, 68, -39, 127, -117, 65"
values_54,25,"{-56, -8, -7, 74, 105, 57, -114, -60, 115, -118, -29, 23, 29, -21, 122, 80, -4, 125, -47, 124, 74, 11, 85, -14, -11"
values_15,17,"{55, 49, -96, 11, -94, 9, -46, 6, 88, 110, -40, 62, 28, -49, -91, -94, 60"
values_87,26,"{-120, 57, -103, 22, -123, -2, 72, -35, 7, -14, 79, 81, 3, 68, 77, 98, 16, -70, 75, 51, 43, -32, 75, 43, 94, 115"
values_59,19,"{-28, -87, -42, -91, 99, -101, 116, 17, 6, -63, -95, -72, -7, -78, -36, -90, 33, 108, -121"
values_5,5,"{-69, 123, -122, -41, -64"
values_92,27,"{-30, -12, -46, 88, 70, -21, 119, -118, -56, 61, -123, 59, -80, 92, 23, 56, 44, 119, -11, 109, -55, 127, 4, 16, -12, 124, 56"
values_0,25,"{92, 4, -72, 57, -48, 4, -105, 82, -72, -42, -15, -37, -76, 113, -53, -13, -84, -124, 3, 71, -108, 86, 54, -70, -107"
values_77,18,"{104, 14, -76, -33, 97, 7, 91, -33, 107, 19, 19, 84, 97, -43, -2, -81, 84, 105"
values_17,5,"{-64, 115, 16, 16, -41"
values_12,12,"{112, -81, 67, -96, -62, 15, 12, 30, 104, -90, -125, 24"
values_33,9,"{-67, 108, -104, 125, 126, 116, -34, -62, -86"
values_25,20,"{-97, -23, -127, 98, 79, -110, 70, -63, -98, 125, 87, -1, 46, -16, 5, -55, -29, -15, -84, -106"
values_19,6,"{39, 11, -19, -19, 126, 28"
values_97,6,"{-106, -76, 127, -45, 30, 100"
values_81,10,"{27, 99, 88, 32, 103, -25, 9, 20, 111, 7"
values_8,17,"{-86, -81, -102, 121, -58, 118, -81, 60, -116, -123, -77, 12, 102, -40, -60, 51, 78"
values_73,18,"{82, 119, 6, 13, 33, 12, 116, -77, -116, 74, 92, 57, -8, -8, 87, 120, -23, 126"
values_89,18,"{-55, 113, 64, 32, 22, -68, 44, -76, 120, -42, 87, -80, -110, 25, -41, 15, 98, 52"
values_82,9,"{-3, 17, 13, 2, -53, -60, 88, -87, -62"
values_34,17,"{1, -107, 93, 41, -121, -30, -106, 34, -52, -27, -56, -18, -28, 9, -82, -3, 123"
values_70,7,"{3, 65, 68, -20, 102, -5, -101"
values_29,4,"{-97, 39, 115, -110"
values_51,15,"{34, -27, 80, -47, -53, -21, 108, 105, -66, -115, -93, 113, -81, -49, -27"
values_57,12,"{3, 38, 58, 51, -39, 19, 4, 120, 79, 105, 0, 21"
values_88,11,"{-81, 80, 57, 33, 99, -105, 16, 23, -116, -21, 69"
values_23,3,"{-29, 59, -34"
values_45,20,"{108, -70, 66, 43, -4, 16, -53, 64, 106, 74, -60, -60, -119, 47, 40, 56, -108, 108, -111, -36"
values_66,26,"{-120, 14, -110, -7, -51, 41, -49, -125, -123, -76, -51, -106, 73, -58, 90, 67, -47, 43, 73, 125, 93, 103, -17, -71, 45, -23"
values_36,25,"{-54, 1, 95, -63, -57, 86, 40, -22, -78, -20, -105, 19, 12, -62, 44, 70, 31, 108, 100, 77, -102, 105, 4, 40, 62"
values_56,14,"{-118, -66, -16, 33, 70, -94, 64, 82, 72, -113, -90, 21, -55, -120"
values_26,24,"{-65, -78, -25, -16, 60, -64, -101, -120, -2, -1, 105, -103, -28, -94, -122, 44, 6, 89, -102, -23, -114, -13, -108, 6"
values_43,7,"{55, -119, -26, 11, -18, 93, 85"
values_52,22,"{46, 62, -73, -35, 103, 19, -36, -85, -108, 2, 63, -78, -33, 94, -27, 117, 111, 43, -18, 39, -66, -114"
values_98,11,"{-72, -50, 8, 84, -78, 102, -89, -97, 19, -13, -60"
values_61,14,"{-109, 46, 31, 114, 60, -127, -18, -3, -46, 86, 81, 0, 18, -64"
values_44,27,"{-24, 116, 90, -101, -7, 41, 72, -112, 110, 80, -70, 63, -19, -27, -20, 66, 34, 14, -27, -22, 113, 12, 109, -2, -35, -65, 50"
values_68,10,"{-51, -123, 41, -21, -99, -57, 115, -65, 66, 32"
values_41,22,"{108, -92, -77, 36, 14, 47, 41, 45, -1, -5, 40, -8, -30, 80, 80, -106, 5, -30, 64, -92, 44, -15"
values_85,15,"{122, -115, -97, -103, 47, 56, -46, 50, 102, 82, -62, -49, 5, 116, 31"
values_79,3,"{-98, 119, -52"
values_71,11,"{111, 111, -44, 114, 79, -16, 79, 77, 78, 49, -63"
values_63,18,"{47, -74, 115, -99, 53, -79, -46, -11, 118, -117, -34, 30, -103, -125, 117, -121, 95, 22"
values_20,18,"{-23, 91, -45, -51, -92, -84, 66, 115, 78, -119, 49, 125, -61, -102, 22, -68, -5, -20"
values_74,28,"{32, 40, 77, 84, -55, 35, 125, -67, 10, 82, -116, 21, 10, 27, -13, -73, -19, 112, -88, -19, 54, -116, 113, -74, -74, 107, -52, 61"
values_72,22,"{-68, -83, -46, -71, 112, -126, 27, -17, 118, 60, -3, 26, -111, -112, 103, -60, -27, -37, 10, -81, -14, -35"
values_86,20,"{-124, 95, -74, -67, -56, 83, 71, 92, 108, 119, 49, 76, -109, -3, -60, 25, 28, -8, -88, -80"
values_75,21,"{-66, -98, 106, -60, 18, 87, -58, 9, 75, 77, 31, 71, 113, 15, -43, -23, 66, -114, -79, 103, 41"
values_55,16,"{81, 93, 84, 67, 54, -32, -8, -99, 7, 0, 27, -16, 121, -85, -30, -12"
values_14,12,"{-70, 55, 33, -29, 56, -22, -41, -24, 67, -105, -66, -53"
values_47,3,"{-46, 114, 52"
values_91,27,"{92, 54, 50, 96, 63, 7, 123, 29, -107, 23, -38, -65, -121, 84, 118, 32, 96, 76, 19, 80, 18, 93, 66, -48, 112, 103, -16"
values_64,18,"{-95, -39, -103, -56, 51, -59, 20, 125, 33, -50, 16, 61, -30, 86, 7, 45, 81, 79"
values_11,6,"{-26, -124, 122, 53, 11, -60"
values_49,13,"{93, 9, -114, -74, -2, -108, 31, 84, 79, -98, -126, 101, -110"
values_62,26,"{79, -18, -26, 72, -122, -65, -102, 123, 12, -107, 30, 40, 123, -97, -43, -75, 28, 2, -110, 118, 56, 90, -103, -37, -126, 114"
values_80,18,"{69, -74, 70, -35, 69, -12, -112, -127, 76, -70, 2, 82, 44, -68, -21, 55, 9, 33"
values_39,2,"{72, -121"
values_90,3,"{-120, -39, -58"
values_53,17,"{-46, -96, 74, 35, -45, 74, -9, -111, -14, -90, -66, -125, -4, -12, 78, 27, 25"
values_94,7,"{-47, -19, -120, -88, -53, -9, -105"
values_7,25,"{-84, 121, 3, 29, 33, 36, -111, -54, 118, 67, 107, -93, -61, 76, 81, -32, -92, -68, -54, 31, 56, -105, 113, 108, 87"
values_31,3,"{93, 64, -14"
values_93,19,"{-26, -124, 119, 114, -98, -99, -100, 85, 126, -21, -41, -63, 69, 107, -9, -51, 100, 14, -29"
values_38,17,"{4, -3, 20, -12, 50, 44, -80, 29, -91, -80, -9, -87, 88, 121, -20, 72, 2"
values_58,10,"{101, -123, -82, 95, 39, 92, -3, -76, 72, 86"
values_78,15,"{126, 92, 112, -84, 81, -36, -123, -78, -104, 43, -83, -122, -71, 85, -1"
values_50,21,"{-113, 14, -55, 70, -104, 72, 54, -108, 23, 1, -116, -56, -114, -120, 127, -104, 54, -54, -32, -60, 12"
values_3,27,"{-44, -28, -56, 46, 44, -41, -122, 106, -50, -93, 73, 1, 106, -103, -42, -96, 68, -112, 9, 87, 3, 92, -9, 46, -14, 23, 51"
values_13,23,"{65, 95, 71, -61, -47, -94, -103, 32, -16, -38, 23, -18, -111, 115, -2, -48, 109, -17, 39, 80, 87, 96, -80"
values_83,12,"{-87, -46, -125, 64, -91, 99, 31, 3, -113, 33, -83, 47"
values_1,8,"{16, 47, 96, 113, 17, 4, -35, 1"
values_21,10,"{-98, -95, 122, 85, -6, 44, -28, 74, -24, -102"
values_32,27,"{96, -71, 9, -11, 47, 41, -97, -25, 34, -73, -119, -107, -123, -52, 36, 95, 47, 32, -113, -6, -83, -51, 120, -106, -18, 3, -35"
values_22,28,"{-28, -124, 46, 111, -10, -31, -76, -31, 84, -53, -92, 82, -50, 23, -35, 51, 127, -121, -45, 35, -25, -116, 21, -68, -83, -75, -68, -80"
values_9,9,"{0, 15, 88, 9, 101, 122, 120, 63, 24"
values_6,7,"{105, 2, -40, 71, -40, 36, -12"
values_76,8,"{103, 18, -121, 60, -74, -73, -52, 121"
values_18,19,"{-91, 26, -127, 113, 105, -64, 52, -53, 13, -127, -83, 26, 58, 46, -35, -64, 36, 116, -108"
values_16,19,"{65, 76, 49, -107, 72, 19, 106, -30, -76, 108, 71, 7, 100, -63, 57, 49, 63, 84, 27"
values_40,12,"{120, -93, -85, 123, -40, 52, -56, 23, 46, -120, 35, -6"
values_2,9,"{-27, 110, -94, 123, -29, 92, -12, 14, 80"
values_60,21,"{-85, -5, -96, 4, 103, 13, -57, -82, -80, 71, -40, -76, 53, 45, 37, 126, -126, 69, 52, 43, 42"
values_99,15,"{20, -84, -126, 56, -41, 38, -88, 9, 37, -108, -41, 27, -24, -116, -49"
values_48,23,"{62, 67, 24, -95, -93, 93, -17, 82, 93, -13, 108, 94, 2, -39, -44, -12, 43, -114, 58, 56, 110, 9, -18"
values_69,14,"{81, 92, 94, 58, 86, 3, -118, 51, -70, 63, -57, 43, -90, -22"
values_46,23,"{-21, -80, 121, 94, 115, 63, -126, -127, 114, -93, 69, 104, 104, -42, -16, 74, -70, 99, -18, 75, 8, -19, -37"
values_24,11,"{126, 4, 94, 53, 53, 43, -1, 101, 52, 121, 11"
values_95,21,"{-75, -31, 89, -66, 120, 95, 92, -83, 52, -61, 29, 21, -67, 8, -67, -54, 103, 52, -88, 38, -43"
values_42,6,"{28, 1, -53, -73, -110, -69"
values_37,26,"{29, 10, 59, 119, -4, 30, -1, 36, -29, -43, 99, -126, -123, 49, -79, -109, 24, 28, 124, -69, 38, -75, -103, -113, 36, 97"
values_10,20,"{52, 49, -57, -80, -13, 34, -13, -71, -54, -65, 1, 42, -115, -93, -79, 62, -76, 71, -82, 63"
values_67,22,"{-68, 109, -95, 13, 114, 90, 56, -58, -122, -35, -61, -71, 105, -121, 0, -108, -71, -84, -90, -19, 38, 16"
values_35,2,"{92, -85"
values_30,7,"{-95, -110, -2, -45, -121, 106, 78"
values_4,6,"{88, -11, -2, -7, 64, -52"
