id,clockCycles,assemblyInstr
values_27,189,
values_84,558,
values_65,797,
values_96,870,
values_28,421,
values_54,1025,
values_15,615,
values_87,1142,
values_59,579,
values_5,84,
values_92,915,
values_0,932,
values_77,666,
values_17,93,
values_12,316,
values_33,183,
values_25,704,
values_19,98,
values_97,152,
values_81,215,
values_8,641,
values_73,694,
values_89,647,
values_82,205,
values_34,575,
values_70,159,
values_29,71,
values_51,411,
values_57,279,
values_88,321,
values_23,43,
values_45,581,
values_66,808,
values_36,1006,
values_56,473,
values_26,883,
values_43,152,
values_52,784,
values_98,321,
values_61,411,
values_44,1085,
values_68,258,
values_41,715,
values_85,434,
values_79,29,
values_71,308,
values_63,552,
values_20,486,
values_74,952,
values_72,617,
values_86,643,
values_75,701,
values_55,440,
values_14,282,
values_47,29,
values_91,1181,
values_64,645,
values_11,122,
values_49,362,
values_62,1121,
values_80,587,
values_39,20,
values_90,29,
values_53,558,
values_94,122,
values_7,884,
values_31,47,
values_93,560,
values_38,478,
values_58,257,
values_78,383,
values_50,759,
values_3,1132,
values_13,1039,
values_83,308,
values_1,154,
values_21,344,
values_32,835,
values_22,932,
values_9,182,
values_6,144,
values_76,216,
values_18,686,
values_16,591,
values_40,293,
values_2,239,
values_60,634,
values_99,400,
values_48,825,
values_69,339,
values_46,975,
values_24,256,
values_95,614,
values_42,112,
values_37,1032,
values_10,697,
values_67,754,
values_35,20,
values_30,153,
values_4,158,
