id,clockCycles,assemblyInstr
values_27,3394,
values_84,6200,
values_65,6603,
values_96,8782,
values_28,1534,
values_54,2270,
values_15,4137,
values_87,8942,
values_59,5421,
values_5,141,
values_92,6200,
values_0,308,
values_77,1313,
values_17,5070,
values_12,4016,
values_33,5864,
values_25,2270,
values_19,5864,
values_97,1534,
values_81,6603,
values_8,8942,
values_73,1313,
values_89,5864,
values_82,4016,
values_34,5421,
values_70,431,
values_29,8782,
values_51,8782,
values_57,738,
values_88,4016,
values_23,2928,
values_45,431,
values_66,308,
values_36,6603,
values_56,1313,
values_26,141,
values_43,5421,
values_52,3394,
values_98,1534,
values_61,3762,
values_44,13476,
values_68,2270,
values_41,5864,
values_85,6603,
values_79,5864,
values_71,431,
values_63,1289,
values_20,431,
values_74,2598,
values_72,2928,
values_86,5070,
values_75,13476,
values_55,8782,
values_14,738,
values_47,8782,
values_91,6200,
values_64,2270,
values_11,6200,
values_49,5421,
values_62,1507,
values_80,3762,
values_39,6200,
values_90,5070,
values_53,5070,
values_94,431,
values_7,8942,
values_31,8270,
values_93,3394,
values_38,738,
values_58,8270,
values_78,5864,
values_50,3394,
values_3,5070,
values_13,2598,
values_83,738,
values_1,3394,
values_21,1289,
values_32,3762,
values_22,5734,
values_9,4137,
values_6,2598,
values_76,6603,
values_18,1313,
values_16,6603,
values_40,1313,
values_2,8782,
values_60,4016,
values_99,8270,
values_48,13476,
values_69,6295,
values_46,3394,
values_24,2928,
values_95,6603,
values_42,5421,
values_37,8942,
values_10,431,
values_67,738,
values_35,6200,
values_30,13476,
values_4,141,
