id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,20,,25,0.800
values_84,26,,30,0.867
values_65,6,,15,0.400
values_96,26,,30,0.867
values_28,26,,30,0.867
values_54,32,,35,0.914
values_15,20,,25,0.800
values_87,26,,30,0.867
values_59,8,,12,0.667
values_5,20,,25,0.800
values_92,26,,30,0.867
values_0,20,,25,0.800
values_77,20,,25,0.800
values_17,14,,20,0.700
values_12,20,,25,0.800
values_33,32,,35,0.914
values_25,20,,25,0.800
values_19,20,,25,0.800
values_97,20,,25,0.800
values_81,32,,35,0.914
values_8,26,,30,0.867
values_73,20,,25,0.800
values_89,26,,30,0.867
values_82,26,,30,0.867
values_34,32,,35,0.914
values_70,20,,25,0.800
values_29,20,,25,0.800
values_51,32,,35,0.914
values_57,32,,35,0.914
values_88,26,,30,0.867
values_23,26,,30,0.867
values_45,26,,30,0.867
values_66,6,,15,0.400
values_36,32,,35,0.914
values_56,32,,35,0.914
values_26,26,,30,0.867
values_43,26,,30,0.867
values_52,26,,30,0.867
values_98,26,,30,0.867
values_61,6,,15,0.400
values_44,26,,30,0.867
values_68,10,,20,0.500
values_41,32,,35,0.914
values_85,26,,30,0.867
values_79,26,,30,0.867
values_71,20,,25,0.800
values_63,6,,15,0.400
values_20,20,,25,0.800
values_74,20,,25,0.800
values_72,20,,25,0.800
values_86,26,,30,0.867
values_75,20,,25,0.800
values_55,32,,35,0.914
values_14,20,,25,0.800
values_47,26,,30,0.867
values_91,26,,30,0.867
values_64,10,,20,0.500
values_11,20,,25,0.800
values_49,32,,35,0.914
values_62,10,,20,0.500
values_80,26,,30,0.867
values_39,32,,35,0.914
values_90,20,,25,0.800
values_53,32,,35,0.914
values_94,26,,30,0.867
values_7,20,,25,0.800
values_31,26,,30,0.867
values_93,26,,30,0.867
values_38,32,,35,0.914
values_58,32,,35,0.914
values_78,20,,25,0.800
values_50,32,,35,0.914
values_3,26,,30,0.867
values_13,14,,20,0.700
values_83,32,,35,0.914
values_1,26,,30,0.867
values_21,20,,25,0.800
values_32,32,,35,0.914
values_22,20,,25,0.800
values_9,26,,30,0.867
values_6,26,,30,0.867
values_76,26,,30,0.867
values_18,20,,25,0.800
values_16,20,,25,0.800
values_40,26,,30,0.867
values_2,26,,30,0.867
values_60,6,,15,0.400
values_99,26,,30,0.867
values_48,32,,35,0.914
values_69,10,,20,0.500
values_46,32,,35,0.914
values_24,26,,30,0.867
values_95,26,,30,0.867
values_42,32,,35,0.914
values_37,26,,30,0.867
values_10,14,,20,0.700
values_67,10,,20,0.500
values_35,26,,30,0.867
values_30,32,,35,0.914
values_4,26,,30,0.867
