id,clockCycles,assemblyInstr
values_27,20,
values_84,26,
values_65,6,
values_96,26,
values_28,26,
values_54,32,
values_15,20,
values_87,26,
values_59,8,
values_5,20,
values_92,26,
values_0,20,
values_77,20,
values_17,14,
values_12,20,
values_33,32,
values_25,20,
values_19,20,
values_97,20,
values_81,32,
values_8,26,
values_73,20,
values_89,26,
values_82,26,
values_34,32,
values_70,20,
values_29,20,
values_51,32,
values_57,32,
values_88,26,
values_23,26,
values_45,26,
values_66,6,
values_36,32,
values_56,32,
values_26,26,
values_43,26,
values_52,26,
values_98,26,
values_61,6,
values_44,26,
values_68,10,
values_41,32,
values_85,26,
values_79,26,
values_71,20,
values_63,6,
values_20,20,
values_74,20,
values_72,20,
values_86,26,
values_75,20,
values_55,32,
values_14,20,
values_47,26,
values_91,26,
values_64,10,
values_11,20,
values_49,32,
values_62,10,
values_80,26,
values_39,32,
values_90,20,
values_53,32,
values_94,26,
values_7,20,
values_31,26,
values_93,26,
values_38,32,
values_58,32,
values_78,20,
values_50,32,
values_3,26,
values_13,14,
values_83,32,
values_1,26,
values_21,20,
values_32,32,
values_22,20,
values_9,26,
values_6,26,
values_76,26,
values_18,20,
values_16,20,
values_40,26,
values_2,26,
values_60,6,
values_99,26,
values_48,32,
values_69,10,
values_46,32,
values_24,26,
values_95,26,
values_42,32,
values_37,26,
values_10,14,
values_67,10,
values_35,26,
values_30,32,
values_4,26,
