id,cInstr
values_27,25
values_84,30
values_65,15
values_96,30
values_28,30
values_54,35
values_15,25
values_87,30
values_59,12
values_5,25
values_92,30
values_0,25
values_77,25
values_17,20
values_12,25
values_33,35
values_25,25
values_19,25
values_97,25
values_81,35
values_8,30
values_73,25
values_89,30
values_82,30
values_34,35
values_70,25
values_29,25
values_51,35
values_57,35
values_88,30
values_23,30
values_45,30
values_66,15
values_36,35
values_56,35
values_26,30
values_43,30
values_52,30
values_98,30
values_61,15
values_44,30
values_68,20
values_41,35
values_85,30
values_79,30
values_71,25
values_63,15
values_20,25
values_74,25
values_72,25
values_86,30
values_75,25
values_55,35
values_14,25
values_47,30
values_91,30
values_64,20
values_11,25
values_49,35
values_62,20
values_80,30
values_39,35
values_90,25
values_53,35
values_94,30
values_7,25
values_31,30
values_93,30
values_38,35
values_58,35
values_78,25
values_50,35
values_3,30
values_13,20
values_83,35
values_1,30
values_21,25
values_32,35
values_22,25
values_9,30
values_6,30
values_76,30
values_18,25
values_16,25
values_40,30
values_2,30
values_60,15
values_99,30
values_48,35
values_69,20
values_46,35
values_24,30
values_95,30
values_42,35
values_37,30
values_10,20
values_67,20
values_35,30
values_30,35
values_4,30
