,ProgramLength,ProgramLevel,CoverageEstimation,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,SV_VAL_1,SV_VAL_2,V_VAL_3,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_9,V_VAL_10,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_15,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_27,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,clockCycles
0,1202,0.01,90,1,1,3,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,24,15,0,29,1,8,23,17,0,1,0,10,10,12,20,0,18,2,20,8,12,6,9,8,8,2613
1,839,0.01,90,1,1,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
2,1486,0.01,90,1,1,3,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,35,34,0,61,0,21,16,12,4,0,0,16,24,23,9,0,40,0,25,25,16,5,12,6,18,5080
3,1844,0.01,90,1,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,38,17,0,0,68,0,31,22,31,4,6,0,14,36,20,28,3,70,0,32,17,39,0,46,0,27,11565
4,1203,0.01,90,1,1,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,14,1,0,29,0,9,20,6,0,1,0,19,9,12,8,0,14,13,9,6,10,1,8,6,8,2270
5,955,0.01,90,1,1,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11,5,1,6,0,9,3,2,2,1,0,2,2,5,4,0,1,3,1,1,1,2,0,0,0,721
6,1647,0.01,90,1,1,3,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,18,9,0,70,0,15,33,25,0,0,0,36,13,27,10,0,46,15,5,39,19,0,34,1,16,6405
7,839,0.01,90,1,1,3,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
8,958,0.01,90,1,1,3,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,10,5,1,5,0,4,5,1,4,3,0,6,4,7,6,2,1,0,1,1,1,1,0,1,0,879
9,1666,0.01,90,1,1,3,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,9,8,3,42,11,12,12,21,0,0,0,32,1,38,13,0,40,0,31,24,18,0,48,0,30,12713
10,1824,0.01,90,1,1,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,39,0,11,0,78,0,9,29,20,9,0,0,23,29,17,19,16,53,2,8,26,12,0,38,0,29,12021
11,1652,0.01,90,1,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,27,8,0,34,5,28,52,33,9,0,0,23,13,27,19,1,50,0,19,12,23,6,38,0,15,15594
12,871,0.01,90,1,1,3,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
13,1658,0.01,90,1,1,3,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,23,12,8,46,0,11,44,12,2,0,0,8,15,35,27,0,39,0,24,23,18,0,49,2,5,12712
14,1649,0.01,90,1,1,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,25,1,0,59,0,16,30,16,4,12,0,6,23,22,11,0,68,0,31,24,38,0,40,0,12,15678
15,1476,0.01,90,1,1,3,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,18,30,12,0,47,0,32,18,18,17,2,0,18,13,19,13,0,40,1,15,20,13,4,37,0,24,14199
16,1191,0.01,90,1,1,3,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,16,4,5,23,3,15,19,4,3,0,0,10,8,10,9,0,15,0,14,10,18,4,5,0,9,2479
17,1650,0.01,90,1,1,3,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,15,12,0,62,0,38,20,10,6,0,0,23,38,25,13,3,47,29,28,13,23,4,29,8,21,12632
18,1846,0.01,90,1,1,3,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,57,6,24,0,63,13,22,45,6,20,2,0,0,34,13,21,5,60,0,23,43,50,1,39,0,30,8985
19,838,0.01,90,1,1,3,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
20,1642,0.01,90,1,1,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,57,17,11,1,62,2,22,27,14,26,0,0,8,24,16,5,0,38,4,16,13,19,0,36,11,20,7468
21,867,0.01,90,1,1,3,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
22,838,0.01,90,1,1,3,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
23,837,0.01,90,1,1,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
24,1484,0.01,90,1,1,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,27,6,0,32,11,19,21,22,1,0,0,15,20,31,21,13,46,8,10,23,21,0,29,0,8,5213
25,869,0.01,90,1,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
26,1202,0.01,90,1,1,3,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,20,8,0,37,8,16,18,10,0,0,2,13,13,8,8,0,16,14,15,8,15,0,4,0,9,2588
27,959,0.01,90,1,1,3,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,11,7,5,3,1,9,3,0,3,0,1,5,3,4,6,0,2,0,2,1,1,1,0,2,0,882
28,957,0.01,90,1,1,3,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,14,7,2,3,0,2,3,1,4,2,0,3,2,3,3,0,0,0,0,1,2,1,0,0,0,731
29,837,0.01,90,1,1,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
30,1194,0.01,90,1,1,3,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,27,13,0,26,0,12,9,8,0,0,0,13,13,12,7,0,12,4,20,13,9,0,3,2,6,3049
31,1034,0.01,90,1,1,3,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12,0,7,17,1,10,5,3,1,2,1,18,7,7,9,0,3,0,11,6,4,1,1,2,1,637
32,1484,0.01,90,1,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,42,22,0,2,40,0,25,15,19,2,0,0,18,10,24,16,0,25,6,16,13,20,14,39,11,29,9906
33,1487,0.01,90,1,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,6,7,61,0,24,19,15,0,7,0,21,16,12,1,0,46,3,30,24,17,0,37,0,14,4898
34,959,0.01,90,1,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,8,4,1,7,2,7,4,0,2,1,2,7,3,3,5,0,2,0,4,1,1,1,0,1,0,886
35,1209,0.01,90,1,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10,14,14,0,27,0,18,19,11,0,0,0,20,16,20,8,0,19,13,26,9,9,0,12,0,8,2148
36,1033,0.01,90,1,1,3,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,7,6,18,0,7,7,4,0,5,0,14,3,11,6,0,1,0,1,5,5,1,2,3,0,1661
37,954,0.01,90,1,1,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,3,1,7,0,5,2,1,4,3,0,4,3,3,6,0,3,1,1,2,1,1,0,1,0,574
38,1840,0.01,90,1,1,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,32,8,0,57,7,25,9,0,8,0,0,22,29,26,23,9,48,28,26,30,28,1,62,23,29,12901
39,1479,0.01,90,1,1,3,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45,15,22,0,35,0,28,30,8,14,0,0,23,15,17,11,0,39,7,28,24,21,0,38,1,17,5060
40,1031,0.01,90,1,1,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,19,5,0,16,4,9,9,2,1,4,0,6,7,8,9,0,0,0,5,4,5,2,3,0,0,1249
41,1483,0.01,90,1,1,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,22,0,0,46,15,41,29,39,22,0,0,11,27,22,27,4,40,13,19,29,33,0,25,14,12,6090
42,1037,0.01,90,1,1,3,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,11,0,0,17,5,5,10,5,0,1,3,7,9,8,12,0,2,0,5,3,8,2,0,1,1,1266
43,837,0.01,90,1,1,3,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
44,872,0.01,90,1,1,3,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
45,868,0.01,90,1,1,3,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216
46,1489,0.01,90,1,1,3,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,39,27,7,0,56,1,31,27,14,16,0,0,17,8,14,13,0,53,16,30,27,25,0,31,1,14,13119
47,1201,0.01,90,1,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,20,10,0,25,0,13,16,12,5,2,0,13,13,8,16,0,12,5,19,6,13,5,21,3,7,2703
48,870,0.01,90,1,1,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258
