,FUNCTION,BugsDelivered,ProgramLength,ProgramLevel,ProgramVolume,TotalOperators,CoverageEstimation,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,cInstr,Bugs_Delivered,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_9,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,Max_Freq
0,insertionsort,1.27558,522,0.03,3826.74,379,100,1,3,582.0,1.27558,0,0,20,39,68,69,-24,104,-87,40,28,117,51,-80,-57,-9,23,124,-79,23,-67,-123,-27,68,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
1,insertionsort,1.15996,484,0.03,3479.88,357,100,1,3,60.0,1.15996,0,0,-59,-46,-1,56,59,-63,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
2,insertionsort,1.276456667,523,0.03,3829.37,381,100,1,3,489.0,1.276456667,0,0,40,-85,-4,101,38,-3,-22,-42,-53,-120,98,-10,-125,-86,71,26,51,81,-86,-25,-28,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
3,insertionsort,1.223946667,504,0.03,3671.84,369,100,1,3,207.0,1.223946667,0,0,-36,-71,-69,3,-66,-106,95,-63,14,112,13,-68,-89,126,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
4,insertionsort,1.265803333,518,0.03,3797.41,378,100,1,3,402.0,1.265803333,0,0,-92,10,-2,-84,65,-80,122,-123,36,87,-115,-56,-50,-113,41,71,-39,74,-124,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
5,insertionsort,1.170333333,487,0.03,3511.0,359,100,1,3,81.0,1.170333333,0,0,-80,4,-40,-3,55,-15,-68,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
6,insertionsort,1.252243333,515,0.03,3756.73,375,100,1,3,411.0,1.252243333,0,0,42,102,110,-98,-74,-33,119,33,-114,32,-20,123,-52,71,-121,-38,-77,62,32,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
7,insertionsort,1.266693333,519,0.03,3800.08,378,100,1,3,456.0,1.266693333,0,0,18,51,-20,-123,-19,55,-124,122,-92,124,-53,42,68,-18,72,15,99,-81,-39,-85,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
8,insertionsort,1.26269,518,0.03,3788.07,378,100,1,3,474.0,1.26269,0,0,80,46,-6,113,17,-89,-26,-12,18,-2,-19,60,-8,-80,-21,-39,-113,-34,120,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
9,insertionsort,1.182273333,490,0.03,3546.82,360,100,1,3,132.0,1.182273333,0,0,40,-65,29,-92,88,86,99,-7,5,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.0074123
