id,cInstr
values_27,256056
values_84,4101
values_65,47088
values_96,4101
values_28,36487
values_54,36350
values_15,454
values_87,456
values_59,3737
values_5,102413
values_92,3196
values_0,3418
values_77,187130
values_17,36697
values_12,101888
values_33,5259
values_25,80551
values_19,34943
values_97,80503
values_81,12455
values_8,4089
values_73,35260
values_89,80616
values_82,3060
values_34,4516
values_70,4868
values_29,4110
values_51,25940
values_57,256307
values_88,3057
values_23,78032
values_45,8377
values_66,950
values_36,1790
values_56,945
values_26,953
values_43,1787
values_52,3373
values_98,18115
values_61,47092
values_44,5271
values_68,78579
values_41,4904
values_85,3057
values_79,961
values_71,1810
values_63,256360
values_20,3066
values_74,188242
values_72,12405
values_86,4820
values_75,3066
values_55,5317
values_14,451
values_47,3746
values_91,47314
values_64,37086
values_11,257333
values_49,61929
values_62,3075
values_80,256567
values_39,25586
values_90,4453
values_53,80454
values_94,5246
values_7,36337
values_31,18190
values_93,47263
values_38,4871
values_58,18150
values_78,61925
values_50,102108
values_3,5389
values_13,3192
values_83,127936
values_1,25740
values_21,12432
values_32,933
values_22,102156
values_9,5313
values_6,1792
values_76,4459
values_18,35347
values_16,127595
values_40,78052
values_2,81459
values_60,35265
values_99,206
values_48,4886
values_69,4068
values_46,129232
values_24,1803
values_95,12531
values_42,5262
values_37,3066
values_10,47079
values_67,956
values_35,3400
values_30,61615
values_4,78155
