inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement
values_27, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_84, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_65, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_96, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_28, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_54, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_15, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_87, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_59, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_5, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_92, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_0, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_77, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_17, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_12, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_33, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_25, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_19, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_97, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_81, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
values_8, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_73, 181, 31, 52, 19, 233, 50, 1315.02, 55784.47, 0.02, 42.42, 3099.14
values_89, 182, 31, 52, 19, 234, 50, 1320.66, 56023.89, 0.02, 42.42, 3112.44
