id,cInstr
values_27,4132
values_84,105
values_65,2034
values_96,2999
values_28,1837
values_54,1270
values_15,4785
values_87,677
values_59,1639
values_5,366
values_92,2044
values_0,369
values_77,366
values_17,1630
values_12,153
values_33,1637
values_25,1833
values_19,2978
values_97,211
values_81,1831
values_8,4140
values_73,4779
values_89,105
values_82,364
values_34,3267
values_70,105
values_29,2034
values_51,1625
values_57,2502
values_88,106
values_23,461
values_45,106
values_66,212
values_36,367
values_56,286
values_26,2738
values_43,3256
values_52,570
values_98,1831
values_61,215
values_44,4452
values_68,155
values_41,2257
values_85,819
values_79,4454
values_71,285
values_63,1109
values_20,2039
values_74,364
values_72,4765
values_86,1270
values_75,2260
values_55,810
values_14,366
values_47,105
values_91,4454
values_64,1105
values_11,4780
values_49,3843
values_62,1105
values_80,686
values_39,1111
values_90,687
values_53,1267
values_94,2992
values_7,2257
values_31,821
values_93,2262
values_38,810
values_58,814
values_78,4779
values_50,68
values_3,1636
values_13,2256
values_83,106
values_1,211
values_21,955
values_32,2995
values_22,2991
values_9,946
values_6,2998
values_76,2037
values_18,1274
values_16,574
values_40,2493
values_2,1107
values_60,1638
values_99,957
values_48,282
values_69,105
values_46,212
values_24,1631
values_95,2045
values_42,69
values_37,1279
values_10,1105
values_67,4760
values_35,566
values_30,4153
values_4,2735
