id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,,,4132,0
values_84,,,105,0
values_65,,,2034,0
values_96,,,2999,0
values_28,,,1837,0
values_54,,,1270,0
values_15,,,4785,0
values_87,,,677,0
values_59,3966,,1639,2.420
values_5,,,366,0
values_92,,,2044,0
values_0,,,369,0
values_77,,,366,0
values_17,3963,,1630,2.431
values_12,276,,153,1.804
values_33,3968,,1637,2.424
values_25,,,1833,0
values_19,,,2978,0
values_97,411,,211,1.948
values_81,,,1831,0
values_8,,,4140,0
values_73,,,4779,0
values_89,,,105,0
values_82,,,364,0
values_34,,,3267,0
values_70,,,105,0
values_29,,,2034,0
values_51,3970,,1625,2.443
values_57,,,2502,0
values_88,,,106,0
values_23,1036,,461,2.247
values_45,,,106,0
values_66,420,,212,1.981
values_36,,,367,0
values_56,,,286,0
values_26,,,2738,0
values_43,,,3256,0
values_52,1283,,570,2.251
values_98,,,1831,0
values_61,415,,215,1.930
values_44,,,4452,0
values_68,276,,155,1.781
values_41,,,2257,0
values_85,,,819,0
values_79,,,4454,0
values_71,,,285,0
values_63,,,1109,0
values_20,,,2039,0
values_74,,,364,0
values_72,,,4765,0
values_86,,,1270,0
values_75,,,2260,0
values_55,,,810,0
values_14,,,366,0
values_47,,,105,0
values_91,,,4454,0
values_64,,,1105,0
values_11,,,4780,0
values_49,,,3843,0
values_62,,,1105,0
values_80,,,686,0
values_39,,,1111,0
values_90,,,687,0
values_53,,,1267,0
values_94,,,2992,0
values_7,,,2257,0
values_31,,,821,0
values_93,,,2262,0
values_38,,,810,0
values_58,,,814,0
values_78,,,4779,0
values_50,84,,68,1.235
values_3,3975,,1636,2.430
values_13,,,2256,0
values_83,,,106,0
values_1,413,,211,1.957
values_21,,,955,0
values_32,,,2995,0
values_22,,,2991,0
values_9,,,946,0
values_6,,,2998,0
values_76,,,2037,0
values_18,,,1274,0
values_16,1295,,574,2.256
values_40,,,2493,0
values_2,,,1107,0
values_60,3971,,1638,2.424
values_99,,,957,0
values_48,,,282,0
values_69,,,105,0
values_46,412,,212,1.943
values_24,3976,,1631,2.438
values_95,,,2045,0
values_42,83,,69,1.203
values_37,,,1279,0
values_10,,,1105,0
values_67,,,4760,0
values_35,1287,,566,2.274
values_30,,,4153,0
values_4,,,2735,0
