inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_27, 191, 30, 67, 27, 258, 57, 1504.89, 56015.19, 0.03, 37.22, 3111.95, 0.49
values_84, 215, 30, 82, 42, 297, 72, 1832.47, 53665.13, 0.03, 29.29, 2981.40, 0.47
values_65, 206, 30, 75, 36, 281, 66, 1698.47, 53077.34, 0.03, 31.25, 2948.74, 0.47
values_96, 202, 30, 76, 36, 278, 66, 1680.34, 53210.82, 0.03, 31.67, 2956.16, 0.47
values_28, 194, 30, 69, 29, 263, 59, 1547.14, 55216.72, 0.03, 35.69, 3067.60, 0.48
values_54, 195, 30, 70, 30, 265, 60, 1565.33, 54786.41, 0.03, 35, 3043.69, 0.48
values_15, 199, 30, 74, 33, 273, 63, 1631.80, 54887.73, 0.03, 33.64, 3049.32, 0.48
values_87, 216, 30, 84, 44, 300, 74, 1862.84, 53344.85, 0.03, 28.64, 2963.60, 0.47
values_59, 185, 30, 63, 24, 248, 54, 1427.21, 56196.48, 0.03, 39.38, 3122.03, 0.49
values_5, 178, 30, 59, 20, 237, 50, 1337.59, 59188.53, 0.02, 44.25, 3288.25, 0.51
values_92, 199, 30, 74, 35, 273, 65, 1644.11, 52141.66, 0.03, 31.71, 2896.76, 0.47
values_0, 200, 30, 75, 34, 275, 64, 1650, 54595.59, 0.03, 33.09, 3033.09, 0.48
values_77, 190, 30, 67, 27, 257, 57, 1499.05, 55798.07, 0.03, 37.22, 3099.89, 0.49
values_17, 213, 30, 82, 40, 295, 70, 1808.14, 55600.26, 0.03, 30.75, 3088.90, 0.49
values_12, 182, 30, 62, 22, 244, 52, 1390.91, 58797.44, 0.02, 42.27, 3266.52, 0.50
values_33, 214, 30, 85, 44, 299, 74, 1856.63, 53799.97, 0.03, 28.98, 2988.89, 0.48
values_25, 197, 30, 74, 34, 271, 64, 1626, 53084.12, 0.03, 32.65, 2949.12, 0.47
values_19, 184, 30, 64, 25, 248, 55, 1433.78, 55057.04, 0.03, 38.40, 3058.72, 0.48
values_97, 181, 30, 61, 22, 242, 52, 1379.51, 57374.93, 0.02, 41.59, 3187.50, 0.50
values_81, 206, 30, 75, 34, 281, 64, 1686, 55786.76, 0.03, 33.09, 3099.26, 0.49
values_8, 199, 30, 74, 35, 273, 65, 1644.11, 52141.66, 0.03, 31.71, 2896.76, 0.47
values_73, 216, 30, 82, 43, 298, 73, 1844.57, 52763.22, 0.03, 28.60, 2931.29, 0.47
values_89, 193, 30, 71, 31, 264, 61, 1565.71, 53789.87, 0.03, 34.35, 2988.33, 0.47
values_82, 179, 30, 60, 21, 239, 51, 1355.71, 58101.84, 0.02, 42.86, 3227.88, 0.50
values_34, 178, 30, 60, 21, 238, 51, 1350.04, 57858.74, 0.02, 42.86, 3214.37, 0.50
values_70, 199, 30, 74, 34, 273, 64, 1638, 53475.88, 0.03, 32.65, 2970.88, 0.47
values_29, 181, 30, 62, 23, 243, 53, 1391.88, 56280.55, 0.02, 40.43, 3126.70, 0.49
values_51, 198, 30, 72, 31, 270, 61, 1601.30, 55787.19, 0.03, 34.84, 3099.29, 0.49
values_57, 184, 30, 64, 25, 248, 55, 1433.78, 55057.04, 0.03, 38.40, 3058.72, 0.48
values_88, 210, 30, 82, 41, 292, 71, 1795.73, 53871.78, 0.03, 30, 2992.88, 0.48
values_23, 211, 30, 81, 42, 292, 72, 1801.62, 52118.24, 0.03, 28.93, 2895.46, 0.47
values_45, 189, 30, 68, 28, 257, 58, 1505.50, 54843.25, 0.03, 36.43, 3046.85, 0.48
values_66, 192, 30, 69, 30, 261, 60, 1541.70, 53188.60, 0.03, 34.50, 2954.92, 0.47
values_36, 209, 30, 79, 38, 288, 68, 1753.19, 54671.82, 0.03, 31.18, 3037.32, 0.48
values_56, 178, 30, 60, 20, 238, 50, 1343.24, 60445.70, 0.02, 45, 3358.09, 0.51
values_26, 194, 30, 68, 29, 262, 59, 1541.25, 54209.57, 0.03, 35.17, 3011.64, 0.48
