id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,301,,428,0.703
values_84,1733,,2060,0.841
values_65,1176,,1542,0.763
values_96,1288,,1662,0.775
values_28,440,,590,0.746
values_54,544,,714,0.762
values_15,778,,978,0.796
values_87,2163,,2670,0.810
values_59,134,,214,0.626
values_5,16,,38,0.421
values_92,957,,1192,0.803
values_0,932,,1196,0.779
values_77,373,,536,0.696
values_17,2182,,2760,0.791
values_12,91,,152,0.599
values_33,2345,,2882,0.814
values_25,898,,1152,0.780
values_19,115,,176,0.653
values_97,61,,110,0.555
values_81,1027,,1310,0.784
values_8,957,,1198,0.799
values_73,2085,,2638,0.790
values_89,626,,790,0.792
values_82,31,,54,0.574
values_34,16,,24,0.667
values_70,849,,1062,0.799
values_29,75,,126,0.595
values_51,802,,1056,0.759
values_57,130,,174,0.747
values_88,1962,,2440,0.804
values_23,1957,,2568,0.762
values_45,388,,542,0.716
values_66,431,,572,0.753
values_36,1698,,2134,0.796
values_56,36,,72,0.500
values_26,480,,696,0.690
values_43,742,,918,0.808
values_52,438,,612,0.716
values_98,349,,512,0.682
values_61,1642,,2106,0.780
values_44,1279,,1596,0.801
values_68,1134,,1486,0.763
values_41,2650,,3228,0.821
values_85,352,,486,0.724
values_79,1205,,1568,0.768
values_71,2340,,2884,0.811
values_63,870,,1144,0.760
values_20,2526,,3166,0.798
values_74,439,,606,0.724
values_72,827,,1022,0.809
values_86,1611,,2092,0.770
values_75,535,,702,0.762
values_55,1316,,1712,0.769
values_14,1074,,1354,0.793
values_47,2230,,2670,0.835
values_91,61,,96,0.635
values_64,1451,,1766,0.822
values_11,232,,330,0.703
values_49,194,,272,0.713
values_62,2220,,2722,0.816
values_80,80,,116,0.690
values_39,95,,146,0.651
values_90,67,,96,0.698
values_53,1348,,1710,0.788
values_94,2317,,2862,0.810
values_7,442,,590,0.749
values_31,65,,86,0.756
values_93,21,,28,0.750
values_38,53,,94,0.564
values_58,125,,188,0.665
values_78,1157,,1430,0.809
values_50,154,,216,0.713
values_3,125,,188,0.665
values_13,11,,20,0.550
values_83,492,,634,0.776
values_1,776,,1046,0.742
values_21,99,,168,0.589
values_32,1519,,1904,0.798
values_22,91,,152,0.599
values_9,634,,866,0.732
values_6,1977,,2494,0.793
values_76,632,,794,0.796
values_18,585,,798,0.733
values_16,538,,678,0.794
values_40,2019,,2548,0.792
values_2,468,,622,0.752
values_60,448,,582,0.770
values_99,461,,560,0.823
values_48,2372,,2828,0.839
values_69,167,,250,0.668
values_46,2143,,2670,0.803
values_24,364,,462,0.788
values_95,117,,172,0.680
values_42,2336,,3014,0.775
values_37,736,,930,0.791
values_10,621,,796,0.780
values_67,392,,520,0.754
values_35,173,,254,0.681
values_30,647,,884,0.732
values_4,1042,,1338,0.779
