inputName,dim,a[dim]
values_27,10,"{4, -52, -84, 101, 98, -98, -102, -60, -9, -48"
values_84,25,"{-59, -48, -86, -85, -12, -46, 78, 94, -65, 74, -111, 19, -42, 66, 84, -70, -28, -90, -21, -37, -10, 79, 110, -48, 102"
values_65,18,"{117, -29, -5, -72, -84, -4, -33, -107, -78, 106, -89, -115, 83, 74, -87, -61, -3, -124"
values_96,19,"{-28, 126, 105, 51, 3, -16, -124, 126, -98, -30, 49, -44, 20, 73, 81, -108, -69, 36, -80"
values_28,12,"{116, -12, -67, -81, 106, -59, -75, -77, 118, -47, -74, 95"
values_54,13,"{-113, 41, -80, 11, -17, 74, -39, -77, 0, -115, 109, -98, -36"
values_15,17,"{106, 121, -17, -45, -104, -3, -122, 62, -41, -3, 11, 84, 30, -28, 114, 63, 32"
values_87,27,"{-14, -31, -8, -40, -73, 109, -96, -75, -39, -91, 58, 100, 22, 94, 67, 2, -28, -39, -10, 79, 110, -54, -81, -124, 26, 120, 66"
values_59,6,"{-11, -90, 20, -27, -62, -119"
values_5,2,"{-65, -69"
values_92,17,"{-127, 13, 8, 101, 63, 89, -83, -3, -43, -98, -56, -27, 126, 102, 119, 26, -97"
values_0,18,"{-76, 88, 5, 10, -24, 122, -8, -97, -31, 0, 74, -23, 52, -1, 27, -79, 67, 105"
values_77,10,"{94, 23, -16, -53, 31, 11, -15, -11, -65, -21"
values_17,25,"{84, 32, 46, -99, -8, 99, 122, -101, -34, 12, -24, -123, -126, 76, 83, -79, 36, -29, -78, 43, 119, -8, -123, -45, -72"
values_12,5,"{45, -46, 71, -45, -117"
values_33,28,"{-124, -118, 16, 55, -87, 6, 88, 123, -72, 7, 104, 102, 40, 99, -57, 77, -54, 110, -5, 42, -19, -98, -75, -1, 83, -54, 30, 96"
values_25,17,"{60, 1, -78, 44, 35, 70, -20, 102, -5, 12, -47, 2, 94, -9, -43, 115, 24"
values_19,7,"{-108, 17, 32, -112, -120, 127, 74"
values_97,4,"{44, -63, -10, -67"
values_81,18,"{-26, -80, -72, -26, -108, -29, -65, 47, -77, 69, 46, -108, -78, -28, -16, -110, 22, -37"
values_8,17,"{97, -40, -126, -59, -23, 34, 66, 25, -50, 21, -107, -91, 12, 62, 44, 52, -63"
values_73,25,"{67, -34, 66, -126, -100, 101, 122, -53, -48, -76, 106, -19, -105, -33, -6, -98, -89, -45, 10, -107, -112, 104, -43, -111, 118"
values_89,14,"{92, -68, -96, -80, 5, 20, 58, 23, 108, 97, 70, -13, 117, -117"
values_82,3,"{16, -124, -18"
values_34,3,"{-96, 31, 108"
values_70,17,"{-15, 61, -112, -22, -67, -13, -67, 31, 8, 63, 92, -108, 19, 34, 38, -126, 81"
values_29,5,"{59, 83, -32, -36, 75"
values_51,15,"{-62, 27, -124, 101, 3, -27, -79, 3, 119, 25, -14, -80, -110, -26, -88"
values_57,7,"{30, -85, -70, -9, 49, 45, 8"
values_88,25,"{54, 76, 13, 28, 101, 122, 94, -100, -107, -125, -73, -8, -122, -126, -37, -4, 119, -117, 17, 103, 14, 85, -86, 109, 13"
values_23,24,"{13, -36, 90, 31, 88, -44, 98, 4, 32, -76, 64, -69, -50, -81, 127, -28, -85, 80, -103, -95, -75, -56, -12, 3"
values_45,11,"{1, 23, -44, 74, 2, -33, 4, 127, -52, -92, 9"
values_66,12,"{-55, -11, 67, 57, -36, 82, 126, 16, -99, -10, -50, 75"
values_36,22,"{12, 26, -70, -25, -112, 94, -96, -102, -92, -88, 6, 107, 106, 101, -108, -58, 108, 23, -118, -114, -23, -113"
values_56,3,"{35, 23, -23"
values_26,11,"{-4, 113, 101, -52, -61, -88, -87, -13, -117, -82, -124"
values_43,16,"{61, -11, -109, -23, 81, -8, -114, -93, 63, -7, 123, -14, 61, 126, -74, 79"
values_52,12,"{72, -22, 65, 75, 99, 72, -111, -73, -127, -105, -94, 125"
values_98,10,"{0, 115, 98, -12, 80, -106, -88, -83, -122, 5"
values_61,22,"{121, -110, -87, 51, 60, -59, 28, -82, 27, -15, 108, -32, -38, -34, -89, 98, 112, -48, -100, -95, -93, 49"
values_44,20,"{-55, -76, -63, 7, 125, 75, 99, -102, 110, 110, 16, -48, 116, -52, -42, 115, 29, -82, -32, -41"
values_68,19,"{-26, -98, 73, 115, -69, -63, 31, 102, 12, -52, -35, -4, 116, -61, -85, -113, -108, -35, 127"
values_41,28,"{11, 114, -10, -9, 96, 71, -107, 3, -57, -3, -43, -107, -108, -94, -5, -96, 59, -63, -16, -34, 113, 92, -15, -84, 75, 71, 108, -90"
values_85,10,"{105, -122, 97, -49, -14, -123, 4, 66, -96, -116"
values_79,20,"{116, 106, 19, 87, -104, 40, 43, 49, 9, -121, 39, 117, 69, -99, 17, 70, 7, -30, 102, 121"
values_71,26,"{-21, -12, -7, 49, -121, -55, -109, 85, -62, 80, 67, 125, -58, -83, 12, -52, -50, 49, -71, 88, -18, -29, -114, -38, 32, -108"
values_63,17,"{-37, -24, 67, -20, 48, 8, 113, 56, -29, 8, -5, -110, -112, 5, -53, 16, 56"
values_20,28,"{-23, 110, 46, -16, -46, -29, -124, 39, 90, 127, 116, -30, -60, 28, 82, 72, -59, 82, 5, 79, 71, -60, 111, -52, -107, -47, 0, 111"
values_74,11,"{56, 70, 62, -122, 46, 3, 63, 83, 45, -5, -96"
values_72,17,"{-51, -60, -58, -76, 92, 101, 110, -121, -27, -97, 114, 120, 89, 26, 33, 12, -26"
values_86,22,"{110, -24, -72, 66, 44, 125, -44, -35, -28, -13, -85, -121, -36, -113, -88, 4, -127, 37, 52, -96, -35, 23"
values_75,13,"{-96, 126, -119, 21, 79, 46, 27, -61, 124, 49, 4, -62, 35"
values_55,19,"{30, 66, 123, 48, -72, 23, -32, -100, 14, 99, 103, 88, -24, -65, 43, 50, -100, -34, -83"
values_14,19,"{70, -43, 71, -122, -111, 47, -59, 67, -85, 73, 7, -124, -45, 106, -77, -113, 95, 82, 13"
values_47,27,"{111, -10, 85, 61, -101, -63, 96, -69, -39, -18, -67, 48, -22, -125, -78, 40, 111, 115, 94, 78, -38, 26, 77, 90, 116, -55, 87"
values_91,5,"{-42, -6, -112, -86, 80"
values_64,22,"{45, -102, 36, -98, 121, -87, -49, -61, 1, 16, -75, -105, -66, -35, 23, -86, 8, -39, -47, 53, 118, -52"
values_11,9,"{31, 55, -71, 22, 38, 19, -60, 5, 72"
values_49,8,"{-82, 61, 97, -35, 40, -74, -69, -3"
