id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,10,,30,0.333
values_84,6,,20,0.300
values_65,10,,30,0.333
values_96,10,,30,0.333
values_28,10,,30,0.333
values_54,10,,30,0.333
values_15,10,,30,0.333
values_87,6,,20,0.300
values_59,10,,30,0.333
values_5,10,,30,0.333
values_92,12,,35,0.343
values_0,12,,35,0.343
values_77,8,,25,0.320
values_17,10,,30,0.333
values_12,12,,35,0.343
values_33,12,,35,0.343
values_25,10,,30,0.333
values_19,12,,35,0.343
values_97,10,,30,0.333
values_81,6,,20,0.300
values_8,12,,35,0.343
values_73,8,,25,0.320
values_89,6,,20,0.300
values_82,6,,20,0.300
values_34,10,,30,0.333
values_70,10,,30,0.333
values_29,12,,35,0.343
values_51,10,,30,0.333
values_57,8,,25,0.320
values_88,6,,20,0.300
values_23,10,,30,0.333
values_45,10,,30,0.333
values_66,10,,30,0.333
values_36,10,,30,0.333
values_56,10,,30,0.333
values_26,10,,30,0.333
values_43,10,,30,0.333
values_52,10,,30,0.333
values_98,12,,35,0.343
values_61,10,,30,0.333
values_44,10,,30,0.333
values_68,10,,30,0.333
values_41,10,,30,0.333
values_85,6,,20,0.300
values_79,10,,30,0.333
values_71,8,,25,0.320
values_63,10,,30,0.333
values_20,12,,35,0.343
values_74,8,,25,0.320
values_72,10,,30,0.333
values_86,6,,20,0.300
values_75,8,,25,0.320
values_55,10,,30,0.333
values_14,10,,30,0.333
values_47,10,,30,0.333
values_91,12,,35,0.343
values_64,10,,30,0.333
values_11,12,,35,0.343
values_49,12,,35,0.343
values_62,12,,35,0.343
values_80,6,,20,0.300
values_39,12,,35,0.343
values_90,12,,35,0.343
values_53,10,,30,0.333
values_94,10,,30,0.333
values_7,10,,30,0.333
values_31,12,,35,0.343
values_93,10,,30,0.333
values_38,10,,30,0.333
values_58,10,,30,0.333
values_78,8,,25,0.320
values_50,10,,30,0.333
values_3,10,,30,0.333
values_13,10,,30,0.333
values_83,6,,20,0.300
values_1,12,,35,0.343
values_21,12,,35,0.343
values_32,12,,35,0.343
values_22,10,,30,0.333
values_9,12,,35,0.343
values_6,12,,35,0.343
values_76,8,,25,0.320
values_18,10,,30,0.333
values_16,10,,30,0.333
values_40,10,,30,0.333
values_2,10,,30,0.333
values_60,12,,35,0.343
values_99,12,,32,0.375
values_48,10,,30,0.333
values_69,12,,35,0.343
values_46,10,,30,0.333
values_24,10,,30,0.333
values_95,10,,30,0.333
values_42,12,,35,0.343
values_37,10,,30,0.333
values_10,10,,30,0.333
values_67,10,,30,0.333
values_35,10,,30,0.333
values_30,10,,30,0.333
values_4,12,,35,0.343
