inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_27, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_84, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_65, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_96, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_28, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_54, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_15, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_87, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_59, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_5, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_92, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_0, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_77, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_17, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_12, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_33, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_25, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_19, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_97, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_81, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_8, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_73, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_89, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_82, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_34, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_70, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_29, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_51, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_57, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_88, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_23, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_45, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_66, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_36, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_56, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_26, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_43, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_52, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_98, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_61, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_44, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_68, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_41, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_85, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_79, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_71, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_63, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_20, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_74, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_72, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_86, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_75, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_55, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_14, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_47, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
values_91, 26, 6, 2, 6, 2, 1, 9, 3, 3, 2, 0, 9, 3, 3, 100.0
