values_27,88,25
values_84,22,59
values_65,49,118
values_96,116,73
values_28,88,72
values_54,7,59
values_15,126,118
values_87,22,25
values_59,7,60
values_5,95,118
values_92,116,114
values_0,95,55
values_77,91,25
values_17,126,25
values_12,126,114
values_33,21,17
values_25,88,118
values_19,126,60
values_97,116,25
values_81,22,111
values_8,95,72
values_73,91,17
values_89,22,60
values_82,22,114
values_34,21,59
values_70,91,55
values_29,88,60
values_51,7,111
values_57,7,25
values_88,22,72
values_23,88,17
values_45,85,118
values_66,49,73
values_36,21,73
values_56,7,73
values_26,88,73
values_43,85,17
values_52,7,114
values_98,116,72
values_61,49,111
values_44,85,59
values_68,49,72
values_41,85,111
values_85,22,118
values_79,91,60
values_71,91,111
values_63,49,17
values_20,88,55
values_74,91,59
values_72,91,114
values_86,22,73
values_75,91,118
values_55,7,118
values_14,126,59
values_47,85,25
values_91,116,111
values_64,49,59
values_11,126,111
values_49,85,60
values_62,49,114
values_80,22,55
values_39,21,60
values_90,116,55
values_53,7,17
values_94,116,59
values_7,95,25
values_31,21,111
values_93,116,17
values_38,21,72
values_58,7,72
values_78,91,72
values_50,7,55
values_3,95,17
values_13,126,17
values_83,22,17
values_1,95,111
values_21,88,111
values_32,21,114
values_22,88,114
values_9,95,60
values_6,95,73
values_76,91,73
values_18,126,72
values_16,126,73
values_40,85,55
values_2,95,114
values_60,49,55
values_99,116,60
values_48,85,72
values_69,49,60
values_46,85,73
values_24,88,59
values_95,116,118
values_42,85,114
values_37,21,25
values_10,126,55
values_67,49,25
values_35,21,118
values_30,21,55
values_4,95,59
