,Area,BugsDelivered,DifficultyLevel,DistinctOperands,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,Total_Operands,VocabularySize,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function.1,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,ARRAY_INPUT,RANGE_ARRAY_INPUT,cInstr
Area,1.0,0.2672004995361773,0.5982783963161439,0.21170923889767676,0.42959107349148196,0.3354533374235025,0.279781902687131,-0.49707960376187593,0.2672004995245435,0.3354533415984136,0.28173127705978707,0.27328780071500525,0.2612432918049495,0.6921311284827796,0.6282622234031546,0.21845534505357522,0.6282622234031546,0.5786821788296238,0.8560761848123652,0.6948148531588115,0.4435519617900786,0.4435519617900786,0.4025187970379234,0.40471872565436123,0.6045764426848882,0.29702763762306306,0.2901426413689368,-0.1355240968187427,0.42348566929997716,0.20671415464474036,0.28371956916520386,0.2837195691652031,0.259402487513457,0.14863841639292763,-0.020991269515781192
BugsDelivered,0.2672004995361773,1.0,0.5842455977791435,0.8804711051364599,0.39999576015138594,0.9525888512453544,0.9978190215770681,-0.5832784191355589,1.0000000000000033,0.9525888491374143,0.9955057252651444,0.987914587579986,0.8482991042480564,0.562243143055426,0.6459638102409507,0.6045124691925867,0.6459638102409507,0.6173169394346741,0.21016466737610212,0.42393226943695594,0.5463603297229598,0.5463603297229598,0.5395152455710522,0.22431708732042416,0.6502112242969078,0.5491904901173795,0.5398240960108669,-0.23166075802853378,-0.1718485512892704,-0.1806500656473487,0.34576632722669165,0.345766327226692,0.4004004357821264,0.0048314265706661495,-0.04339640706809974
DifficultyLevel,0.5982783963161439,0.5842455977791435,1.0,0.33582010686181496,0.3847653692666861,0.7097067342302296,0.6149636652776557,-0.8651407367310073,0.5842455977683716,0.709706739798141,0.6161136033861926,0.6051745215256967,0.36343466323682566,0.7939027459481659,0.7533534414755313,0.2738202948774967,0.7533534414755313,0.7228707215910403,0.4620045083417506,0.8541646453921201,0.4119868140521609,0.4119868140521609,0.3780690115596793,0.7243761422594145,0.6869871666787765,0.3347262015213521,0.328958898244121,-0.1428205819350638,-0.010951294298846647,-0.1534879738516466,0.41818389897897945,0.4181838989789783,0.4131921414506644,0.22818921562548208,-0.04257095655859214
DistinctOperands,0.21170923889767676,0.8804711051364599,0.33582010686181496,1.0,0.6131808167130418,0.7366957090380316,0.858478645364209,-0.4033920017735225,0.8804711051409188,0.7366957002865039,0.8648764126938566,0.8379565882261746,0.9907516833447572,0.44390941976657244,0.5290416115144337,0.7694117641306906,0.5290416115144337,0.49200523603777463,0.1364291437058573,0.27606187485480355,0.5343173174952645,0.5343173174952645,0.5539126059042246,0.11178243749706325,0.5600248599648546,0.5640577565007858,0.5428337811970625,-0.3292629389021108,-0.17046768277605373,-0.125451786722204,0.32542232602522,0.32542232602522003,0.383388164322353,-0.09752271688403136,-0.04351390974255151
DistinctOperators,0.42959107349148196,0.39999576015138594,0.3847653692666861,0.6131808167130418,1.0,0.3715222948035592,0.37422588528889483,-0.4325302840854494,0.3999957601520253,0.3715222834899045,0.4166184492322016,0.3086190824934432,0.7146952732168196,0.45231428675921426,0.42544627669832785,0.727715170323394,0.42544627669832785,0.35495414327178987,0.33578007338005855,0.4108788804967539,0.3836493059024566,0.3836493059024566,0.42316589611917627,0.24822257002278414,0.4357822288090015,0.3794259269366432,0.3378061612290927,-0.4505511103426215,0.0722602228848067,0.10298332218431129,0.2805010714129807,0.28050107141298025,0.23225827683136083,0.14351217607175862,-0.022333261677527298
Effort,0.3354533374235025,0.9525888512453544,0.7097067342302296,0.7366957090380316,0.3715222948035592,1.0,0.9555072383294818,-0.6296562307834449,0.9525888512430912,0.999999999999994,0.9555918056047713,0.9427325186550658,0.7161057290185825,0.5844875948643118,0.646172571782616,0.5078273796579325,0.646172571782616,0.6009516867152379,0.28789404237755967,0.4900476057014563,0.5078042108341162,0.5078042108341162,0.49620862994725207,0.31417736976117866,0.6381551297807244,0.4906323073630222,0.47940500702214617,-0.23224813590602722,-0.08501051660138964,-0.11523953844647768,0.31922612556925223,0.3192261255692519,0.36093642435175116,0.07718886614353976,-0.03809426370802373
ProgramLength,0.279781902687131,0.9978190215770681,0.6149636652776557,0.858478645364209,0.37422588528889483,0.9555072383294818,1.0,-0.6068088890678384,0.9978190215763549,0.9555072366949933,0.9961964158824229,0.9921988349867562,0.8243999399712066,0.5814835980158969,0.6612837098552536,0.5765019849935396,0.6612837098552536,0.639634658178838,0.21577972113237281,0.4534352791513991,0.5373676593524002,0.5373676593524002,0.526338928618684,0.2572666393165305,0.6586804193433139,0.5358105767947946,0.5293214465975828,-0.20326229606750326,-0.1828304800290168,-0.20332683897669926,0.35848461479304694,0.3584846147930479,0.4125765476850418,0.012038391672013527,-0.04484255126810886
ProgramLevel,-0.49707960376187593,-0.5832784191355589,-0.8651407367310073,-0.4033920017735225,-0.4325302840854494,-0.6296562307834449,-0.6068088890678384,1.0,-0.5832784191164796,-0.6296562387716458,-0.6064712488668732,-0.5992560136557614,-0.4314691218393485,-0.8019502881888401,-0.7632575149631777,-0.3565661615494397,-0.7632575149631777,-0.7303539056979279,-0.39648546730576384,-0.803146270976369,-0.518359945973338,-0.518359945973338,-0.4936958740092827,-0.5353076896054504,-0.727990711544103,-0.4701417536295264,-0.4634708375755058,0.2174726311956747,0.13094362545645039,0.23620589214063387,-0.413592664276495,-0.41359266427649416,-0.4298177135522152,-0.21045133707836505,0.03367904461913913
ProgramVolume,0.2672004995245435,1.0000000000000033,0.5842455977683716,0.8804711051409188,0.3999957601520253,0.9525888512430912,0.9978190215763549,-0.5832784191164796,1.0,0.9525888491351535,0.9955057252647463,0.987914587578833,0.8482991042521123,0.5622431430392123,0.6459638102263952,0.6045124692005232,0.6459638102263952,0.6173169394208273,0.21016466734893618,0.4239322694240853,0.5463603297063393,0.5463603297063393,0.5395152455555265,0.22431708731415365,0.6502112242808931,0.5491904901048774,0.5398240959978076,-0.23166075802705205,-0.17184855128951979,-0.18065006564176378,0.34576632721214656,0.3457663272121468,0.4004004357702804,0.0048314265474173465,-0.04339640706745368
TimeToImplement,0.3354533415984136,0.9525888491374143,0.709706739798141,0.7366957002865039,0.3715222834899045,0.999999999999994,0.9555072366949933,-0.6296562387716458,0.9525888491351535,1.0,0.9555918028831722,0.9427325185975531,0.7161057193264164,0.5844876027031506,0.6461725821839064,0.5078273703187454,0.6461725821839064,0.6009516934351198,0.28789404746224206,0.49004761245029027,0.5078042147712857,0.5078042147712857,0.4962086297547321,0.3141773734872322,0.6381551387111987,0.49063230758022175,0.4794050070601671,-0.23224813957704643,-0.08501051888379418,-0.11523955035487939,0.3192261385574135,0.3192261385574126,0.3609364365041084,0.07718887442637441,-0.03809425970346609
