,Max_Freq,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32
Max_Freq,1.0,-0.15671739776220342,-0.16512881497233423,-0.15504212304583365,-0.10067610151231697,-0.17031675770198215,-0.06676417787958737,-0.1703613696892418,-0.15635747893082133,-0.1521883661912041,-0.1579108758642465,-0.11807103352449795,-0.09137590864304079,-0.16054789247883197,-0.06543973367212405,-0.15240013146340575,-0.15436010274798123,-0.14649946776474398,-0.1536058591152406,-0.15518986983538371,-0.09558230180696567,-0.15537598130527755,-0.08608381985381525,-0.1576905590605012,-0.14972652284913424,-0.14484101271643443,-0.14769489171333022,-0.13521628088158635,-0.08808698113370249,-0.14791094195219365,-0.08013951605841951,-0.1484099348475109
M_VAL_2,-0.15671739776220342,1.0,0.7340385936739122,0.6385693998495987,0.39589613553314257,0.8405974323536116,0.298708775228956,0.777194700856285,0.7673280770546769,0.7502791769013991,0.7869016592948717,0.5771408675512435,0.36990610768475646,0.8049827705057093,0.2425511194247757,0.7465602476593337,0.7532158602738346,0.7627892286468007,0.8083689157049514,0.6691123191572769,0.33741257682217485,0.792679608850287,0.3636262574321854,0.7814666181746893,0.7616543561882128,0.751688333018584,0.7933096396637362,0.6178427529114878,0.3622966037593903,0.7672925405163066,0.32060904102928584,0.7418651687229052
M_VAL_3,-0.16512881497233423,0.7340385936739122,1.0,0.5679622171644183,0.31410271683069446,0.7762989079640613,0.3367323791920261,0.7408121543006986,0.7619463502294814,0.7352333232679299,0.79054986578145,0.47530404761112555,0.35449418595248844,0.761090146398741,0.2357765083371172,0.6564347221014915,0.746029651800441,0.7014435050947461,0.7835016894646635,0.6109204885341208,0.28596346033357145,0.7283448367977372,0.46990664162123275,0.7526195989363715,0.7235820593194436,0.687430821738137,0.7902003758594286,0.562810996605291,0.4012959442027727,0.7001512814915417,0.39392208632317866,0.7088887630491084
M_VAL_4,-0.15504212304583365,0.6385693998495987,0.5679622171644183,1.0,0.3342759732098572,0.7634302199091714,0.14075637089908863,0.7306674676894371,0.6351370348745597,0.6448054562317631,0.6232305480309512,0.6145821334833904,0.32216830668566065,0.7588031314267208,0.12578086346446404,0.6951838742165585,0.6012270360923468,0.6634646830134774,0.6159156970165598,0.6829959766544503,0.3926429931325636,0.7543752348618784,0.2648519735200318,0.7163876722611169,0.6743004034435415,0.6780951335106408,0.586260727374317,0.6537809549787869,0.35832110442422027,0.7260501327840507,0.18917021190642266,0.7158570872764192
M_VAL_5,-0.10067610151231697,0.39589613553314257,0.31410271683069446,0.3342759732098572,1.0,0.363841404456207,0.16628110267427465,0.34439168902429623,0.32730830425108937,0.37711090135497055,0.3759380542463992,0.17992186161981027,0.24905628298725582,0.33751488265271495,0.22817269971299303,0.3510420254755756,0.2706496043459336,0.3328179691637871,0.33197378251019644,0.33211437228906737,0.2970289113267895,0.2991121162850013,0.19881779288932355,0.3071279396901857,0.2781498880288046,0.3361028494052205,0.3436399600258564,0.29790239555389747,0.19171041127452848,0.3147858026584358,0.1372213527124518,0.324155700212056
M_VAL_6,-0.17031675770198215,0.8405974323536116,0.7762989079640613,0.7634302199091714,0.363841404456207,1.0,0.24272195428103258,0.8947243307151879,0.8521000245378725,0.8436778416552899,0.8170766526587723,0.6734083698462221,0.35980712485939675,0.9489613805864353,0.22746484352253576,0.8616681750855845,0.8214430015596669,0.8663359285354802,0.8314707371083714,0.7795347821538205,0.42420498943250695,0.935003265436589,0.40761104661849146,0.8902753152292774,0.8574528315038158,0.8527919644223253,0.8544525281047631,0.7290898583377907,0.39719906175557346,0.9075662672123591,0.3390275070205297,0.881155754225632
M_VAL_7,-0.06676417787958737,0.298708775228956,0.3367323791920261,0.14075637089908863,0.16628110267427465,0.24272195428103258,1.0,0.254976985542826,0.2765920060225933,0.28320660758332405,0.3184888727394377,0.10985279167870936,0.18877081041180344,0.22404699768091313,0.06262643320027661,0.22326501896942222,0.2677078548256622,0.20431658271645833,0.2912120928237557,0.2171124376433002,0.059835012120340474,0.19970496974006158,0.23312580037875782,0.2847215938228776,0.20798862229492504,0.24812498203970063,0.30347102634180123,0.20356435323437191,0.15880447292504407,0.16496948724263275,0.1278375758445891,0.20240302245958025
M_VAL_8,-0.1703613696892418,0.777194700856285,0.7408121543006986,0.7306674676894371,0.34439168902429623,0.8947243307151879,0.254976985542826,1.0,0.8076759978129338,0.7811285633569778,0.7965249462221353,0.6112860843028043,0.3457986917095703,0.8747287540649299,0.2285651968858673,0.822198802221983,0.733120351342581,0.7913588960259614,0.8066610784338569,0.7833998126420096,0.41255941490486986,0.8540120922483928,0.40263095024755446,0.8519167248343256,0.8083236189248658,0.7828100166177935,0.790329861530133,0.6726550215333293,0.39493930146442263,0.8291610950735598,0.3136461530358943,0.799121756248264
M_VAL_9,-0.15635747893082133,0.7673280770546769,0.7619463502294814,0.6351370348745597,0.32730830425108937,0.8521000245378725,0.2765920060225933,0.8076759978129338,1.0,0.7570060427557063,0.7812883724188233,0.5248390577242001,0.3705395995508112,0.8193568616904646,0.22476582858222813,0.7387585544226264,0.7523025582856488,0.7842481536843477,0.7995240680738964,0.6738665180270028,0.34213675255279496,0.8045110264613332,0.41087180523608124,0.7912258965626584,0.7851375188112604,0.7504514821477704,0.7718003815263217,0.6054743103533207,0.3891841810872447,0.7652034194728295,0.35367111718510075,0.752909697094544
M_VAL_10,-0.1521883661912041,0.7502791769013991,0.7352333232679299,0.6448054562317631,0.37711090135497055,0.8436778416552899,0.28320660758332405,0.7811285633569778,0.7570060427557063,1.0,0.7344128454803884,0.5709082453682875,0.34107310087528053,0.8563791838315461,0.25584024408163797,0.7898951390508212,0.7620735276697073,0.7597259721102874,0.7699400265369085,0.6590042565739627,0.3617067095796013,0.8294168776736146,0.3317181516970694,0.7765921261007586,0.7329984986118777,0.8038961384224343,0.797916011396988,0.6750692980478831,0.417438412441001,0.8361490624749317,0.2528524560512486,0.8051254893527569
