,FUNCTION,BugsDelivered,DistinctOperands,Effort,ProgramLength,ProgramLevel,TimeToImplement,TotalOperators,GlobalVariables,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,RANGE_ARRAY_INPUT,cInstr,Bugs_Delivered,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_2,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_18,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,Max_Freq
0,insertionsort,1.225496667,104,127404.48,504,0.03,7078.03,368,6,100,0,0,1,297.0,1.225496667,0,0,-19,-10,106,61,34,-35,96,62,27,97,112,125,7,-91,-76,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0
1,insertionsort,1.25449,107,130490.44,514,0.03,7249.47,374,6,100,0,0,1,426.0,1.25449,0,0,33,-53,-25,84,-64,107,67,99,83,11,-45,95,13,-10,-94,-119,105,105,22,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0
2,insertionsort,1.32436,111,139433.56,540,0.03,7746.31,393,6,100,0,0,1,639.0,1.32436,0,0,24,58,-78,-92,-124,-69,-2,-36,-69,-126,-92,0,-76,74,-105,-32,-23,102,-62,-112,103,-111,-57,-86,-32,95,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0
3,insertionsort,1.187936667,97,127543.9,493,0.03,7085.77,362,6,100,0,0,1,135.0,1.187936667,0,0,-65,-40,1,63,78,-98,48,5,-6,-63,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0
4,insertionsort,1.21113,101,127744.35,500,0.03,7096.91,366,6,100,0,0,1,222.0,1.21113,0,0,-2,-74,-25,111,58,-34,94,124,16,91,112,-58,-92,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0
5,insertionsort,1.194336667,98,126922.66,495,0.03,7051.26,364,6,100,0,0,1,108.0,1.194336667,0,0,-104,-72,85,-63,-51,-20,0,-53,123,-23,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0
6,insertionsort,1.154346667,94,123987.97,481,0.03,6888.22,354,6,100,0,0,1,93.0,1.154346667,0,0,95,63,109,58,84,-7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0
7,insertionsort,1.280213333,111,131118.14,522,0.03,7284.34,379,6,100,0,0,1,573.0,1.280213333,0,0,90,-32,2,74,80,21,15,-64,55,-113,86,-75,110,58,-81,114,-65,52,-71,-5,-49,-124,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0
8,insertionsort,1.203156667,99,127534.53,498,0.03,7085.25,366,6,100,0,0,1,171.0,1.203156667,0,0,27,-53,125,-99,-11,-12,-90,-35,-42,7,43,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0
9,insertionsort,1.165526667,95,123871.12,485,0.03,6881.73,358,6,100,0,0,1,78.0,1.165526667,0,0,3,-50,-73,-54,-38,51,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0
