id,clockCycles,assemblyInstr
values_27,12967,
values_84,2360,
values_65,9892,
values_96,8975,
values_28,640,
values_54,12816,
values_15,274,
values_87,6536,
values_59,8954,
values_5,16163,
values_92,17308,
values_0,6542,
values_77,3345,
values_17,636,
values_12,4487,
values_33,269,
values_25,9906,
values_19,1274,
values_97,426,
values_81,2847,
values_8,2393,
values_73,1258,
values_89,17290,
values_82,17340,
values_34,908,
values_70,5122,
values_29,10014,
values_51,5129,
values_57,124,
values_88,8147,
values_23,17327,
values_45,13919,
values_66,1951,
values_36,3909,
values_56,6529,
values_26,1590,
values_43,5799,
values_52,420,
values_98,1553,
values_61,7297,
values_44,638,
values_68,6541,
values_41,3378,
values_85,3336,
values_79,11816,
values_71,15033,
values_63,1934,
values_20,5143,
values_74,271,
values_72,16442,
values_86,8144,
values_75,9896,
values_55,9923,
values_14,5134,
values_47,1533,
values_91,10833,
values_64,16180,
values_11,6531,
values_49,16169,
values_62,1254,
values_80,420,
values_39,12902,
values_90,1930,
values_53,124,
values_94,272,
values_7,126,
values_31,9889,
values_93,1259,
values_38,1540,
values_58,10824,
values_78,1296,
values_50,640,
values_3,1543,
values_13,12786,
values_83,912,
values_1,927,
values_21,7308,
values_32,2860,
values_22,2400,
values_9,8147,
values_6,6658,
values_76,2841,
values_18,2850,
values_16,15030,
values_40,12775,
values_2,7303,
values_60,5131,
values_99,3905,
values_48,1932,
values_69,15171,
values_46,2396,
values_24,663,
values_95,8153,
values_42,12801,
values_37,16169,
values_10,16164,
values_67,5114,
values_35,8958,
values_30,15025,
values_4,906,
