id,clockCycles,assemblyInstr,cInstr,cc4cs
values_27,12967,,7168,1.809
values_84,2360,,1361,1.734
values_65,9892,,5600,1.766
values_96,8975,,5158,1.740
values_28,640,,389,1.645
values_54,12816,,7335,1.747
values_15,274,,175,1.566
values_87,6536,,3687,1.773
values_59,8954,,5095,1.757
values_5,16163,,9143,1.768
values_92,17308,,9773,1.771
values_0,6542,,3691,1.772
values_77,3345,,1928,1.735
values_17,636,,392,1.622
values_12,4487,,2554,1.757
values_33,269,,177,1.520
values_25,9906,,5596,1.770
values_19,1274,,693,1.838
values_97,426,,273,1.560
values_81,2847,,1627,1.750
values_8,2393,,1356,1.765
values_73,1258,,714,1.762
values_89,17290,,9905,1.746
values_82,17340,,9901,1.751
values_34,908,,537,1.691
values_70,5122,,2913,1.758
values_29,10014,,5600,1.788
values_51,5129,,2948,1.740
values_57,124,,104,1.192
values_88,8147,,4607,1.768
values_23,17327,,9858,1.758
values_45,13919,,7903,1.761
values_66,1951,,1094,1.783
values_36,3909,,2251,1.737
values_56,6529,,3734,1.749
values_26,1590,,891,1.785
values_43,5799,,3314,1.750
values_52,420,,273,1.538
values_98,1553,,882,1.761
values_61,7297,,4068,1.794
values_44,638,,392,1.628
values_68,6541,,3754,1.742
values_41,3378,,1904,1.774
values_85,3336,,1897,1.759
values_79,11816,,6774,1.744
values_71,15033,,8511,1.766
values_63,1934,,1123,1.722
values_20,5143,,2928,1.756
values_74,271,,172,1.576
values_72,16442,,9042,1.818
values_86,8144,,4650,1.751
values_75,9896,,5618,1.761
values_55,9923,,5623,1.765
values_14,5134,,2877,1.784
values_47,1533,,902,1.700
values_91,10833,,6117,1.771
values_64,16180,,9170,1.764
values_11,6531,,3756,1.739
values_49,16169,,9115,1.774
values_62,1254,,702,1.786
values_80,420,,275,1.527
values_39,12902,,7234,1.784
values_90,1930,,1125,1.716
values_53,124,,104,1.192
values_94,272,,180,1.511
values_7,126,,106,1.189
values_31,9889,,5601,1.766
values_93,1259,,715,1.761
values_38,1540,,905,1.702
values_58,10824,,6164,1.756
values_78,1296,,702,1.846
values_50,640,,396,1.616
values_3,1543,,902,1.711
values_13,12786,,7257,1.762
values_83,912,,539,1.692
values_1,927,,538,1.723
values_21,7308,,4169,1.753
values_32,2860,,1644,1.740
values_22,2400,,1357,1.769
values_9,8147,,4549,1.791
values_6,6658,,3642,1.828
values_76,2841,,1625,1.748
values_18,2850,,1632,1.746
values_16,15030,,8616,1.744
values_40,12775,,7268,1.758
values_2,7303,,4164,1.754
values_60,5131,,2916,1.760
values_99,3905,,2221,1.758
values_48,1932,,1117,1.730
values_69,15171,,8529,1.779
values_46,2396,,1344,1.783
values_24,663,,388,1.709
values_95,8153,,4569,1.784
values_42,12801,,7302,1.753
values_37,16169,,9187,1.760
values_10,16164,,9108,1.775
values_67,5114,,2945,1.737
values_35,8958,,5095,1.758
values_30,15025,,8555,1.756
values_4,906,,539,1.681
