id,cInstr
values_27,582
values_84,60
values_65,489
values_96,207
values_28,402
values_54,81
values_15,411
values_87,456
values_59,474
values_5,132
values_92,198
values_0,204
values_77,21
values_17,249
values_12,720
values_33,144
values_25,384
values_19,225
values_97,462
values_81,24
values_8,144
values_73,66
values_89,390
values_82,402
values_34,738
values_70,552
values_29,39
values_51,105
values_57,48
values_88,360
values_23,408
values_45,102
values_66,15
values_36,426
values_56,369
values_26,177
values_43,357
values_52,201
values_98,45
values_61,444
values_44,567
values_68,78
values_41,18
values_85,633
values_79,51
values_71,18
values_63,165
values_20,42
values_74,492
values_72,57
values_86,96
values_75,276
values_55,24
values_14,762
values_47,660
values_91,264
values_64,303
values_11,123
values_49,246
values_62,570
values_80,450
values_39,246
values_90,18
values_53,408
values_94,66
values_7,369
values_31,21
values_93,258
values_38,36
values_58,210
values_78,873
values_50,27
values_3,597
values_13,228
values_83,168
values_1,210
values_21,18
values_32,780
values_22,657
values_9,219
values_6,621
values_76,198
values_18,264
values_16,51
values_40,522
values_2,243
values_60,501
values_99,621
values_48,72
values_69,309
values_46,84
values_24,633
values_95,306
values_42,408
values_37,522
values_10,366
values_67,582
values_35,21
values_30,438
values_4,228
