inputName,size,a[size]
values_27,7,"{65, 123, 54, 61, 34, -31, 9"
values_84,5,"{-121, -58, 0, 30, 123"
values_65,12,"{-24, -84, -53, 71, -33, -56, -46, 96, -124, -21, -17, 93"
values_96,9,"{108, -108, 41, -98, -101, -56, -99, 52, 41"
values_28,21,"{-9, -36, 3, 114, -99, -2, -13, 100, -95, 36, -111, 59, -7, 109, -65, -41, -72, -98, -61, 50, 77"
values_54,8,"{-34, 93, -111, -68, 102, 60, -56, 106"
values_15,16,"{-21, 22, 60, -101, 110, 55, -54, -123, -117, -28, -70, 121, -49, 59, 48, 38"
values_87,2,"{-41, 30"
values_59,3,"{-4, -109, -13"
values_5,7,"{-96, -49, -48, -98, 25, -17, -45"
values_92,22,"{54, -103, -90, 61, 53, 34, 94, -20, -44, 54, -20, 88, -112, -79, 35, 110, 65, -32, -101, -47, -44, -68"
values_0,15,"{8, -98, -81, -78, -97, 78, -39, 95, -18, 28, 46, 78, -42, -86, -13"
values_77,18,"{-25, -124, -78, -82, -108, -112, -106, -76, 36, 112, -78, 78, -8, -83, 91, -103, 11, -45"
values_17,13,"{30, 36, -52, 81, -28, 43, 107, 22, -39, 75, 103, -61, 0"
values_12,12,"{64, -76, -81, 42, -99, 16, -45, 87, -32, -101, -14, 69"
values_33,4,"{11, 67, -103, -6"
values_25,25,"{-88, 77, 120, 68, 18, 109, -105, -55, 3, -45, 64, 107, 4, -25, 55, 29, -67, 41, 28, -70, 113, -12, -71, -19, -92"
values_19,4,"{87, 89, 62, 18"
values_97,13,"{-88, -118, 61, -126, -18, -60, -50, -100, -107, -121, 115, 26, -4"
values_81,12,"{-72, 25, 81, 1, 109, 80, -125, 74, 105, 108, 122, -77"
values_8,15,"{-29, -125, 51, -25, 62, -2, 120, -22, 33, 108, 82, -4, -121, -126, -64"
values_73,8,"{125, 68, 28, 72, -126, -41, 116, -71"
values_89,6,"{71, 110, 80, 45, -13, 115"
values_82,19,"{84, 99, -19, -117, -63, 72, 75, -44, 22, -108, -55, -16, 67, 89, -83, -42, 96, 71, -74"
values_34,2,"{-81, -92"
values_70,2,"{-96, -64"
values_29,9,"{-39, 6, 26, 18, -2, -1, -117, -69, -73"
values_51,16,"{96, 76, 80, 32, 21, 67, -7, 115, 118, -115, 53, 27, 74, -74, 53, -17"
values_57,21,"{-100, 8, -13, 122, -47, 83, 2, 95, 119, 116, -34, 66, 2, 49, -6, 24, -108, -47, -8, -15, 94"
values_88,17,"{82, 74, -104, -10, -39, -94, -19, -118, -35, 71, -29, -21, 69, 57, 59, -54, -56"
values_23,18,"{-64, -90, -114, 106, -64, -68, -44, 14, 39, -114, 15, 86, -36, -56, -17, -84, 59, -19"
values_45,19,"{94, -1, -39, -28, -4, 106, -6, -4, -84, 101, -61, -124, -61, 17, 69, 117, -28, -96, 78"
values_66,4,"{-97, -6, 117, 68"
values_36,19,"{60, 100, -46, -99, 58, -38, 68, 40, 55, -93, 12, -108, -119, -63, 70, 122, 117, 53, 11"
values_56,7,"{-73, 92, -111, 114, -29, 5, 86"
values_26,15,"{29, -80, -54, -122, -50, -13, 21, 26, 79, 102, -27, -6, -37, 17, 75"
values_43,15,"{14, 86, 20, -28, 90, 95, -16, 102, -96, 118, 98, 82, -34, -6, -1"
values_52,17,"{-15, 38, 67, -108, -5, -106, -62, 53, 1, 70, 53, 116, -3, 77, -96, 78, -55"
values_98,17,"{-76, 19, -110, 23, -30, 2, -30, -95, 95, -68, -30, -108, 27, -42, 39, -54, -47"
values_61,23,"{32, -28, -48, -119, -79, -110, -13, 71, -20, 18, -110, -13, -38, 13, 79, -102, -69, -104, 61, -97, 112, 11, 13"
values_44,10,"{28, 10, 53, 121, 53, 106, -34, -15, 94, -5"
values_68,3,"{-82, 126, -76"
values_41,5,"{52, -81, 75, -32, -121"
values_85,7,"{-13, -65, -29, -109, -39, 112, 117"
values_79,13,"{-5, 69, -110, -88, -113, 124, -61, 40, 58, 102, 34, 84, -100"
values_71,25,"{-97, -81, 37, -78, 96, 108, -27, 60, -10, 42, 125, 106, 43, 115, 20, 62, 93, 101, 110, 27, 10, -120, -58, -86, -6"
values_63,18,"{-82, -126, 122, -101, 106, 85, 92, 45, 85, 51, -11, -78, 0, -30, -78, 45, -101, -108"
values_20,14,"{-126, 110, -25, -56, 24, 23, -14, 20, -69, -59, 33, 116, -51, 123"
values_74,13,"{-54, 1, -24, 115, 2, -43, -94, 46, -91, -7, 115, 106, 58"
values_72,14,"{58, 16, 100, 98, -55, -106, -77, 122, 61, 66, 117, -20, -75, -31"
values_86,10,"{11, -61, 19, 48, -9, -36, 30, -3, 90, -118"
values_75,15,"{-28, 31, -121, 101, -9, -25, -35, 41, 52, 102, 37, 119, 27, -4, 66"
values_55,12,"{94, 88, 61, -19, -88, 106, -76, -116, -43, 87, 126, -2"
values_14,18,"{-42, -13, 2, -50, 1, -92, -91, -32, 88, 45, -120, 54, 88, 69, -123, -50, 84, -48"
values_47,20,"{-101, -52, -106, 43, 78, -92, -69, -80, 72, 85, -7, 114, 105, -118, 122, -117, 18, 97, -87, 122"
values_91,21,"{-67, 46, -45, 95, -100, 75, 124, 49, -33, 50, -80, 30, -110, -66, 23, 114, -46, 57, -45, -96, -59"
values_64,20,"{-29, 50, 98, -94, -99, -67, -55, 117, -18, -57, -125, -45, -61, -60, 42, -83, 118, 4, 76, 91"
values_11,4,"{-43, 10, 62, 35"
values_49,2,"{40, -14"
values_62,2,"{88, 81"
values_80,9,"{-33, -115, 98, 20, 4, 118, -106, 8, -86"
values_39,11,"{-119, 39, -89, 30, 84, 55, -54, 101, 73, 104, 67"
values_90,16,"{37, -34, 90, 1, 118, 5, -91, -110, -15, -74, 123, 1, 98, 120, 27, 108"
values_53,15,"{-24, -14, -106, 18, -122, -38, -109, -29, 108, -67, -42, -100, -24, -56, -30"
values_94,20,"{125, 59, 48, -10, 100, -33, 93, 59, -36, 39, 49, 61, -125, 85, 103, -80, -41, 125, -3, -9"
values_7,15,"{-16, 41, -23, -5, 49, 22, 9, -86, 56, -98, 67, -17, 113, 68, 19"
values_31,17,"{75, 39, 10, 48, -90, 70, -69, -47, 61, -55, 9, -34, -103, 124, 20, 13, -82"
values_93,24,"{83, 107, -30, 30, -56, -13, 77, -6, 20, 7, -13, -106, 106, -21, -98, -67, -65, -48, -41, -101, 73, 39, -88, -37"
values_38,10,"{-37, 107, -95, -68, 4, -73, 106, -99, -99, -31"
values_58,15,"{4, 13, -78, -61, 52, -4, -100, 48, -34, -41, -67, -49, -77, 6, 100"
values_78,6,"{104, 37, -32, -24, -65, -92"
values_50,13,"{39, 97, -25, -95, -42, 119, -2, 78, 74, 103, -76, 102, 94"
values_3,8,"{-122, 28, 27, 84, -26, 19, -25, -78"
values_13,2,"{-45, 115"
values_83,7,"{-6, 66, -25, -69, -69, -110, -105"
values_1,4,"{3, -87, 83, -37"
values_21,13,"{-108, -89, -72, -107, 123, 13, -81, -67, 123, 110, 5, 3, -22"
values_32,17,"{-112, 10, 39, -75, 41, 70, 39, -64, 54, -88, 37, 39, 119, 63, -64, 102, 120"
values_22,21,"{123, 93, 109, -78, 52, -33, -66, 74, -104, 12, -4, -60, -87, 88, -85, 123, 43, 95, 24, 40, -57"
values_9,5,"{-29, -27, 111, -16, 43"
values_6,16,"{109, -27, 15, -24, -71, -117, -93, -118, -83, -47, 77, -51, -126, -126, 98, -57"
values_76,14,"{-89, -32, 76, -16, 35, 100, 119, 21, 102, 42, -8, -86, -59, -15"
values_18,11,"{31, 51, -30, 75, 85, -100, -118, -52, -88, -23, -75"
values_16,11,"{-80, 82, -44, 81, 82, -63, -22, -108, 61, -4, -60"
values_40,11,"{-45, 54, -60, -125, 43, 98, -121, 24, 62, -32, 3"
values_2,14,"{107, 80, -103, -69, 115, -95, 97, -70, 51, -33, -113, -65, -45, -19"
values_60,18,"{-104, 22, 110, 103, -24, 57, -87, 121, -124, -109, 67, -11, -64, -27, 81, -13, -12, 93"
values_99,11,"{121, -61, 20, -20, 80, 123, 34, 85, -89, 88, -78"
values_48,8,"{115, 12, -13, 45, 94, 14, 1, -59"
values_69,5,"{23, -93, -115, 89, 76"
values_46,17,"{-92, 94, -4, -109, 63, -126, 117, 93, -103, 76, 96, 3, -117, 107, -103, -10, -62"
values_24,2,"{-66, -82"
values_95,5,"{40, 70, -24, 63, 66"
values_42,13,"{38, -30, -4, 25, 105, 34, -123, -44, 34, -51, 56, 83, -39"
values_37,5,"{-12, 33, -83, -97, -109"
values_10,21,"{77, 41, -47, 55, -13, 5, 118, 41, -86, -22, 61, 2, 7, 104, -121, 13, 67, -83, -5, 78, -82"
values_67,7,"{42, 126, 100, 43, -98, -53, 78"
values_35,6,"{-55, -9, 24, 75, 30, -118"
values_30,8,"{120, -36, -44, -14, 3, -5, -122, -96"
values_4,13,"{-65, 33, -54, 125, -91, -3, 29, 19, 1, -56, -115, -55, -8"
