id,cInstr
values_27,593
values_84,29
values_65,754
values_96,115
values_28,194
values_54,162
values_15,27
values_87,488
values_59,27
values_5,225
values_92,361
values_0,93
values_77,196
values_17,76
values_12,96
values_33,363
values_25,493
values_19,283
values_97,94
values_81,805
values_8,252
values_73,95
values_89,42
values_82,329
values_34,95
values_70,695
values_29,484
values_51,538
values_57,791
values_88,27
values_23,322
values_45,76
values_66,405
values_36,112
values_56,74
values_26,743
values_43,41
values_52,41
values_98,42
values_61,59
values_44,738
values_68,687
values_41,403
values_85,449
values_79,220
values_71,28
values_63,491
values_20,742
values_74,58
values_72,527
values_86,286
values_75,140
values_55,146
values_14,688
values_47,94
values_91,94
values_64,74
values_11,407
values_49,791
values_62,492
values_80,261
values_39,795
values_90,27
values_53,72
values_94,27
values_7,223
values_31,743
values_93,530
values_38,55
values_58,533
values_78,17
values_50,54
values_3,592
values_13,93
values_83,140
values_1,193
values_21,452
values_32,743
values_22,489
values_9,756
values_6,534
values_76,802
values_18,692
values_16,328
values_40,539
values_2,18
values_60,29
values_99,18
values_48,637
values_69,367
values_46,748
values_24,56
values_95,687
values_42,588
values_37,365
values_10,629
values_67,139
values_35,17
values_30,29
values_4,141
