values_27,3
values_84,10
values_65,24
values_96,5
values_28,3
values_54,11
values_15,20
values_87,10
values_59,11
values_5,6
values_92,5
values_0,6
values_77,18
values_17,20
values_12,20
values_33,10
values_25,3
values_19,20
values_97,5
values_81,10
values_8,6
values_73,18
values_89,10
values_82,10
values_34,10
values_70,18
values_29,3
values_51,11
values_57,11
values_88,10
values_23,3
values_45,18
values_66,24
values_36,10
values_56,11
values_26,3
values_43,18
values_52,11
values_98,5
values_61,24
values_44,18
values_68,24
values_41,18
values_85,10
values_79,18
values_71,18
values_63,24
values_20,3
values_74,18
values_72,18
values_86,10
values_75,18
values_55,11
values_14,20
values_47,18
values_91,5
values_64,24
values_11,20
values_49,18
values_62,24
values_80,10
values_39,10
values_90,5
values_53,11
values_94,5
values_7,6
values_31,10
values_93,5
values_38,10
values_58,11
values_78,18
values_50,11
values_3,6
values_13,20
values_83,10
values_1,6
values_21,3
values_32,10
values_22,3
values_9,6
values_6,6
values_76,18
values_18,20
values_16,20
values_40,18
values_2,6
values_60,24
values_99,5
values_48,18
values_69,24
values_46,18
values_24,3
values_95,5
values_42,18
values_37,10
values_10,20
values_67,24
values_35,10
values_30,10
values_4,6
