,Flip_Flop,BugsDelivered,DifficultyLevel,DistinctOperands,DistinctOperators,Effort,ProgramLength,ProgramLevel,ProgramVolume,TimeToImplement,TotalOperators,Total_Operands,VocabularySize,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function.1,FunctionCall,PointerDereferencing,CyclomaticComplexity,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,ARRAY_INPUT,RANGE_ARRAY_INPUT,cInstr
Flip_Flop,1.0,0.7155341467994425,0.6206720419491584,0.6774883197599028,0.26464800773552416,0.6392128470048623,0.7194202635535604,-0.6396643715867073,0.715534146801439,0.6392128481744795,0.7099792687857508,0.7228432250973476,0.648410363280119,0.802031109941738,0.8132373517771982,0.6428386413902345,0.8132373517771982,0.7940869776059111,0.30300042596144605,0.6863709752217302,0.7956944091450994,0.7956944091450994,0.7757861670372157,0.46271812376252575,0.8410262774466385,0.7956944091450994,0.806520973046757,-0.2036997119924331,-0.27774601912076524,-0.22070350527212546,0.2835924820904497,0.28359248209044907,0.533749338469488,-0.05629087114282817,-0.02714770686080811
BugsDelivered,0.7155341467994425,1.0,0.7620436190419984,0.8900397386587532,0.3561476535202768,0.9614307153509617,0.9984050503331547,-0.6298436019886704,1.0000000000000007,0.9614307150293491,0.9962024208879228,0.9875408813697949,0.8532629787453352,0.5790201158315197,0.6601505284544321,0.5847818336337013,0.6601505284544321,0.605932270697027,0.47562332258267853,0.467178646173915,0.5418266014169281,0.5418266014169281,0.5384326484343698,0.4050836099315414,0.6469454162891507,0.5418266014169281,0.5325421075322432,-0.3003886037039718,-0.12831920155734244,-0.04175310877432731,0.22695389194944976,0.22695389194944976,0.3038279472344203,-0.03381212840339714,-0.03016503288420489
DifficultyLevel,0.6206720419491584,0.7620436190419984,1.0,0.5560199404000289,0.37360060371878423,0.827180703756698,0.7689447368397191,-0.8821985432190248,0.7620436190440746,0.827180701768989,0.7692467867331159,0.7577144759405079,0.5584478931681793,0.7073751658951705,0.6961913275121737,0.48595234546790883,0.6961913275121737,0.6414528010258225,0.4455128541900461,0.6963833895619338,0.5636238431298916,0.5636238431298916,0.5636918003586517,0.36750442933963107,0.6795908172889743,0.5636238431298916,0.554508346054814,-0.31298039815602424,-0.13834248388376588,-0.07521136488291211,0.19657048137068234,0.19657048137068248,0.27992516572521886,0.0905063969628831,-0.006011906912472891
DistinctOperands,0.6774883197599028,0.8900397386587532,0.5560199404000289,1.0,0.5909941099301809,0.7749320215981859,0.872114810419123,-0.49764496557326643,0.8900397386579192,0.774932020925952,0.8772106231468304,0.8525683304640335,0.9907624479070807,0.5405459500185718,0.6205934196743255,0.7303411175929854,0.6205934196743255,0.5317289054463761,0.5189631354837148,0.40492527500417236,0.5673040804963141,0.5673040804963141,0.5778044563541065,0.48311702656698746,0.6280892436948738,0.5673040804963141,0.543459963717666,-0.4523854714309183,-0.10753148208776463,0.02877955997294641,0.2917870867120419,0.29178708671204207,0.3487460364333197,-0.038827208099836384,-0.03265170148010236
DistinctOperators,0.26464800773552416,0.3561476535202768,0.37360060371878423,0.5909941099301809,1.0,0.3359002622050312,0.3196947462686087,-0.38287045566402744,0.35614765351909183,0.33590026059897266,0.36435397423971627,0.25122717380773396,0.6949271928984787,0.4171747805264731,0.391066025012662,0.7433465521598696,0.391066025012662,0.25250897062776295,0.5239712451422129,0.3828676205981315,0.4233876428836491,0.4233876428836491,0.46422113424119527,0.31580675850671985,0.41843331688978547,0.4233876428836491,0.3724050648244915,-0.6697974657199942,0.044877749979542816,0.23621093112452787,0.27370490930086744,0.2737049093008669,0.16318615162647804,0.3650532571924532,-0.0015899166969898133
Effort,0.6392128470048623,0.9614307153509617,0.827180703756698,0.7749320215981859,0.3359002622050312,1.0,0.9595647061616537,-0.6320164797776157,0.9614307153507692,0.999999999999995,0.9605399604167689,0.9446933269540505,0.7472508882395807,0.5410138296076704,0.6086908477232263,0.5242452943513042,0.6086908477232263,0.5421998915408905,0.4730787414209205,0.4529153275031526,0.499737427257231,0.499737427257231,0.4992618010203319,0.3589116486834145,0.5965655975082422,0.499737427257231,0.4880262902793484,-0.3101398684136934,-0.06502139960823307,0.01620729904940737,0.17453199071756292,0.17453199071756184,0.24994793052132708,0.005635104425213152,-0.02619584704451907
ProgramLength,0.7194202635535604,0.9984050503331547,0.7689447368397191,0.872114810419123,0.3196947462686087,0.9595647061616537,1.0,-0.6380793470214641,0.9984050503331032,0.9595647057854311,0.9959756761628517,0.991723177708823,0.8311564570450772,0.5805375535649382,0.660930208051816,0.5597402010994672,0.660930208051816,0.6166429451997144,0.454283594781697,0.47252038546430475,0.5325151903709558,0.5325151903709558,0.5264682257806503,0.40002992972163587,0.6442902267354219,0.5325151903709558,0.5264290628331267,-0.2647675095759721,-0.15086850668335441,-0.07258595110715572,0.22940154519624983,0.22940154519625044,0.3096657888685609,-0.03935709987243058,-0.029105090252777258
ProgramLevel,-0.6396643715867073,-0.6298436019886704,-0.8821985432190248,-0.49764496557326643,-0.38287045566402744,-0.6320164797776157,-0.6380793470214641,1.0,-0.6298436019901418,-0.6320164774838865,-0.6366468832879888,-0.6311715507980558,-0.5079701113702106,-0.752557783712888,-0.699028251963615,-0.47107371429675016,-0.699028251963615,-0.6611153539021614,-0.3786844945317835,-0.7644595907044728,-0.5920029739862983,-0.5920029739862983,-0.5929417010261328,-0.36121540674354014,-0.6913219899127984,-0.5920029739862983,-0.5842169830307845,0.32222023051095056,0.22842197108942416,0.17941960095222975,-0.23655985594886972,-0.23655985594887036,-0.3094109507374392,-0.13191819374097363,-0.015034349493738249
ProgramVolume,0.715534146801439,1.0000000000000007,0.7620436190440746,0.8900397386579192,0.35614765351909183,0.9614307153507692,0.9984050503331032,-0.6298436019901418,1.0,0.9614307150291524,0.9962024208875405,0.9875408813702201,0.8532629787443907,0.5790201158335158,0.6601505284559999,0.5847818336345862,0.6601505284559999,0.6059322706974378,0.4756233225824604,0.46717864617599864,0.5418266014204889,0.5418266014204889,0.5384326484379309,0.40508360993291403,0.6469454162914691,0.5418266014204889,0.5325421075357076,-0.3003886037065027,-0.1283192015556314,-0.041753108773292656,0.22695389194718318,0.2269538919471832,0.30382794723475126,-0.03381212840640316,-0.030165032887661685
TimeToImplement,0.6392128481744795,0.9614307150293491,0.827180701768989,0.774932020925952,0.33590026059897266,0.999999999999995,0.9595647057854311,-0.6320164774838865,0.9614307150291524,1.0,0.9605399599104153,0.9446933267695359,0.747250887370351,0.5410138295035414,0.608690848228169,0.52424529596027,0.608690848228169,0.5421998901706451,0.4730787433944855,0.4529153263019337,0.49973742975348573,0.49973742975348573,0.4992618034260842,0.35891164332021064,0.5965655987183952,0.49973742975348573,0.4880262928924359,-0.3101398671931825,-0.06502138879399412,0.016207304485145388,0.17453197464496875,0.17453197464496903,0.24994792029001395,0.005635095462880196,-0.026195845085310098
