,DifficultyLevel,Effort,ProgramLevel,TimeToImplement,CoverageEstimation,RANGE_SCALAR_VALUES,SV_VAL_1,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_11,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,Max_Freq
0,142.86,3162512.86,0.01,175695.16,100,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,8,51,5,16,21,30,16,18,6,80,0,37,31,6,20,11,0,58,0,20,32,36,27,24,5,76,0,13,331.49888
1,71.79,555238.92,0.01,30846.61,90,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,8,2,2,13,0,9,6,4,8,3,1,1,0,3,11,2,8,7,0,2,0,3,4,3,4,5,1,0,1,0,221.2982138
2,69.17,595844.76,0.01,33102.49,90,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,24,1,0,25,11,11,14,8,5,0,1,1,0,4,21,4,10,7,0,4,6,22,6,3,8,8,1,0,1,1,331.49888
3,143.48,3142578.75,0.01,174587.71,90,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,22,1,0,65,0,18,1,42,17,5,0,53,0,23,44,15,14,0,0,57,0,41,20,33,21,23,0,76,0,21,331.49888
4,144.1,3183982.68,0.01,176887.93,90,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,48,12,0,69,0,19,26,16,4,0,0,51,0,22,19,17,24,46,0,60,0,12,24,18,25,0,0,72,0,35,331.49888
5,121.0,2268154.22,0.01,126008.57,90,1,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,3,25,0,72,0,16,21,31,11,9,0,66,7,30,27,2,36,19,0,43,0,23,35,28,17,23,0,54,0,30,331.49888
6,69.18,631757.21,0.01,35097.62,90,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,15,0,0,21,2,13,16,3,15,2,0,35,0,10,13,6,18,21,0,8,16,21,17,4,10,4,3,9,2,1,331.49888
7,69.09,537083.54,0.01,29837.97,90,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,11,4,3,8,0,7,9,3,8,3,2,2,0,0,4,2,7,4,1,0,1,2,2,2,3,4,1,0,1,0,221.2982138
8,122.59,2305963.43,0.01,128109.08,90,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,20,1,0,50,0,41,6,18,5,1,20,49,0,30,15,20,40,24,0,67,0,52,12,22,42,7,14,65,0,21,331.49888
9,71.35,506536.12,0.01,28140.9,90,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,4,0,1,0,1,0,0,2,1,1,0,1,0,1,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,331.49888
10,142.86,3163686.34,0.01,175760.35,100,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,15,8,0,51,0,23,23,14,22,1,0,70,17,14,22,35,17,21,0,61,0,10,14,41,15,0,0,59,0,24,331.49888
11,73.41,520448.63,0.01,28913.81,90,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,9,6,2,0,0,3,3,1,5,3,2,1,3,0,3,2,5,4,0,0,1,0,0,1,0,1,1,0,0,0,331.49888
12,69.96,600640.53,0.01,33368.92,90,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,16,7,0,20,9,20,14,7,11,2,3,8,0,1,11,13,12,9,4,4,3,9,4,3,6,4,2,1,0,5,331.49888
