,FUNCTION,BugsDelivered,ProgramLength,ProgramLevel,ProgramVolume,VocabularySize,GlobalVariables,Loop,FunctionCall,CoverageEstimation,SCALAR_INPUT,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,Bugs_Delivered,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_1,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,min_Slack
0,astar,3.22312,1202,0.01,9669.36,264,13,7,11,90,1,1,1,3,1,3.22312,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,24,15,0,29,1,8,23,17,0,1,21,0,4,10,10,12,20,0,18,2,20,8,8,12,6,9,8,8,6.10623e-16
1,astar,2.090713333,839,0.01,6272.14,178,13,7,11,90,1,1,1,3,1,2.090713333,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10623e-16
2,astar,4.03179,1486,0.01,12095.37,282,13,7,11,90,1,1,1,3,1,4.03179,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,35,34,0,61,0,21,16,12,4,0,59,0,29,16,24,23,9,0,40,0,25,25,11,16,5,12,6,18,6.10623e-16
3,astar,5.037043333,1844,0.01,15111.13,293,13,7,11,90,1,1,1,3,1,5.037043333,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,38,17,0,0,68,0,31,22,31,4,6,56,0,41,14,36,20,28,3,70,0,32,17,17,39,0,46,0,27,6.10623e-16
4,astar,3.21919,1203,0.01,9657.57,261,13,7,11,90,1,1,1,3,1,3.21919,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,14,1,0,29,0,9,20,6,0,1,20,0,6,19,9,12,8,0,14,13,9,6,9,10,1,8,6,8,6.10623e-16
5,astar,2.464366667,955,0.01,7393.1,214,13,7,11,90,1,1,1,3,1,2.464366667,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11,5,1,6,0,9,3,2,2,1,0,0,0,2,2,5,4,0,1,3,1,1,1,1,2,0,0,0,6.10623e-16
6,astar,4.49892,1647,0.01,13496.76,293,13,7,11,90,1,1,1,3,1,4.49892,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,18,9,0,70,0,15,33,25,0,0,44,0,18,36,13,27,10,0,46,15,5,39,22,19,0,34,1,16,6.10623e-16
7,astar,2.090713333,839,0.01,6272.14,178,13,7,11,90,1,1,1,3,1,2.090713333,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10623e-16
8,astar,2.478523333,958,0.01,7435.57,217,13,7,11,90,1,1,1,3,1,2.478523333,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,10,5,1,5,0,4,5,1,4,3,0,0,2,6,4,7,6,2,1,0,1,1,1,1,1,0,1,0,6.10623e-16
9,astar,4.542576667,1666,0.01,13627.73,290,13,7,11,90,1,1,1,3,1,4.542576667,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,9,8,3,42,11,12,12,21,0,0,48,0,16,32,1,38,13,0,40,0,31,24,17,18,0,48,0,30,6.10623e-16
