,FUNCTION,BugsDelivered,DistinctOperands,DistinctOperators,ProgramLength,ProgramLevel,ProgramVolume,VocabularySize,GlobalVariables,CoverageEstimation,RANGE_SCALAR_VALUES,SCALAR_INDEX_INPUT,RANGE_SCALAR_INDEX_VALUES,RANGE_ARRAY_INPUT,Bugs_Delivered,SV_VAL_1,SV_VAL_2,V_VAL_1,V_VAL_2,V_VAL_3,V_VAL_4,V_VAL_5,V_VAL_6,V_VAL_7,V_VAL_8,V_VAL_9,V_VAL_10,V_VAL_11,V_VAL_12,V_VAL_13,V_VAL_14,V_VAL_15,V_VAL_16,V_VAL_17,V_VAL_18,V_VAL_19,V_VAL_20,V_VAL_21,V_VAL_22,V_VAL_23,V_VAL_24,V_VAL_25,V_VAL_26,V_VAL_27,V_VAL_28,M_VAL_2,M_VAL_3,M_VAL_4,M_VAL_5,M_VAL_6,M_VAL_7,M_VAL_8,M_VAL_9,M_VAL_10,M_VAL_12,M_VAL_13,M_VAL_14,M_VAL_15,M_VAL_16,M_VAL_17,M_VAL_18,M_VAL_19,M_VAL_20,M_VAL_21,M_VAL_22,M_VAL_23,M_VAL_24,M_VAL_25,M_VAL_26,M_VAL_27,M_VAL_28,M_VAL_29,M_VAL_30,M_VAL_31,M_VAL_32,min_Slack
0,astar,2.58944,158,66,995,0.01,7768.32,224,13,90,1,1,3,1,2.58944,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,4,3,6,8,6,4,1,4,1,0,0,0,9,4,8,7,3,0,0,2,3,2,1,4,1,0,0,0,5e-10
1,astar,6.564826667,230,66,2399,0.01,19694.48,296,13,90,1,1,3,1,6.564826667,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,5,16,58,0,13,23,13,28,0,50,0,10,15,36,13,26,0,73,0,20,11,29,29,23,0,72,0,30,3.44169e-15
2,astar,2.359336667,141,66,920,0.01,7078.01,207,13,90,1,1,3,1,2.359336667,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,7,2,0,0,3,2,1,2,1,1,0,0,4,2,4,3,1,0,3,0,1,0,0,0,1,0,1,0,3.44169e-15
3,astar,2.13947,117,66,854,0.01,6418.41,183,13,90,1,1,3,1,2.13947,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44169e-15
4,astar,2.572156667,156,66,990,0.01,7716.47,222,13,90,1,1,3,1,2.572156667,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,6,0,8,0,8,10,8,2,4,1,2,0,8,3,11,5,2,0,0,1,2,2,6,4,1,0,1,0,5e-10
5,astar,2.566486667,151,66,992,0.01,7699.46,217,13,90,1,1,3,1,2.566486667,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,4,4,6,0,8,7,0,2,0,2,0,2,7,2,10,6,0,0,1,1,5,2,2,3,2,0,1,0,5e-10
6,astar,2.464366667,148,66,955,0.01,7393.1,214,13,90,1,1,3,1,2.464366667,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,1,3,10,4,9,3,0,1,1,0,1,1,3,6,5,5,0,0,0,3,1,0,4,2,1,0,0,0,3.44169e-15
7,astar,6.61917,232,66,2416,0.01,19857.51,298,13,90,1,1,3,1,6.61917,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,11,4,69,0,13,13,39,0,0,47,0,13,16,43,31,11,1,82,11,8,41,27,3,12,0,46,0,20,3.44169e-15
8,astar,2.59678,159,66,997,0.01,7790.34,225,13,90,1,1,3,1,2.59678,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,4,2,5,3,10,7,0,3,2,0,0,0,10,4,7,5,0,3,1,5,3,2,4,3,1,0,0,0,5e-10
9,astar,3.768283333,208,66,1396,0.01,11304.85,274,13,90,1,1,3,1,3.768283333,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,25,21,0,48,0,19,14,41,1,0,30,0,27,23,18,12,17,0,29,0,22,16,6,20,13,8,27,10,22,3.44169e-15
10,astar,2.13669,118,66,852,0.01,6410.07,184,13,90,1,1,3,1,2.13669,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44169e-15
11,astar,3.811246667,209,66,1411,0.01,11433.74,275,13,100,1,1,3,1,3.811246667,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,15,16,55,3,17,34,19,24,0,30,3,21,7,28,19,4,6,25,15,8,10,13,20,12,0,18,0,10,3.44169e-15
12,astar,2.870926667,178,66,1086,0.01,8612.78,244,13,90,1,1,3,1,2.870926667,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,0,22,11,21,6,11,3,5,6,0,2,9,4,16,7,0,3,1,12,10,8,5,5,2,1,0,6,3.44169e-15
13,astar,2.459206667,148,66,953,0.01,7377.62,214,13,90,1,1,3,1,2.459206667,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,2,7,2,8,6,0,4,1,1,0,0,7,1,5,5,3,0,2,1,1,1,1,2,1,0,2,0,3.44169e-15
14,astar,2.470753333,145,66,960,0.01,7412.26,211,13,90,1,1,3,1,2.470753333,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,0,10,1,6,3,1,3,2,0,0,0,7,5,5,8,0,0,0,0,1,1,1,1,1,0,1,0,3.44169e-15
15,astar,4.987316667,225,66,1828,0.01,14961.95,291,13,90,1,1,3,1,4.987316667,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,15,0,61,0,5,14,28,11,0,74,0,14,28,8,38,2,0,46,0,27,17,15,21,0,0,68,4,18,3.44169e-15
16,astar,2.57334,159,66,988,0.01,7720.02,225,13,90,1,1,3,1,2.57334,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,3,6,6,4,2,4,1,2,0,0,0,4,1,5,5,1,1,1,2,1,1,3,3,2,1,1,0,5e-10
17,astar,2.46347,150,66,953,0.01,7390.41,216,13,90,1,1,3,1,2.46347,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,2,5,0,9,6,1,1,1,1,1,1,3,1,3,4,0,3,1,0,3,2,1,3,1,2,2,0,3.44169e-15
18,astar,2.134716667,116,66,853,0.01,6404.15,182,13,90,1,1,3,1,2.134716667,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44169e-15
19,astar,6.652046667,232,66,2428,0.01,19956.14,298,13,90,1,1,3,1,6.652046667,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,2,0,72,4,27,12,24,5,0,54,0,21,16,34,19,18,0,42,3,14,16,23,23,31,0,45,0,14,3.44169e-15
20,astar,3.780423333,213,66,1396,0.01,11341.27,279,13,100,1,1,3,1,3.780423333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,33,7,0,48,14,22,25,16,0,0,34,0,7,16,15,27,27,0,29,5,16,14,6,28,5,4,20,0,4,3.44169e-15
21,astar,2.86663,176,66,1086,0.01,8599.89,242,13,90,1,1,3,1,2.86663,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,2,0,20,6,7,9,3,0,3,10,0,3,16,6,12,7,0,2,5,9,10,3,5,6,1,0,4,1,3.44169e-15
22,astar,6.55427,228,66,2398,0.01,19662.81,294,13,90,1,1,3,1,6.55427,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,16,24,63,0,6,0,39,28,0,73,0,15,36,27,22,20,0,68,0,37,16,18,36,0,0,50,0,11,3.44169e-15
23,astar,6.547246667,229,66,2394,0.01,19641.74,295,13,90,1,1,3,1,6.547246667,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,22,22,11,57,0,28,13,33,7,8,84,0,46,15,18,30,31,4,72,0,26,23,24,29,34,0,53,0,37,3.44169e-15
24,astar,5.036096667,224,66,1847,0.01,15108.29,290,13,90,1,1,3,1,5.036096667,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,3,0,79,0,32,13,29,0,6,62,2,10,10,21,17,2,0,38,25,23,14,24,26,22,0,43,0,23,3.44169e-15
25,astar,2.865186667,167,66,1093,0.01,8595.56,233,13,100,1,1,3,1,2.865186667,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,5,1,22,3,7,8,9,0,0,10,0,4,13,4,16,8,1,0,3,16,7,3,7,12,2,0,0,4,3.44169e-15
26,astar,2.603633333,161,66,998,0.01,7810.9,227,13,90,1,1,3,1,2.603633333,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,7,0,5,0,8,5,5,1,0,0,0,0,4,2,4,4,0,1,1,2,0,1,3,2,2,0,0,0,5e-10
27,astar,2.575446667,160,66,988,0.01,7726.34,226,13,90,1,1,3,1,2.575446667,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,11,1,7,1,7,6,4,2,4,2,1,0,5,2,7,5,1,1,0,2,3,2,3,3,1,1,2,0,5e-10
